Population,Administration,Indicator,Gender ,Geography,Pcode,Island,Atoll Official,Value,Sort Order,sort order-2,Atoll Local Names
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001001012,Maarandhoo,Haa Alif Atoll,0,1,1,Thiladhunmathee Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001001015,Muraidhoo,Haa Alif Atoll,0,1,1,Thiladhunmathee Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001001013,Thakandhoo,Haa Alif Atoll,0,1,1,Thiladhunmathee Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001001001,Thurakunu,Haa Alif Atoll,0,1,1,Thiladhunmathee Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001001014,Utheemu,Haa Alif Atoll,0,1,1,Thiladhunmathee Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001001009,Vashafaru,Haa Alif Atoll,0,1,1,Thiladhunmathee Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001002006,Hirimaradhoo,Haa Dhaal Atoll,0,2,2,Thiladhunmathee Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001002010,Kuribi,Haa Dhaal Atoll,0,2,2,Thiladhunmathee Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001002005,Naivaadhoo,Haa Dhaal Atoll,0,2,2,Thiladhunmathee Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001002008,Nellaidhoo,Haa Dhaal Atoll,0,2,2,Thiladhunmathee Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001003013,Komandoo,Shaviyani Atoll,0,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001003011,Lhaimagu,Shaviyani Atoll,0,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001003014,Maaugoodhoo,Shaviyani Atoll,0,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001003010,Maroshi,Shaviyani Atoll,0,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001003008,Narudhoo,Shaviyani Atoll,0,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV001003002,Noomaraa,Shaviyani Atoll,0,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV002004012,Fodhdhoo,Noonu Atoll,0,6,6,Miladhunmadulu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV002004001,Hebadhoo,Noonu Atoll,0,6,6,Miladhunmadulu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV002004004,Kudafari,Noonu Atoll,0,6,6,Miladhunmadulu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV002004007,Lhohi,Noonu Atoll,0,6,6,Miladhunmadulu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV002004003,Maalhendhoo,Noonu Atoll,0,6,6,Miladhunmadulu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV002004009,Magoodhoo,Noonu Atoll,0,6,6,Miladhunmadulu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV002004008,Miladhoo,Noonu Atoll,0,6,6,Miladhunmadulu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV002006004,Agolhitheemu,Raa Atoll,0,7,7,Maalhosmadulu Uthuruburi
