data_id_yymmdd_iccs_sl,category,sub_category,no_of_incident,year,month,week,date,time,district,upazila,up,village_camp,specific_location_camp_block,type_of_location,longitude,latitude,cause,mechanism_used,type_of_weapon_used,nationality_of_perpetrator,victime_perpetrator_relation_vi_p,security_force_acted_on_for_seizure_detained,nationality_of_victim,children,death_bd_m,death_bd_f,death_ro_m,death_ro_f,death_unidentified,total_death,injury_bd_m,injury_bd_f,injury_ro_m,injury_ro_f,injury_unidentified,total_injured,detain_bd_m,detain_bd_f,detain_ro_m,detain_ro_f,detain_unidentified,total_detain,seize_yaba_piece,crystal_meth,seize_marijuana_kg,seize_alcohol_ltr_number_of_bottle_0_75_and_if_alcohol_can_number_can_300,opium_heroin,seize_phensidyl_btl,seize_firearm,seize_bullets,seize_illegal_goods,description,source_1,source_2,source_3,source_4,source_5,mode_of_transport,remarks,column1,column2
230517063,Drug,trade,1,2023,May,23.2,2023-05-17,NA,Cox's Bazar,Sadar,Cox's Bazar Sadar,BGB Camp,NA,Road,92.000092,21.431976,illicit gain,NAp,NAp,Rohingya,NAv,DB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2975,0,0,0,0,0,0,0,0,DB arrested two Rohingyas with 2975 pieces of yaba from BGB camp area of ​​Cox's Bazar city.,TTN News (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230413-06-6,Drug,trade,1,2023,April,23.15,2023-04-13,0.14583333333333334,Cox's Bazar,Teknaf,Hnila,Pankhali,NA,Road,92.336626999999993,20.571528,Illicit gain,NAp,NAp,Bangladeshi,NAp,RAB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8000,0,0,0,0,0,0,0,0,"RAB-15 arrested a drug dealer along with 8,000 pieces of Yaba in Hreela area under Teknaf police station of Cox's Bazar.",RAB Facebook Page,NA,NA,NA,NA,NA,NA,NA,NA
230408061,Drug,trade,1,2023,April,23.14,2023-04-08,0.16666666666666666,Cox's Bazar,Teknaf,Saintmartin,Cheradiwp,Near sea,Sea,92.329564,20.593904,Illicit gain,NAp,NAp,NAp,NAp,Coast guard,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,71.1,0,0,0,0,0,"On 8 April, the Coast guard seized 100 gm of crystal meth and 71.1 litter of Alcohol in Saint Martine, Teknaf.",CBNBD (Bang.),Dainik Coxsbazar (Bang.),NA,NA,NA,NA,NA,NA,NA
230311061,Drug,trade,1,2023,March,23.1,2023-03-11,NA,Cox's Bazar,Teknaf,Subrang,St. martin,NA,Near sea bank,92.324145,20.601656,Illicit Gain,NAv,NAv,NAv,NAp,Coast guard,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.75,0,0,0,0,0,Coast Guard seized 585 bottles foreign alcohol in Teknaf. No one arrested during the operation.,Parbatta News (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230124061,Drug,trade,1,2023,January,23.04,2023-01-24,NA,Cox's Bazar,Teknaf,Subrang,Saintmartine,Jetty area,Border,92.32764,20.63366,Illicit gain,NAp,NAp,Bangladeshi,NAp,Coast guard,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,10500,0,0,0,0,0,0,0,0,"On 24 January 2023, Bangladesh Coast Guard arrested two smugglers with 10,500 pcs yaba pills in St. Martin area of Cox’s Bazar.",Parbatta News (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230730063,Drug,trade,1,2023,July,23.31,2023-07-30,NA,Cox's Bazar,Teknaf,Saintmartin,Cheradwip,NA,Sea,92.320591,20.633954,Illicit gain,NAp,NAp,NAv,NAp,Coast guard,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.65,0,0,0,0,0,"On 30 July 2023 in the early morning, members of Bangladesh Coast Guard conducted a raid and seized 208 cans of beer and 375 bottles of foreign liquor from Cheradeep area of Saint Martin Island in Teknaf Upazila of Cox’s Bazar.",Parbatta News (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230522011,Death,murder,1,2023,May,23.21,2023-05-22,0.3333333333333333,Cox's Bazar,Teknaf,Saintmartin,Saintmartin,Saintmartin,Road,92.326526,20.63532,Altercation,Hitting,NAp,Bangladeshi,NAv,NAp,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"On 22 May at around 8 AM, the news of the death of a housewife named Zere Sanjida Begum (45), a gardener, was reported during the distribution of relief among the families affected by the cyclone in Saint Martin, Teknaf, Cox's Bazar.",Prothom Alo (bang.),NA,NA,NA,NA,NA,NA,NA,NA
230328061,Drug,trade,1,2023,March,23.13,2023-03-28,0.08333333333333333,Cox's Bazar,Teknaf,Saintmartin,Near sea,NA,Sea,92.325972,20.635447,Illicit gain,Nav,Nav,NAp,Nap,Coast guard,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,0,0,0,0,0,0,0,0,"On 28 March 2023, Bangladesh Coast Guard recovered 7,00,000 pcs of Yaba tablets from a floating boat in the Bay of Bengal of Saint Martin Island in Teknaf Upazila of Cox’s Bazar.",Teknaf Today (Bang.),Coxsbangla (Bang.),Bangla BDnews24 (Bang.),NA,NA,NA,NA,NA,NA
230114062,Drug,trade,1,2023,January,23.02,2023-01-14,NA,Cox's Bazar,Teknaf,Saintmartin,shaporir dwip,South Beach,Beach,92.3399,20.75237,Illicit gain,NAp,NAp,NAv,Nav,Coast Guard,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753.75,0,0,0,0,0,On 14 Jan. Coast guard seized 1005 bottles of Alcohol in  Saint Martine.,Teknaf Today (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230219063,Drug,trade,1,2023,February,23.08,2023-02-19,NA,Cox's Bazar,Teknaf,Saintmartin,Shaporir diwp,Jaliya Palong,Road,92.337876,20.75344,Illicit gain,NAp,NAp,NAp,NAp,Coast guard,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,0,0,0,0,0,0,"On 19 February 2023, Coast Guard conducted an operation and seized 28,000 pieces of yaba at Shacharit Dwip Jaliapara of Teknaf Upazila in Cox's Bazar.",Parbatta News (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
