country,iso3,year,region,rank,standard_error,number_of_sources,lower_ci,upper_ci,index,value
Afghanistan,AFG,2023,AP,162,6.244771,5,9.758576,30.24142,Bertelsmann Foundation Transformation Index,24.86647
Afghanistan,AFG,2023,AP,162,6.244771,5,9.758576,30.24142,Global Insights Country Risk Ratings,10.21805
Afghanistan,AFG,2023,AP,162,6.244771,5,9.758576,30.24142,Varieties of Democracy Project,46.33829
Afghanistan,AFG,2023,AP,162,6.244771,5,9.758576,30.24142,World Bank CPIA,1.786336
Afghanistan,AFG,2023,AP,162,6.244771,5,9.758576,30.24142,World Justice Project Rule of Law Index,14.92038
Afghanistan,AFG,2023,AP,162,6.244771,5,9.758576,30.24142,CPI score,20
Afghanistan,AFG,2022,AP,150,6.299999,4,13.668,34.332,Bertelsmann Foundation Transformation Index,25
Afghanistan,AFG,2022,AP,150,6.299999,4,13.668,34.332,Global Insights Country Risk Ratings,10
Afghanistan,AFG,2022,AP,150,6.299999,4,13.668,34.332,Varieties of Democracy Project,43
Afghanistan,AFG,2022,AP,150,6.299999,4,13.668,34.332,World Justice Project Rule of Law Index,16
Afghanistan,AFG,2022,AP,150,6.299999,4,13.668,34.332,CPI score,24
Afghanistan,AFG,2021,AP,174,2.12416,5,12.50576,19.49424,Bertelsmann Foundation Transformation Index,24.86647
Afghanistan,AFG,2021,AP,174,2.12416,5,12.50576,19.49424,Global Insights Country Risk Ratings,10.21805
Afghanistan,AFG,2021,AP,174,2.12416,5,12.50576,19.49424,Varieties of Democracy Project,12.33825
Afghanistan,AFG,2021,AP,174,2.12416,5,12.50576,19.49424,World Bank CPIA,18.44911
Afghanistan,AFG,2021,AP,174,2.12416,5,12.50576,19.49424,World Justice Project Rule of Law Index,14.0221
Afghanistan,AFG,2021,AP,174,2.12416,5,12.50576,19.49424,CPI score,16
Afghanistan,AFG,2020,AP,165,2.440014,5,14.99838,23.00162,Bertelsmann Foundation Transformation Index,25
Afghanistan,AFG,2020,AP,165,2.440014,5,14.99838,23.00162,Global Insights Country Risk Ratings,10
Afghanistan,AFG,2020,AP,165,2.440014,5,14.99838,23.00162,Varieties of Democracy Project,26
Afghanistan,AFG,2020,AP,165,2.440014,5,14.99838,23.00162,World Bank CPIA,18
Afghanistan,AFG,2020,AP,165,2.440014,5,14.99838,23.00162,World Justice Project Rule of Law Index,15
Afghanistan,AFG,2020,AP,165,2.440014,5,14.99838,23.00162,CPI score,19
Afghanistan,AFG,2019,AP,173,2.554536,5,11.81056,20.18944,Bertelsmann Foundation Transformation Index,25
Afghanistan,AFG,2019,AP,173,2.554536,5,11.81056,20.18944,Global Insights Country Risk Ratings,10
Afghanistan,AFG,2019,AP,173,2.554536,5,11.81056,20.18944,Varieties of Democracy Project,13
Afghanistan,AFG,2019,AP,173,2.554536,5,11.81056,20.18944,World Bank CPIA,18
Afghanistan,AFG,2019,AP,173,2.554536,5,11.81056,20.18944,World Justice Project Rule of Law Index,14
Afghanistan,AFG,2019,AP,173,2.554536,5,11.81056,20.18944,CPI score,16
Afghanistan,AFG,2018,AP,172,1.41,5,14,18,Bertelsmann Foundation Transformation Index,17
Afghanistan,AFG,2018,AP,172,1.41,5,14,18,Global Insights Country Risk Ratings,10
Afghanistan,AFG,2018,AP,172,1.41,5,14,18,Varieties of Democracy Project,17
Afghanistan,AFG,2018,AP,172,1.41,5,14,18,World Bank CPIA,18
Afghanistan,AFG,2018,AP,172,1.41,5,14,18,World Justice Project Rule of Law Index,16
Afghanistan,AFG,2018,AP,172,1.41,5,14,18,CPI score,16
Afghanistan,AFG,2017,AP,177,1.39,5,13,17,Bertelsmann Foundation Transformation Index,17
Afghanistan,AFG,2017,AP,177,1.39,5,13,17,Global Insights Country Risk Ratings,10
Afghanistan,AFG,2017,AP,177,1.39,5,13,17,Varieties of Democracy Project,15
Afghanistan,AFG,2017,AP,177,1.39,5,13,17,World Bank CPIA,18
Afghanistan,AFG,2017,AP,177,1.39,5,13,17,World Justice Project Rule of Law Index,16
Afghanistan,AFG,2017,AP,177,1.39,5,13,17,CPI score,15
Afghanistan,AFG,2016,AP,169,1.74,5,12,17,Bertelsmann Foundation Transformation Index,20
Afghanistan,AFG,2016,AP,169,1.74,5,12,17,Global Insights Country Risk Ratings,10
Afghanistan,AFG,2016,AP,169,1.74,5,12,17,Varieties of Democracy Project,16
Afghanistan,AFG,2016,AP,169,1.74,5,12,17,World Bank CPIA,13
Afghanistan,AFG,2016,AP,169,1.74,5,12,17,World Justice Project Rule of Law Index,13
Afghanistan,AFG,2016,AP,169,1.74,5,12,17,CPI score,15
Afghanistan,AFG,2015,AP,166,3.490000009536743,4,5,17,Bertelsmann Foundation Transformation Index,19
Afghanistan,AFG,2015,AP,166,3.490000009536743,4,5,17,Global Insights Country Risk Ratings,11
Afghanistan,AFG,2015,AP,166,3.490000009536743,4,5,17,World Bank CPIA,12
Afghanistan,AFG,2015,AP,166,3.490000009536743,4,5,17,World Justice Project Rule of Law Index,2
Afghanistan,AFG,2015,AP,166,3.490000009536743,4,5,17,CPI score,11
Afghanistan,AFG,2014,AP,172,1.2899999618530273,4,10,14,Bertelsmann Foundation Transformation Index,10
Afghanistan,AFG,2014,AP,172,1.2899999618530273,4,10,14,Global Insights Country Risk Ratings,11
Afghanistan,AFG,2014,AP,172,1.2899999618530273,4,10,14,World Bank CPIA,12
Afghanistan,AFG,2014,AP,172,1.2899999618530273,4,10,14,World Justice Project Rule of Law Index,16
Afghanistan,AFG,2014,AP,172,1.2899999618530273,4,10,14,CPI score,12
Afghanistan,AFG,2013,AP,175,3.3,3,3,13,Bertelsmann Foundation Transformation Index,10
Afghanistan,AFG,2013,AP,175,3.3,3,3,13,Global Insights Country Risk Ratings,1
Afghanistan,AFG,2013,AP,175,3.3,3,3,13,World Bank CPIA,12
Afghanistan,AFG,2013,AP,175,3.3,3,3,13,CPI score,8
Afghanistan,AFG,2012,AP,174,3.3,3,2,13,Bertelsmann Foundation Transformation Index,10
Afghanistan,AFG,2012,AP,174,3.3,3,2,13,Global Insights Country Risk Ratings,1
Afghanistan,AFG,2012,AP,174,3.3,3,2,13,World Bank CPIA,12
Afghanistan,AFG,2012,AP,174,3.3,3,2,13,CPI score,8
Bangladesh,BGD,2023,AP,149,1.511192,8,21.52164,26.47836,Bertelsmann Foundation Transformation Index,20.87696
