Country,Indicator_SubType,Sum of Value,Year
India,Disaster New Displacement,5017722.00,2019
China,Disaster New Displacement,4473319.00,2017
Philippines,Disaster New Displacement,4094228.00,2019
Bangladesh,Disaster New Displacement,4086203.00,2019
China,Disaster New Displacement,4033553.00,2019
Philippines,Disaster New Displacement,3801971.00,2018
China,Disaster New Displacement,3762370.00,2018
Afghanistan,Conflict Stock Displacement,2993384.00,1900
India,Disaster New Displacement,2675414.00,2018
Afghanistan,Conflict Stock Displacement,2597897.00,2018
Philippines,Disaster New Displacement,2528620.00,2017
India,Disaster New Displacement,1345994.00,2017
Afghanistan,Conflict Stock Displacement,1286483.00,2017
Bangladesh,Disaster New Displacement,946119.00,2017
Indonesia,Disaster New Displacement,853305.00,2018
India,Conflict Stock Displacement,805744.00,2017
Philippines,Conflict New Displacement,644811.00,2017
Myanmar,Conflict Stock Displacement,635155.00,2017
Vietnam,Disaster New Displacement,633463.00,2017
Iran,Disaster New Displacement,519724.00,2019
India,Conflict Stock Displacement,479446.00,2018
Afghanistan,Conflict New Displacement,473892.00,2017
India,Conflict Stock Displacement,469624.00,1900
Indonesia,Disaster New Displacement,462646.00,2019
Afghanistan,Conflict New Displacement,460692.00,2019
Myanmar,Conflict Stock Displacement,457313.00,1900
Philippines,Conflict Stock Displacement,445268.00,2017
Afghanistan,Disaster New Displacement,435448.00,2018
Bangladesh,Conflict Stock Displacement,432000.00,2017
Bangladesh,Conflict Stock Displacement,426561.00,1900
Bangladesh,Conflict Stock Displacement,426070.00,2018
Myanmar,Conflict Stock Displacement,401168.00,2018
Nepal,Disaster New Displacement,383904.00,2017
Afghanistan,Conflict New Displacement,371779.00,2018
Indonesia,Disaster New Displacement,364971.00,2017
Myanmar,Disaster New Displacement,351436.00,2017
Philippines,Conflict Stock Displacement,300806.00,2018
Myanmar,Disaster New Displacement,298023.00,2018
Myanmar,Disaster New Displacement,270012.00,2019
Pakistan,Conflict Stock Displacement,249491.00,2017
Iran,Disaster New Displacement,224599.00,2017
Philippines,Conflict New Displacement,188314.00,2018
Philippines,Conflict New Displacement,183273.00,2019
Philippines,Conflict Stock Displacement,181815.00,1900
India,Conflict New Displacement,169313.00,2018
Vietnam,Disaster New Displacement,143047.00,2018
Sri Lanka,Disaster New Displacement,135038.00,2017
Nepal,Disaster New Displacement,120902.00,2019
Pakistan,Conflict Stock Displacement,118996.00,2018
Afghanistan,Disaster New Displacement,116558.00,2019
Pakistan,Conflict Stock Displacement,105844.00,1900
Lao PDR,Disaster New Displacement,102540.00,2019
Pakistan,Disaster New Displacement,100082.00,2019
Sri Lanka,Disaster New Displacement,99674.00,2018
Vietnam,Disaster New Displacement,88749.00,2019
Sri Lanka,Disaster New Displacement,87051.00,2019
Malaysia,Disaster New Displacement,82393.00,2017
Myanmar,Conflict New Displacement,79652.00,2019
India,Conflict New Displacement,78489.00,2017
Bangladesh,Disaster New Displacement,77789.00,2018
Pakistan,Conflict New Displacement,75137.00,2017
Iran,Disaster New Displacement,73913.00,2018
Cambodia,Disaster New Displacement,70108.00,2019
"Korea, Dem. People's Rep.",Disaster New Displacement,68826.00,2018
Malaysia,Disaster New Displacement,63228.00,2019
Thailand,Disaster New Displacement,61352.00,2019
Papua New Guinea,Disaster New Displacement,61028.00,2018
Myanmar,Conflict New Displacement,56967.00,2017
Thailand,Disaster New Displacement,50371.00,2017
Myanmar,Conflict New Displacement,42434.00,2018
Sri Lanka,Conflict Stock Displacement,41938.00,2017
Thailand,Conflict Stock Displacement,40584.00,1900
Thailand,Conflict Stock Displacement,40584.00,2007
Thailand,Conflict Stock Displacement,40584.00,2017
Indonesia,Conflict Stock Displacement,40094.00,1900
