Timestamp,max_temp_degC,min_temp_degC,mean_temp_degC,mean_humidity_percent,mean_wind_direction_compass,mean_wind_speed_kts,max_wind_direction_compass,max_wind_speed_kts,rainfall_mm,sunshine_hrs
1/1/1990,31.4,26.2,28.4,79,NNW,9,NNW,11,0,11.3
1/2/1990,31.2,24,28.9,75,NNE,8,NNE,10,0,10.8
1/3/1990,31,24.8,28,81,NNW,7,NW,9,0.6,10.5
1/4/1990,30.8,27.4,28.1,78,NNW,7,NNW,11,0,7.7
1/5/1990,31.4,26.6,28.7,73,NNW,10,NNE,14,0,5.2
1/6/1990,30.4,26.4,28.7,77,NNW,11,NNW,13,0,6.2
1/7/1990,30.4,26,29,78,NW,8,NW,11,0,6.5
1/8/1990,31,27.5,28.4,77,NW,7,NW,8,0,8.5
1/9/1990,31.6,26.6,28.3,76,ENE,9,ENE,13,0,9.9
1/10/1990,31.4,26.6,27.9,77,NE,9,ENE,11,0,11.2
1/11/1990,31.2,26.6,26.7,78,NNE,9,NNE,12,0,10.5
1/12/1990,31.4,24.5,27.1,79,NW,8,NNW,12,2.2,8.2
1/13/1990,30.6,23.4,28.4,78,NNW,6,W,10,21.6,9.9
1/14/1990,29.6,22.8,28.5,84,NW,6,WNW,15,12.7,0.2
1/15/1990,30,23.4,28.5,81,NNW,7,NW,12,11.7,1.8
1/16/1990,30.8,27,28.2,72,NNE,8,N,9,0,5.4
1/17/1990,31.4,26.2,26.8,67,N,6,N,11,0,11.1
1/18/1990,30.8,25.8,28.3,70,NNE,10,NNE,12,0,6.8
1/19/1990,30.6,24,28.2,78,NNE,8,NNW,15,1.8,8.3
1/20/1990,29.8,23.5,26.8,85,NNW,8,S,11,41.6,2.4
1/21/1990,30.6,26.2,28.3,77,N,8,NNW,10,0,10.9
1/22/1990,30.4,24.4,28.4,73,N,10,N,11,0,11.6
1/23/1990,29.2,25,28,79,N,7,NW,9,0.6,1.4
1/24/1990,30.4,24.8,28.5,71,NNW,10,NW,14,4.8,4.5
1/25/1990,30.6,26.6,28.4,74,NNE,9,NNE,11,0,4.7
1/26/1990,30.8,26.4,28.2,78,ENE,9,ENE,13,2.7,10.6
1/27/1990,30.8,25.4,27.9,78,ENE,6,NNW,18,9.7,10.5
1/28/1990,30.4,26.4,28.2,72,NNE,8,NNE,14,0,10.9
1/29/1990,30.4,25.4,28.5,74,NNE,10,NNE,13,0,10.6
1/30/1990,30.4,26.8,28.6,79,NNE,8,NNE,13,0,4.2
1/31/1990,30.4,25,28.9,75,N,7,NNW,9,0,3.2
2/1/1990,30.6,25.6,28.6,77,NNE,6,NE,7,0,10.4
2/2/1990,31.4,26.4,28.2,79,NE,7,NE,11,0,11
2/3/1990,31.6,25.4,28.5,77,E,6,E,11,0,11.4
2/4/1990,31.6,25,26.6,80,NE,7,ENE,11,5.7,11.6
2/5/1990,31.4,25.9,26.2,81,NE,6,NNE,11,6.2,0.4
2/6/1990,30.8,25,27.9,82,NE,10,ENE,22,4.6,0.2
2/7/1990,29.4,24,28.9,93,ENE,11,N,16,77.7,0
2/8/1990,27.6,23.2,28.8,92,NNE,13,ENE,22,13.4,0
2/9/1990,31.2,25.4,26.6,86,NE,11,NE,15,27.4,7.2
2/10/1990,31,26.4,26.8,81,ENE,13,ENE,18,0,7.8
2/11/1990,32,23,26,80,ESE,8,ESE,14,3,11.1
2/12/1990,30,24.8,27.8,90,NNE,10,NNE,13,7.7,0.2
2/13/1990,28.6,24.9,28.1,87,ENE,9,ENE,15,4.1,0
2/14/1990,27.8,23,28.2,91,VRB,7,NW,10,18.8,0
2/15/1990,30.6,24.4,28.6,82,ENE,6,ENE,8,0.2,10.8
2/16/1990,30.8,25.6,27.8,83,SE,6,SE,7,0,9.2
2/17/1990,31,25.2,28.1,83,NNE,7,NW,10,0,10.4
2/18/1990,31,25,28,80,N,7,N,9,0.2,11.2
2/19/1990,30.2,25,28.1,84,WNW,7,NW,8,0.2,11.2
2/20/1990,31.4,24.4,26.8,81,NW,6,WNW,8,0,9.8
2/21/1990,31,25.7,28.3,83,NNW,7,NNW,12,23.4,3.9
2/22/1990,31.6,22.4,28.4,81,NNW,13,SW,35,21.8,6.4
2/23/1990,29.8,23.8,28.8,82,SSW,8,SSW,15,0.1,2.4
2/24/1990,30.8,24.8,27.9,81,W,7,WNW,9,0,11.2
2/25/1990,31,26.5,28.3,77,NNE,6,NW,7,0,8.6
