Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,570.676061364151,582.103975873526,576.487817324819,566.881129708434,564.920840615235,563.488236495596,553.973306037506,559.140953983718,529.144909726945,407.616505242601,372.615894847401,..
Bangladesh,BGD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1070.9685396209,1121.07617942151,1174.30240138137,1236.4354555046,1308.18840641163,1377.08356162655,1460.81351644884,1558.50779749774,1593.90308825469,1685.02093460066,1785.36131679937,1869.16393296539
Bhutan,BTN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2609.08482130198,2624.17568021008,2746.08685416106,2899.22829354394,3115.58791206085,3197.74374711881,3283.77566749485,3448.4941900809,3075.88556526741,3191.30882868504,3336.37629915679,..
Cambodia,KHM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,992.134600385451,1049.99450648558,1109.37565271596,1170.74281578643,1235.32340394445,1304.54938902362,1384.96802283531,1465.96953537797,1404.19865499773,1429.93702682184,1488.81455084105,1552.82056848537
China,CHN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6591.66249405644,7056.42309152349,7532.78530130172,8016.44559489998,8516.52874235572,9053.22872461936,9619.20947510677,10155.5108830542,10358.1699971792,11223.2553476968,11560.2421221334,12174.0041075641
Fiji,FJI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4446.73416598829,4645.04648054693,4894.04357132024,5105.18959221062,5223.37600776808,5499.12220259354,5708.91093020969,5679.05182722096,4701.3314678446,4451.60259894592,5313.02843815538,5698.96420483469
India,IND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1337.47611073826,1404.54534647065,1490.02850762963,1590.17433134297,1701.18423764708,1795.9118496797,1891.13843545663,1944.31484844968,1814.56156970557,1974.58060231807,2098.22093124628,2239.25036295254
Indonesia,IDN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2959.5144781668,3086.32311695224,3203.48428702077,3322.58167895444,3453.04943030511,3591.78002845926,3741.30526682049,3892.42166187369,3780.12163441585,3892.95599990599,4073.55834962073,4247.85315520073
"Iran, Islamic Rep.",IRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5180.08602726727,5027.48471728532,5178.90070655187,4990.93679541655,5332.1010318135,5401.45593675503,5233.28205397474,5017.11721517534,5141.08477649301,5344.95802474488,5507.53339500769,5739.9439512132
"Korea, Dem. People's Rep.",PRK,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..
