Timestamp,max_temp_degC,min_temp_degC,mean_temp_degC,mean_humidity_percent,mean_wind_direction_compass,mean_wind_speed_kts,max_wind_direction_compass,max_wind_speed_kts,rainfall_mm,sunshine_hrs
6/1/1991,29.4,23.4,26.3,91,WNW,45,WNW,64,65,
6/2/1991,29.2,25.4,27.8,89,WNW,51,NW,62,9.9,
6/3/1991,29.6,26,28.8,80,WNW,50,NNW,76,4.7,
6/4/1991,29,23,27.3,87,W,37,WNW,68,29.1,
6/5/1991,28.6,24,27.1,89,WNW,41,WNW,70,57.1,
6/6/1991,29.4,24.2,27.7,84,W,32,W,64,40.5,
6/7/1991,30,26,28.9,80,WSW,22,WSW,52,0,
6/8/1991,29.6,25,28.7,82,WSW,20,W,52,6.6,
6/9/1991,31.6,26.4,29.3,79,WNW,19,WNW,25,5.2,
6/10/1991,31.4,27.2,29.3,82,WNW,18,WNW,20,0,
6/11/1991,31,25.6,29.8,72,W,16,W,18,3.2,
6/12/1991,30,27,29.4,78,WNW,18,W,20,0,
6/13/1991,30.2,25.6,28.2,86,WNW,16,WNW,22,40.2,
6/14/1991,29.6,27.2,29.1,83,W,13,WNW,15,0,
6/15/1991,30.2,25.6,29.4,83,WNW,14,WNW,18,18.4,
6/16/1991,30.2,26.4,29.3,80,W,14,W,48,10.1,
6/17/1991,30.2,25,28.3,83,SW,15,W,54,6.5,
6/18/1991,30,26.2,28.5,80,W,19,W,56,11.6,
6/19/1991,30.2,27.4,29,74,WNW,19,WNW,22,0,
6/20/1991,30.4,27.6,29.5,73,NW,13,NW,14,0,
6/21/1991,32,27.4,29.9,72,WNW,12,WNW,13,0,
6/22/1991,31,24,29,78,NW,13,WNW,56,24.7,
6/23/1991,29.2,25,27.6,88,WNW,12,WNW,14,27.2,
6/24/1991,28.6,24.5,26.4,92,WNW,16,NW,52,19.3,
6/25/1991,29,23.8,27.6,83,NW,16,NW,36,21.6,
6/26/1991,30.7,24.8,27.3,86,WNW,15,WNW,52,4.7,
6/27/1991,29.2,24,27.5,86,WNW,15,WNW,62,12,
6/28/1991,30.8,24.4,29.3,77,WNW,15,W,17,0,
6/29/1991,30.6,23.2,28.7,82,WNW,15,WNW,54,5.5,
6/30/1991,29.8,24,27.8,85,WNW,14,WNW,20,0.6,
7/1/1991,29.8,24.6,28,86,NW,8,NNE,12,0.6,
7/2/1991,30.9,27.2,29.5,79,NW,12,NW,15,0,
7/3/1991,30.7,27.2,29.7,79,NW,11,NW,12,0,
7/4/1991,31.9,26.7,29.7,76,WNW,10,NW,12,0,
7/5/1991,31.9,26.8,29.6,76,WSW,8,WNW,10,0,
7/6/1991,30.8,27.2,28.9,72,WSW,11,W,14,0,
7/7/1991,30.3,27.2,28.8,73,WSW,14,WSW,17,0,
7/8/1991,30.4,26.7,28.9,79,WSW,17,WSW,19,0.7,
7/9/1991,29.9,23.6,28.4,81,WSW,15,W,35,20.4,
