entry_id,screenshot_id,link,description,key_message,rco_primary_category,sub_category,ethnic_group,religious_group,protected_group7,local,international,source,gender_of_perpetrator,location_country,province_if_sri_lanka,district_if_sri_lanka,date_year,month,day,language,engagement,video_views,platform,entry_id2,x26,month_number,protected_group
1,236/ 237,https://www.facebook.com/443353912765873/posts/901410476960212/,Hate speech against former UNP MP for her statement on the government action related to COVID - 19. The comments on the post mostly has been in connection to previous insident of leaked telephone conversatsions. The comments are mostly focused on her as female politician. Majority of the comments on the post are derogatoary and violates protected categories as per community guidlines on hate speech,Identity Based Attacks/Stereotypes,Hate Speech,NA,NA,NA,NA,NA,NA,Individual User,Male,Data not available,NA,NA,2020,March,16,NA,NA,NA,Facebook,1,<100,3,Women
4,240,https://www.facebook.com/permalink.php?story_fbid=211013470252973&id=101416004546054,"This post states that  Warning ! It is reported that three businessmen have died due to coronavirus in Kattankudy and the news has been hidden. The dead people are said to have gone to China to buy goods for business purposes People of Kattankudy be aware of going to restaurants, shops. But there is no verified news about this incident.",Threats of Violence/Incitement to Violence,Disinformation,NA,NA,NA,NA,NA,NA,Meme/Gossip Page,Male,Data not available,NA,NA,2020,March,16,NA,NA,NA,Facebook,4,<100,3,Diseased/Disabled
5,243,https://www.facebook.com/japanbodare/photos/a.265140630595143/897947470647786/?type=3&theater,The post refers to a statement by a reknowned astrologist about the virus not threatening certain signs. The post directs violence to kills the astrologist. The astrologist is also a person with disability. This post incites violence and is against the community guidelines of facebook,Threats of Violence/Incitement to Violence,Disinformation,NA,NA,NA,NA,NA,NA,Meme/Gossip Page,Data not available,Data not available,NA,NA,2020,March,16,NA,NA,NA,Facebook,5,1000-10000,3,Diseased/Disabled
6,244,https://www.facebook.com/groups/451436861732252/permalink/1361986144010648,Homophobic post shared a hate speech against UNP. This violates Facebook community standards as hate speech based on sexual orientation.,Identity Based Attacks/Stereotypes,Hate Speech,NA,NA,NA,NA,NA,NA,Individual User,Male,Data not available,NA,NA,2020,March,17,NA,NA,NA,Facebook,6,<100,3,LGBTQI
16,261,https://www.facebook.com/newtamils1/posts/2899962616716514?comment_id=2900035003375942&reply_comment_id=2901087089937400,This comments says the pastor deserves to die as a reply for a comment which says the father never intented to spread corona and it happened without knowingly so pray for him and his family.,Identity Based Attacks/Stereotypes,Hate Speech,NA,NA,NA,NA,NA,NA,Meme/Gossip Page,Male,Data not available,NA,NA,2020,March,21,NA,NA,NA,Facebook,16,<100,3,Diseased/Disabled
21,266,https://www.facebook.com/sajithpremadasa/videos/264580894543711/,This is a video published by the former opposition leader of the country. He mis-states matters regarding a medication related to COVID - 19. This statement could mislead the public into going into wrong measures related to prevention of virus. He mixes the brand name and generic drug name of the medicine and these have also being factchecked to be inaccurate. https://factcheck.afp.com/anti-malaria-drug-has-proven-effective-treating-coronavirus-has-not-cured-12552-patients https://www.bloomberg.com/news/articles/2020-03-21/nigeria-reports-chloroquine-poisonings-after-trump-praised-drug,Threats of Violence/Incitement to Violence,Disinformation,NA,NA,NA,NA,NA,NA,Political Actor,Data not available,Data not available,NA,NA,2020,March,23,NA,NA,NA,Facebook,21,1000-10000,3,Diseased/Disabled
23,268,https://www.facebook.com/ElectSajithPremadasa/posts/3077026952315492,The post states that the Statement issued by Former opposition lead recommending medication for COVID 19 is true and it has approved by the Government Medical Officer's Association to be take into treatment. The statement by Sajith Premadasa has been quoted as wrong. Further emphasis on it being true could lead to real world harm as people may tend to use it as protectionary measures.,Threats of Violence/Incitement to Violence,Disinformation,NA,NA,NA,NA,NA,NA,Political Page,Data not available,Data not available,NA,NA,2020,March,23,NA,NA,NA,Facebook,23,100-1000,3,Diseased/Disabled
30,278,https://www.facebook.com/1756050648009166/posts/2820107008270186,The post containts information regarding a female Sri Lankan living in Italy who criticized DIG Ajith Rohana. This post containct derogatory language and could potentially harm her. The post also containct derogatory comments.,Threats of Violence/Incitement to Violence,Hate Speech,NA,NA,NA,NA,NA,NA,Individual User,Male,Data not available,NA,NA,2020,March,24,NA,NA,NA,Facebook,30,1000-10000,3,Women
31,280,https://www.facebook.com/451436861732252/posts/1369622079913721,The post containts information regarding a female Sri Lankan living in Italy who criticized DIG Ajith Rohana. This post contain derogatory language and could potentially harm her. The post also containct derogatory comments.,Threats of Violence/Incitement to Violence,Hate Speech,NA,NA,NA,NA,NA,NA,Individual User,Female,Sri Lanka,Western,NA,2020,March,24,NA,NA,NA,Facebook,31,100-1000,3,Women
35,284,https://www.facebook.com/BacktoMahinda/posts/2334102566893129,The post refers to the video statement made by a female Sri Lanka living in Italy criticizing DIG Ajith Rohana. The post is derogotary towards the individuals and call her a prostitute. The post also carries derogatory comments.,Identity Based Attacks/Stereotypes,Hate Speech,NA,NA,NA,NA,NA,NA,Political Page,Data not available,Data not available,NA,NA,2020,March,26,NA,NA,NA,Facebook,35,<100,3,Women
