serial_number,title,date_added,hrd_long
1,Vietnam: blogger sentenced to 8-year jail term (Update),14/05/2023,Blogger/ Social Media Activist
2,China: pro-democracy defender sentenced in closed-door trial (Update),14/05/2023,Lawyer
2,China: pro-democracy defender sentenced in closed-door trial (Update),14/05/2023,Pro-democracy defender
3,"Sri Lanka: pro-democracy defender beaten, arrested",15/05/2023,Pro-democracy defender
4,Thailand 9 arrested for taking part in demonstration,15/05/2023,WHRD
4,Thailand 9 arrested for taking part in demonstration,15/05/2023,Youth
4,Thailand 9 arrested for taking part in demonstration,15/05/2023,Pro-democracy defender
5,Pakistan: media workers beaten by police for filming a raid,15/05/2023,Media Worker
6,Pakistan: media workers attacked while covering protests,15/05/2023,Media Worker
7,India: lawyer apprehended by the police,08/05/2023,Community-based HRD
7,India: lawyer apprehended by the police,08/05/2023,Lawyer
8,Kazakhstan: two defenders sentenced to 15-day jail for protest,15/05/2023,WHRD
8,Kazakhstan: two defenders sentenced to 15-day jail for protest,15/05/2023,Pro-democracy defender
9,Kyrgyzstan: media worker summoned for questioning,15/05/2023,Media Worker
9,Kyrgyzstan: media worker summoned for questioning,15/05/2023,WHRD
10,China: artist has exhibition shut down,15/05/2023,Artist
11,Kazakhstan: pro-democracy defender handed down 5-day jail term for violating court ban,07/05/2023,Pro-democracy defender
12,Kazakhstan: media worker jailed for violating court ban,07/05/2023,Media Worker
13,Bangladesh: media worker assaulted for covering irregularities,08/05/2023,Media Worker
14,"Afghanistan: farmers arrested, beaten for staging a protest",07/05/2023,Community-based HRD
15,"India: women protest met with violence, arrest",07/05/2023,Media Worker
15,"India: women protest met with violence, arrest",07/05/2023,WHRD
16,Kazakhstan: women's and SOGI rights organisation,11/05/2023,NGO
16,Kazakhstan: women's and SOGI rights organisation,11/05/2023,NGO staff
16,Kazakhstan: women's and SOGI rights organisation,11/05/2023,WHRD
17,Mongolia: minority rights defender arrested and deported by Chinese police,14/05/2023,Minority rights defender
18,India: five HRDs house raided,05/05/2023,Community-based HRD
18,India: five HRDs house raided,05/05/2023,Media Worker
19,Thailand: public servant for Government,07/05/2023,Public Servant
20,Kazakhstan: anti-government demonstrators arrested,01/05/2023,Pro-democracy defender
21,China: citizen journalist faces administrative harassment after release from prison,07/05/2023,Community-based HRD
22,Lao PDR: young social media activist gunned down,03/05/2023,Blogger/ Social Media Activist
22,Lao PDR: young social media activist gunned down,03/05/2023,Youth
23,Myanmar: student leader sentenced to additional 10 years,03/05/2023,Student
23,Myanmar: student leader sentenced to additional 10 years,03/05/2023,Pro-democracy defender
24,"Pakistan: media worker, his son abducted and tortured for taking part in a protest",15/05/2023,Media Worker
24,"Pakistan: media worker, his son abducted and tortured for taking part in a protest",15/05/2023,Family of HRD
25,Philippines: two defenders abducted,15/05/2023,Community-based HRD
25,Philippines: two defenders abducted,15/05/2023,NGO staff
26,Kyrgyzstan: court entertains request to terminate operation of media outlet (Update),01/05/2023,Media Worker
27,Kazakhstan: artist critical of the government arrested,01/05/2023,Artist
28,"China: lawyers, family members forced to evict from their houses",02/05/2023,Family of HRD
28,"China: lawyers, family members forced to evict from their houses",02/05/2023,Lawyer
29,Thailand: pro-democracy defender sentenced on royal defamation charges,02/05/2023,Pro-democracy defender
30,"China: Tibetan WHRD, her husband arrested once again",15/05/2023,WHRD
30,"China: Tibetan WHRD, her husband arrested once again",15/05/2023,Family of HRD
30,"China: Tibetan WHRD, her husband arrested once again",15/05/2023,Community-based HRD
31,Kyrgyzstan: environmental defenders pressed with additional charges (Update),01/05/2023,Environmental rights defender
31,Kyrgyzstan: environmental defenders pressed with additional charges (Update),01/05/2023,WHRD
32,Cambodia: relatives of social media activist publicly threatened by the prime minister,26/04/2023,Family of HRD
33,Vietnam: land rights defender arrested,01/05/2023,Land rights defender
34,China: sister of Tibetan political prisoner obstructed as she resumes protest (Update),02/05/2023,WHRD
35,Kazakhstan: 2024 Women’s March prohibited,01/05/2023,NGO
35,Kazakhstan: 2024 Women’s March prohibited,01/05/2023,WHRD
36,Vietnam: Ede minorities protesting a drainage project met with police violence,26/04/2023,Community-based HRD
36,Vietnam: Ede minorities protesting a drainage project met with police violence,26/04/2023,Environmental rights defender
37,Vietnam: two social media activists arrested for reporting land-grabbing,25/04/2023,Blogger/ Social Media Activist
37,Vietnam: two social media activists arrested for reporting land-grabbing,25/04/2023,Environmental rights defender
37,Vietnam: two social media activists arrested for reporting land-grabbing,25/04/2023,WHRD
38,"Vietnam: ethnic minority citizens beaten, arrested",25/04/2023,Community-based HRD
38,"Vietnam: ethnic minority citizens beaten, arrested",25/04/2023,Environmental rights defender
38,"Vietnam: ethnic minority citizens beaten, arrested",25/04/2023,WHRD
39,Afghanistan: another WHRD temporarily arrested,25/04/2023,Community-based HRD
39,Afghanistan: another WHRD temporarily arrested,25/04/2023,WHRD
40,Lao PDR: defender arrested upon returning to home country,15/05/2023,Pro-democracy defender
41,Nepal: media workers prevented from reporting,02/05/2023,Media Worker
42,"Pakistan: media worker abducted, tortured",07/05/2023,Media Worker
43,India: community-based defender threatened,25/04/2023,Community-based HRD
44,China: Hong Kongese leading figure gets additional prison term,02/05/2023,Youth
44,China: Hong Kongese leading figure gets additional prison term,02/05/2023,Pro-democracy defender
45,"China: investigative reporter detained, his family threatened",03/05/2023,Media Worker
45,"China: investigative reporter detained, his family threatened",03/05/2023,Family of HRD
45,"China: investigative reporter detained, his family threatened",03/05/2023,Lawyer
46,Indonesia: Another Omnibus Law protest dispersed by the police,25/04/2023,Student
46,Indonesia: Another Omnibus Law protest dispersed by the police,25/04/2023,Community-based HRD
47,"China: prominent human rights lawyer, wife arrested on their way to EU Delegation",02/05/2023,Lawyer
47,"China: prominent human rights lawyer, wife arrested on their way to EU Delegation",02/05/2023,Family of HRD
48,Vietnam: blogger in refuge abducted and forced to return to Vietnam,19/04/2023,Blogger/ Social Media Activist
49,Kazakhstan: media worker and HRD arrested,01/05/2023,Pro-democracy defender
49,Kazakhstan: media worker and HRD arrested,01/05/2023,Media Worker
50,Vietnam: Blogger sentenced to 6 years on anti-state propaganda (Update),20/04/2023,Blogger/ Social Media Activist
51,Kazakhstan: group of labour rights defenders detained,01/05/2023,Labour rights defender
52,China: two prominent pro-democracy HRDs handed down lengthy jail term (Update),01/05/2023,Pro-democracy defender
53,China: political commentator and pro-democracy defender sentenced to 14-year jail,01/05/2023,Pro-democracy defender
54,Thailand: 15-year-old WHRD receives death threats,02/05/2023,WHRD
54,Thailand: 15-year-old WHRD receives death threats,02/05/2023,Youth
54,Thailand: 15-year-old WHRD receives death threats,02/05/2023,Pro-democracy defender
55,"India: HRD beaten, threatened",25/04/2023,Community-based HRD
56,Vietnam: Another activist arrested in continuous religious repression,20/04/2023,Freedom of religion/belief activist
57,Vietnam: human rights lawyers summoned again as harassment continues (Update),25/04/2023,Lawyer
58,Maldives: Journalists threatened after reporting on politician and tourism mogul,20/04/2023,Media Worker
59,Thailand: three HRDs arrested,02/05/2023,Pro-democracy defender
60,Afghanistan: academic arrested for criticising the Taliban,01/05/2023,Academic
60,Afghanistan: academic arrested for criticising the Taliban,01/05/2023,WHRD
61,Myanmar: pro-democracy defender sentenced to additional 20-year,02/05/2023,Pro-democracy defender
62,Myanmar: pro-democracy leader sentenced to additional 34 year of jail (Update),02/05/2023,Pro-democracy defender
63,Bangladesh: Journalist attacked and thrown off building for reporting illegal land clearances,20/04/2023,Media Worker
64,China: veteran defender stands trial during detention,03/05/2023,Pro-democracy defender
65,Sri Lanka: media worker summoned for interrogation,01/05/2023,Media Worker
66,Myanmar: pro-democracy teacher sentenced to life on terrorism charges,03/05/2023,Public Servant
66,Myanmar: pro-democracy teacher sentenced to life on terrorism charges,03/05/2023,Pro-democracy defender
66,Myanmar: pro-democracy teacher sentenced to life on terrorism charges,03/05/2023,WHRD
67,China: human rights lawyer sentenced to 5-year imprisonment (Update),01/05/2023,Lawyer
67,China: human rights lawyer sentenced to 5-year imprisonment (Update),01/05/2023,Pro-democracy defender
68,Vietnam: mother of detained defender harassed,01/05/2023,Family of HRD
69,Afghanistan: women-run radio broadcaster shut down,02/05/2023,Media Worker
69,Afghanistan: women-run radio broadcaster shut down,02/05/2023,WHRD
70,Vietnam: detained couple had sentence upheld in appeal (Update),24/04/2023,Blogger/ Social Media Activist
70,Vietnam: detained couple had sentence upheld in appeal (Update),24/04/2023,Family of HRD
71,Bangladesh: media worker arrested for covering cost of living,01/05/2023,Media Worker
72,Vietnam: WHRD harassed after being released,01/05/2023,WHRD
72,Vietnam: WHRD harassed after being released,01/05/2023,Pro-democracy defender
73,Myanmar: 13 youth sentenced on incitement charges,03/05/2023,WHRD
73,Myanmar: 13 youth sentenced on incitement charges,03/05/2023,Youth
73,Myanmar: 13 youth sentenced on incitement charges,03/05/2023,Pro-democracy defender
74,"India: anti-mining defender beaten, threatened",11/05/2023,Environmental rights defender
75,India: ForB WHRD booked on multiple charges,14/05/2023,Freedom of religion/belief activist
75,India: ForB WHRD booked on multiple charges,14/05/2023,WHRD
76,Thailand: 15-year-old WHRD arrested on royal defamation charges,01/05/2023,WHRD
76,Thailand: 15-year-old WHRD arrested on royal defamation charges,01/05/2023,Youth
76,Thailand: 15-year-old WHRD arrested on royal defamation charges,01/05/2023,Pro-democracy defender
77,Sri Lanka: labour rights defenders sent on compulsory leave,02/05/2023,Labour rights defender
78,Maldives: Civil Court supported the arbitrary de-registration of prominent NGO,20/04/2023,NGO
79,Vietnam: Land rights activist sentenced to 6-years imprisonment under repressive law (Update),30/03/2023,Land rights defender
79,Vietnam: Land rights activist sentenced to 6-years imprisonment under repressive law (Update),30/03/2023,Pro-democracy defender
80,Kazakhstan: three detained for demonstration,01/05/2023,Community-based HRD
81,Philippines: NGO cashier wrongfully convicted of terrorist financing,30/03/2023,WHRD
81,Philippines: NGO cashier wrongfully convicted of terrorist financing,30/03/2023,NGO staff
82,Afghanistan: women protest disbanded,01/05/2023,Community-based HRD
82,Afghanistan: women protest disbanded,01/05/2023,WHRD
83,Philippines: labour rights defenders abducted,02/05/2023,Labour rights defender
84,Nepal: media worker assaulted for covering illegal business,02/05/2023,Media Worker
85,Philippines: NGO worker and SOGI rights defender killed,02/05/2023,NGO staff
85,Philippines: NGO worker and SOGI rights defender killed,02/05/2023,SOGI rights defender
86,"India: students beaten, arrested for staging a demonstration",24/04/2023,Student
87,Indonesia: Environmental rights defender arrested again (Update),25/04/2023,Environmental rights defender
88,Kyrgyzstan: WHRD fined for criticising the government,01/05/2023,WHRD
89,India: Kashmiri prominent defender in detention faces a fresh case (Update),01/05/2023,Community-based HRD
89,India: Kashmiri prominent defender in detention faces a fresh case (Update),01/05/2023,Minority rights defender
90,Thailand: pro-democracy HRD issued arrest warrant,02/05/2023,Pro-democracy defender
91,Kazakhstan: media worker arrested ahead of planned protest,01/05/2023,Media Worker
92,Nepal: three youth arrested for peaceful protest,02/05/2023,Youth
93,Singapore: Human rights lawyer suspended for five years after accusing the attorney-general's office,30/03/2023,Lawyer
94,"China: sister of Tibetan political prisoner arrested, beaten (Update)",02/05/2023,WHRD
95,India: Kashmiri journalist arbitrarily arrested under draconian law,30/03/2023,Media Worker
96,Afghanistan: three women arrested for protest,01/05/2023,Community-based HRD
96,Afghanistan: three women arrested for protest,01/05/2023,WHRD
97,India: Journalist arrested after posting the alleged involvement of a lawmaker in illegal gambling activities,19/04/2023,Media Worker
98,Kyrgyzstan: court uphold decision to block independent media outlet (Update),19/03/2023,Media Worker
99,"Maldives: media worker arrested, assaulted",19/03/2023,Media Worker
100,Cambodia: three media outlets licence revoked after publishing critical report,19/03/2023,Media Worker
101,Thailand: pro-democracy defender indicted for a speech,02/05/2023,Pro-democracy defender
102,Bangladesh: media workers assaulted while covering elections,02/05/2023,Media Worker
103,China: veteran defender prevented from visiting ailing sister abroad,03/05/2023,Pro-democracy defender
104,"Thailand: pro-democracy group detained, fined for removing barbed wire",02/05/2023,Pro-democracy defender
105,Indonesia: Journalist intimidated for reporting on a new road built without compensation for residents,25/04/2023,Media Worker
106,Indonesia: Demonstration on Omnibus Law dispersed by the police,25/04/2023,Student
106,Indonesia: Demonstration on Omnibus Law dispersed by the police,25/04/2023,Community-based HRD
107,Viet Nam: pro-democracy defenders prevented from joining event,18/03/2023,WHRD
107,Viet Nam: pro-democracy defenders prevented from joining event,18/03/2023,Pro-democracy defender
108,Thailand: indigenous people's rights defender sentenced,19/03/2023,Indigenous peoples' rights defender
108,Thailand: indigenous people's rights defender sentenced,19/03/2023,Pro-democracy defender
109,Thailand: demonstrator fined,19/03/2023,WHRD
109,Thailand: demonstrator fined,19/03/2023,Pro-democracy defender
110,India: Journalist arrested after seeking state minister's accountability,19/04/2023,Media Worker
111,Afghanistan: Women’s Voice Radio Station closed,01/05/2023,Media Worker
112,China: Hong Kong pro-democracy WHRD arrested,18/03/2023,Pro-democracy defender
112,China: Hong Kong pro-democracy WHRD arrested,18/03/2023,WHRD
113,"Cambodia: pro-democracy monk arrested, defrocked",19/03/2023,Pro-democracy defender
114,Thailand: two more pro-democracy demonstrators arrested,19/03/2023,WHRD
114,Thailand: two more pro-democracy demonstrators arrested,19/03/2023,Pro-democracy defender
115,Indonesia: Journalist beaten by police for reporting,25/04/2023,Media Worker
116,India: Online harassment of Dalit writer and activist,28/03/2023,WHRD
116,India: Online harassment of Dalit writer and activist,28/03/2023,Media Worker
116,India: Online harassment of Dalit writer and activist,28/03/2023,Minority rights defender
117,Indonesia: Discussion on problematic hydropower plant  construction violently disrupted,25/04/2023,Media Worker
117,Indonesia: Discussion on problematic hydropower plant  construction violently disrupted,25/04/2023,Environmental rights defender
