hrd_long,event_count,total_impact,average_impact
Academic,5,5,1
Artist,4,4,1
Blogger/ Social Media Activist,21,23,1.0952380952380953
Community-based HRD,52,116,2.2745098039215685
Environmental rights defender,16,37,2.466666666666667
Family of HRD,13,28,2.1538461538461537
Freedom of religion/belief activist,3,3,1
Indigenous peoples' rights defender,2,2,1
Labour rights defender,13,36,2.769230769230769
Land rights defender,10,27,2.7
Lawyer,19,36,1.894736842105263
Media Worker,65,95,1.4615384615384615
Minority rights defender,12,31,2.5833333333333335
NGO,5,5,1
NGO staff,10,19,1.9
Pro-democracy defender,65,180,2.769230769230769
Public Servant,3,3,1
RTI activist,1,1,1
SOGI rights defender,4,4,1
Student,20,145,7.25
WHRD,72,216,3
Youth,13,37,2.8461538461538463
