violation_long,country,event_count,average_impact
(Arbitrary) Arrest and Detention,Afghanistan,52,2.6923076923076925
(Arbitrary) Arrest and Detention,Bangladesh,51,1.9411764705882353
(Arbitrary) Arrest and Detention,Cambodia,122,3.3360655737704916
(Arbitrary) Arrest and Detention,China,441,4.5600907029478455
(Arbitrary) Arrest and Detention,India,226,5.147321428571429
(Arbitrary) Arrest and Detention,Indonesia,112,7.526785714285714
(Arbitrary) Arrest and Detention,Kazakhstan,77,3.168831168831169
(Arbitrary) Arrest and Detention,"Korea, Republic of",9,3.3333333333333335
(Arbitrary) Arrest and Detention,Kyrgyzstan,17,2.1176470588235294
(Arbitrary) Arrest and Detention,Lao People's Democratic Republic,8,3
(Arbitrary) Arrest and Detention,Malaysia,49,7.510204081632653
(Arbitrary) Arrest and Detention,Maldives,9,5.333333333333333
(Arbitrary) Arrest and Detention,Mongolia,7,2.142857142857143
(Arbitrary) Arrest and Detention,Myanmar,242,4.095041322314049
(Arbitrary) Arrest and Detention,Nepal,34,16.235294117647058
(Arbitrary) Arrest and Detention,Pakistan,50,6.3
(Arbitrary) Arrest and Detention,Philippines,87,5.735632183908046
(Arbitrary) Arrest and Detention,Singapore,9,1.4444444444444444
(Arbitrary) Arrest and Detention,Sri Lanka,42,4.142857142857143
(Arbitrary) Arrest and Detention,Thailand,191,5.221052631578948
(Arbitrary) Arrest and Detention,Viet Nam,262,3.846743295019157
Abduction/Kidnapping,Afghanistan,15,2.8
Abduction/Kidnapping,Bangladesh,14,1.5
Abduction/Kidnapping,Cambodia,1,1
Abduction/Kidnapping,China,27,5.296296296296297
Abduction/Kidnapping,India,18,2.6666666666666665
Abduction/Kidnapping,Indonesia,1,2
Abduction/Kidnapping,Malaysia,2,1
Abduction/Kidnapping,Maldives,1,10
Abduction/Kidnapping,Myanmar,14,3.0714285714285716
Abduction/Kidnapping,Nepal,2,1
Abduction/Kidnapping,Pakistan,23,6.565217391304348
Abduction/Kidnapping,Philippines,13,1.3076923076923077
Abduction/Kidnapping,Sri Lanka,7,1.4285714285714286
Abduction/Kidnapping,Thailand,2,1
Abduction/Kidnapping,Viet Nam,15,1.6666666666666667
Administrative Harassment,Afghanistan,4,1
Administrative Harassment,Bangladesh,4,1
Administrative Harassment,Cambodia,49,5.1020408163265305
Administrative Harassment,China,81,23.7625
