Timestamp,max_temp_degC,min_temp_degC,mean_temp_degC,mean_humidity_percent,mean_wind_direction_compass,mean_wind_speed_kts,max_wind_direction_compass,max_wind_speed_kts,rainfall_mm,sunshine_hrs
1/1/1990,30.6,26.2,28.2,76,NE,11,NE,14,0.5,10.1
1/2/1990,31,26.4,28.3,77,ENE,8,ENE,12,0,9.8
1/3/1990,30.8,26.8,28.2,76,ENE,11,ENE,16,0,9.2
1/4/1990,31,26.6,28.5,74,ENE,15,ENE,18,0,7.9
1/5/1990,30.4,26.4,28,77,NNW,9,ENE,13,0,7.4
1/6/1990,30.6,26.4,28.1,77,NNW,8,NNW,11,0,9
1/7/1990,30.5,25.4,28.1,78,NW,5,NW,8,0,9.2
1/8/1990,30.5,27,28.2,77,VRB,8,E,15,0,10.2
1/9/1990,30.6,27,28.5,79,E,17,E,20,0,10.1
1/10/1990,30.5,26.6,28.2,80,ENE,13,ENE,18,0,7.8
1/11/1990,30.6,26.4,28.2,80,ENE,14,NE,16,0,9
1/12/1990,30.5,26.4,28,76,ENE,15,ENE,20,0,8
1/13/1990,30.4,26.4,27.8,76,ENE,12,ENE,14,0,8
1/14/1990,30.2,26.2,27.9,74,ENE,11,ENE,13,0,9.5
1/15/1990,30.2,25,27.6,72,ENE,11,ENE,18,0,5
1/16/1990,30,25,27.5,73,VRB,6,ENE,9,0,9.6
1/17/1990,29.6,25,27.4,70,NE,7,NE,14,0,10.4
1/18/1990,30.6,26,27.6,73,NE,9,NE,11,0,9.5
1/19/1990,30.2,26,27.9,80,NE,9,ENE,12,0,10.3
1/20/1990,30,25.6,27.9,80,NE,7,NE,8,0,10.5
1/21/1990,29.8,26,27.4,75,NE,8,NE,10,0,10.9
1/22/1990,30,24,26.9,69,NE,8,N,10,0,11
1/23/1990,29.4,26,27.5,68,ENE,9,ENE,15,0,10.9
1/24/1990,30.2,26.2,27.8,75,NE,10,ENE,13,0,11
1/25/1990,30.4,26.6,28,80,ENE,11,ENE,13,0,10.7
1/26/1990,30.8,26.4,28.3,75,ENE,10,ENE,16,0,11.1
1/27/1990,30.5,26,27.9,71,ENE,12,ENE,17,0,10.9
1/28/1990,30.6,26.2,28.1,72,ENE,14,ENE,18,0,10.6
1/29/1990,30.6,26.6,28,72,ENE,13,ENE,17,0,10.5
1/30/1990,31,27,28.4,76,ENE,14,ENE,20,0,8
1/31/1990,30,26.2,28.1,80,ENE,15,ENE,23,0,1.2
2/1/1990,31.2,26.6,28.7,77,E,13,ENE,16,0,10.2
2/2/1990,31.2,27,28.3,79,ENE,15,ENE,19,0,8.9
2/3/1990,31,27,28.6,77,ENE,16,ENE,19,0,9.8
2/4/1990,30.8,27,28.4,77,ENE,15,ENE,20,0,7.6
2/5/1990,31,27,28.6,77,ENE,14,ENE,17,0,10.4
2/6/1990,31,27,28.6,78,ENE,15,ENE,20,0.1,10.6
2/7/1990,30.8,26,28.5,79,ENE,19,ENE,33,0.9,7.2
2/8/1990,30,24,27.4,85,ENE,16,ESE,32,34.5,5.1
2/9/1990,30.6,27,28.6,80,ENE,21,WNW,29,0,8.4
2/10/1990,30.4,27.4,28.7,81,E,18,ENE,23,0,9.3
2/11/1990,31,25,28.4,84,ENE,19,ENE,30,4.1,6.1
2/12/1990,30.7,26,28.3,80,ENE,13,ENE,18,0,2.3
2/13/1990,30.8,27.3,28.5,80,ENE,10,ENE,17,0,9.1
2/14/1990,31,26.2,28.7,77,ENE,9,NE,14,0,10.8
2/15/1990,30.8,26.4,28.3,78,ENE,9,ENE,11,0,9.6
2/16/1990,30.9,26,28.4,77,NE,8,NE,10,0,10.4
2/17/1990,31,24,28.5,76,NE,4,NE,10,0,10.5
2/18/1990,31.1,26.4,28.4,77,NE,5,NE,8,0,11
2/19/1990,31,26,28.5,77,VRB,5,E,7,0,10.5
2/20/1990,31.4,26.8,28.5,77,VRB,5,NW,8,0,11.1
2/21/1990,31.8,26.8,28.8,75,NNE,8,NNE,12,0,10.8
