iso3,country,year,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_internal_displacements,conflict_internal_displacements_raw,disaster_internal_displacements,disaster_internal_displacements_raw,disaster_stock_displacement,disaster_stock_displacement_raw,total_displacement,population,disaster_per_100k,conflict_per_100k,total_displacement_per_100k
AFG,Afghanistan,2023,4187000,4186882,NA,NA,418000,418248,1502000,1502116,5688998,42239854,3556.158125,9912.160208,13468.318333
AUS,Australia,2023,NA,0,NA,NA,4700,4686,1300,1340,1340,26638544,5.030305,0,5.030305
BGD,Bangladesh,2023,426000,426280,NA,NA,1791000,1790885,55000,55441,481721,172954319,32.055285,246.469705,278.52499
CHN,China,2023,NA,0,NA,NA,4702000,4702167,639000,639183,639183,1410710000,45.309312,0,45.309312
FJI,Fiji,2023,NA,0,NA,NA,6700,6731,350,350,350,936375,37.378187,0,37.378187
FSM,Micronesia,2023,NA,0,NA,NA,5,5,NA,0,0,115224,NA,0,0
HKG,"Hong Kong, China",2023,NA,0,NA,NA,1300,1261,NA,0,0,7536100,NA,0,0
IDN,Indonesia,2023,55000,55373,2200,2176,238000,238456,9000,8998,64371,277534122,3.242124,19.951781,23.193905
IND,India,2023,613000,613403,67000,66698,528000,528442,90000,89906,703309,1428627663,6.293172,42.93652,49.229692
IRN,Iran,2023,NA,0,NA,NA,124000,123544,25,25,25,89172767,0.028035,0,0.028035
JPN,Japan,2023,NA,0,NA,NA,8600,8573,30000,29733,29733,124516650,23.878734,0,23.878734
KHM,Cambodia,2023,NA,0,NA,NA,46000,46453,5200,5150,5150,16944826,30.392758,0,30.392758
LAO,Lao PDR,2023,NA,0,NA,NA,1100,1066,1100,1066,1066,7633779,13.96425,0,13.96425
MAC,"Macao, China",2023,NA,0,NA,NA,3100,3124,NA,0,0,704149,NA,0,0
MDV,Maldives,2023,NA,0,NA,NA,54,54,54,54,54,521021,10.364266,0,10.364266
MMR,Myanmar,2023,2625000,2625000,1298000,1297900,995000,995055,235000,235034,2860034,54577997,430.638743,4809.630518,5240.269261
MYS,Malaysia,2023,NA,0,NA,NA,206000,205623,9800,9777,9777,34308525,28.49729,0,28.49729
NZL,New Zealand,2023,NA,0,NA,NA,14000,13584,2300,2313,2313,5223100,44.284046,0,44.284046
PAK,Pakistan,2023,23000,22604,2800,2788,732000,731836,1216000,1215864,1238468,240485658,505.586907,9.399313,514.98622
PHL,Philippines,2023,113000,113380,160000,160046,2594000,2594266,291000,291488,404868,117337368,248.418731,96.627359,345.04609
PNG,Papua New Guinea,2023,87000,87148,2000,2013,13000,13498,7500,7483,94631,10329931,72.43998,843.645519,916.0855
THA,Thailand,2023,41000,41104,NA,NA,2800,2761,19,19,41123,71801279,0.026462,57.246891,57.273353
VNM,Viet Nam,2023,NA,0,NA,NA,68000,68246,2600,2633,2633,98858950,2.663391,0,2.663391
VUT,Vanuatu,2023,NA,0,NA,NA,69000,68777,2400,2420,2420,334506,723.454886,0,723.454886
AFG,Afghanistan,2022,4513000,4513270,32000,32424,220000,220387,2099000,2098730,6612000,41128771,5102.826924,10973.51049,16076.337414
AUS,Australia,2022,NA,0,NA,NA,17000,17240,9900,9941,9941,26014399,38.213452,0,38.213452
BGD,Bangladesh,2022,426000,426280,120,122,1524000,1523951,8600,8595,434875,171186372,5.020844,249.015149,254.035993
CHN,China,2022,NA,0,NA,NA,3632000,3632196,146000,145700,145700,1412175000,10.317418,0,10.317418
FJI,Fiji,2022,NA,0,NA,NA,4800,4774,400,403,403,929766,43.344239,0,43.344239
HKG,"Hong Kong, China",2022,NA,0,NA,NA,330,333,NA,0,0,7346100,NA,0,0
IDN,Indonesia,2022,69000,68534,7100,7092,308000,307985,68000,67805,136339,275501339,24.611496,24.876104,49.4876
IND,India,2022,547000,546710,1000,1005,2507000,2507107,32000,31885,578595,1417173173,2.249901,38.577501,40.827403
IRN,Iran,2022,NA,0,NA,NA,42000,41761,390,392,392,88550570,0.442685,0,0.442685
JPN,Japan,2022,NA,0,NA,NA,51000,50980,45000,44970,44970,125124989,35.940063,0,35.940063
KHM,Cambodia,2022,NA,0,NA,NA,28000,28347,3900,3919,3919,16767842,23.372119,0,23.372119
LAO,Lao PDR,2022,NA,0,NA,NA,560,561,560,561,561,7529475,7.450719,0,7.450719
MDV,Maldives,2022,NA,0,NA,NA,370,373,NA,0,0,523787,NA,0,0
MHL,Marshall Islands,2022,NA,0,NA,NA,28,28,28,28,28,41569,67.357887,0,67.357887
MMR,Myanmar,2022,1498000,1497518,1006000,1006395,13000,13144,3000,2956,1500474,54179306,5.455958,2764.003659,2769.459616
MYS,Malaysia,2022,NA,0,NA,NA,156000,156024,680,677,677,33938221,1.994801,0,1.994801
NZL,New Zealand,2022,NA,0,NA,NA,2800,2755,150,152,152,5117200,2.970374,0,2.970374
PAK,Pakistan,2022,18000,17613,680,680,8168000,8168491,1025000,1024977,1042590,235824862,434.634835,7.468678,442.103513
PHL,Philippines,2022,102000,101706,123000,122507,5453000,5453194,533000,533449,635155,115559009,461.624762,88.012177,549.636939
PNG,Papua New Guinea,2022,85000,85135,60000,60345,9600,9626,190,186,85321,10142619,1.833846,839.378863,841.212708
PRK,Dem. People's Rep. Korea,2022,NA,0,NA,NA,200,197,NA,0,0,26069416,NA,0,0
THA,Thailand,2022,41000,41104,NA,NA,22000,21792,680,679,41783,71697030,0.947041,57.330129,58.27717
TON,Tonga,2022,NA,0,NA,NA,2400,2390,260,262,262,106858,245.185199,0,245.185199
VNM,Viet Nam,2022,NA,0,NA,NA,353000,353464,2200,2190,2190,98186856,2.230441,0,2.230441
VUT,Vanuatu,2022,NA,0,NA,NA,390,386,NA,0,0,326740,NA,0,0
AFG,Afghanistan,2021,4314000,4314287,723000,723082,25000,25046,1390000,1389521,5703808,40099462,3465.186141,10758.964796,14224.150937
AUS,Australia,2021,NA,0,NA,NA,49000,48939,220,224,224,25685412,0.87209,0,0.87209
BGD,Bangladesh,2021,427000,426914,150,151,99000,98770,42000,41950,468864,169356251,24.77027,252.08045,276.85072
CHN,China,2021,NA,0,NA,NA,6037000,6037150,943000,942638,942638,1412360000,66.742049,0,66.742049
FJI,Fiji,2021,NA,0,NA,NA,14000,14341,NA,0,0,924610,NA,0,0
HKG,"Hong Kong, China",2021,NA,0,NA,NA,400,395,NA,0,0,7413100,NA,0,0
IDN,Indonesia,2021,73000,72778,27000,26580,749000,749418,155000,155061,227839,273753191,56.642627,26.585261,83.227888
IND,India,2021,506000,505667,13000,13042,4903000,4903210,22000,22206,527873,1407563842,1.577619,35.924978,37.502597
IRN,Iran,2021,NA,0,NA,NA,42000,41854,13000,13443,13443,87923432,15.28944,0,15.28944
JPN,Japan,2021,NA,0,NA,NA,14000,13593,39000,38882,38882,125681593,30.936909,0,30.936909
KHM,Cambodia,2021,NA,0,NA,NA,15000,14639,5800,5769,5769,16589023,34.776008,0,34.776008
LAO,Lao PDR,2021,NA,0,NA,NA,5,5,3600,3605,3605,7425057,48.551816,0,48.551816
MAC,"Macao, China",2021,NA,0,NA,NA,37,37,16,16,16,686607,2.3303,0,2.3303
MMR,Myanmar,2021,649000,649015,448000,447818,158000,158219,1400,1435,650450,53798084,2.667381,1206.390547,1209.057929
