Category,Sum of Value,ADMIN LEVEL-1 (Division),ADMIN LEVEL-2 (District) ,BDP Climate Zone,Column,Sum of Geocode,Sum of Rank-Coping Capacity,Sum of Rank-Vulnerability,RISK CLASS,RISK CLASS-Lack of Coping Capcity,RISK CLASS-Vulnerability,RISK CLASS_Hazard Exposure,Sum of Rank-Risk
Access to Health,7.2,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Access to Health,3.8,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Access to Health,4.1,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Access to Health,4.9,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Access to Health,6.9,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Access to Health,6.4,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Access to Health,4.4,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Access to Health,7.2,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Access to Health,3.9,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Access to Health,5.7,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Access to Health,6.8,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Access to Health,6.2,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Access to Health,4.9,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Access to Health,5,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Access to Health,4.6,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Access to Health,6,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Access to Health,7.3,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Access to WASH,4,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Access to WASH,2.6,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Access to WASH,3.4,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Access to WASH,2.3,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Access to WASH,3.9,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Access to WASH,2.2,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Access to WASH,2.3,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Access to WASH,2.5,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Access to WASH,2.4,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Access to WASH,3.3,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Access to WASH,2.4,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Access to WASH,0.8,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Access to WASH,2.3,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Access to WASH,4.5,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Access to WASH,2.8,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Access to WASH,1.7,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Access to WASH,2.6,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Children Under 5,5.5,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Children Under 5,5.3,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Children Under 5,6,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Children Under 5,3.8,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Children Under 5,5.3,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Children Under 5,4.1,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Children Under 5,4.1,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Children Under 5,6.5,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Children Under 5,4.7,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Children Under 5,3.9,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Children Under 5,5.9,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Children Under 5,4.7,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Children Under 5,5.5,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Children Under 5,8.9,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Children Under 5,3.2,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Children Under 5,4.9,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Children Under 5,5.4,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Communication,8.5,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Communication,5.8,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Communication,8,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Communication,7.2,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Communication,5.7,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Communication,7.4,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Communication,5,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Communication,7.1,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Communication,6.4,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Communication,7.4,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Communication,7.4,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Communication,8.2,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Communication,5.7,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Communication,6.9,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Communication,5.9,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Communication,5.3,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Communication,7,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Cyclone Risk,0,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Cyclone Risk,0,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Cyclone Risk,0,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Cyclone Risk,0,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Cyclone Risk,0,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Cyclone Risk,0,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Cyclone Risk,0,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Cyclone Risk,0,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Cyclone Risk,0,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Cyclone Risk,0,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Cyclone Risk,0,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Cyclone Risk,0,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Cyclone Risk,0,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Cyclone Risk,0,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Cyclone Risk,0,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Cyclone Risk,0,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Cyclone Risk,0,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Development & Deprivation,7.7,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Development & Deprivation,5.9,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Development & Deprivation,6.4,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Development & Deprivation,6.9,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Development & Deprivation,7.2,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Development & Deprivation,6.9,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Development & Deprivation,5.9,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Development & Deprivation,7.1,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Development & Deprivation,7.8,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Development & Deprivation,7.7,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Development & Deprivation,8.3,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Development & Deprivation,7.5,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Development & Deprivation,7.2,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Development & Deprivation,6.7,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Development & Deprivation,8.2,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Development & Deprivation,6.7,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Development & Deprivation,6.7,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Drought Risk,6.6,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Drought Risk,8.7,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Drought Risk,9.7,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Drought Risk,8.2,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Drought Risk,10,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Drought Risk,7.4,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Drought Risk,9.6,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Drought Risk,7,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Drought Risk,8.7,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Drought Risk,6.4,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Drought Risk,5.6,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Drought Risk,5.6,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Drought Risk,6.6,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Drought Risk,6.4,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Drought Risk,6.5,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Drought Risk,8.3,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Drought Risk,3.1,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
DRR,3,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
DRR,3,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
DRR,3,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
DRR,3,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
DRR,3,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
DRR,3,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
DRR,3,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
DRR,3,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
DRR,3,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
DRR,3,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
DRR,3,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
DRR,3,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
DRR,3,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
DRR,3,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
DRR,3,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
DRR,3,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
DRR,3,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
