Date of analysis,Country,Total country population,Validity period,From,To,Phase,Number,Percentage
Mar-23,BGD,165158616,current,3/1/2023,4/30/2023,all,38236840,1
Mar-23,BGD,165158616,current,3/1/2023,4/30/2023,3+,8906604,0.24
Mar-23,BGD,165158616,current,3/1/2023,4/30/2023,1,15786775,0.41
Mar-23,BGD,165158616,current,3/1/2023,4/30/2023,2,13543460,0.35
Mar-23,BGD,165158616,current,3/1/2023,4/30/2023,3,7932649,0.21
Mar-23,BGD,165158616,current,3/1/2023,4/30/2023,4,973955,0.03
Mar-23,BGD,165158616,current,3/1/2023,4/30/2023,5,0,0
Mar-23,BGD,165158616,projected,5/1/2023,9/30/2023,all,38236840,1
Mar-23,BGD,165158616,projected,5/1/2023,9/30/2023,3+,11914086,0.31
Mar-23,BGD,165158616,projected,5/1/2023,9/30/2023,1,13425038,0.35
Mar-23,BGD,165158616,projected,5/1/2023,9/30/2023,2,12897716,0.34
Mar-23,BGD,165158616,projected,5/1/2023,9/30/2023,3,9694196,0.25
Mar-23,BGD,165158616,projected,5/1/2023,9/30/2023,4,2219890,0.06
Mar-23,BGD,165158616,projected,5/1/2023,9/30/2023,5,0,0
