dataset,indicator,atoll_official,island,value,normalized_value,sort_order,atoll_official_name,population,indicator2,value2
"Baarah, Thiladhunmathee Uthuruburi",Population,Haa Alif Atoll,Baarah,1141,0.21740787317556495,1,Thiladhunmathee Uthuruburi,1141,Population,1141
"Dhidhdhoo, Thiladhunmathee Uthuruburi",Population,Haa Alif Atoll,Dhidhdhoo,3412,0.6501276628177279,1,Thiladhunmathee Uthuruburi,3412,Population,3412
"Filladhoo, Thiladhunmathee Uthuruburi",Population,Haa Alif Atoll,Filladhoo,559,0.1065127091193171,1,Thiladhunmathee Uthuruburi,559,Population,559
"Hoarafushi, Thiladhunmathee Uthuruburi",Population,Haa Alif Atoll,Hoarafushi,1841,0.35078693647345754,1,Thiladhunmathee Uthuruburi,1841,Population,1841
"Ihavandhoo, Thiladhunmathee Uthuruburi",Population,Haa Alif Atoll,Ihavandhoo,2873,0.5474257840783506,1,Thiladhunmathee Uthuruburi,2873,Population,2873
"Kelaa, Thiladhunmathee Uthuruburi",Population,Haa Alif Atoll,Kelaa,1115,0.21245379368164324,1,Thiladhunmathee Uthuruburi,1115,Population,1115
"Maarandhoo, Thiladhunmathee Uthuruburi",Population,Haa Alif Atoll,Maarandhoo,668,0.12728173468998893,1,Thiladhunmathee Uthuruburi,668,Population,668
"Mulhadhoo, Thiladhunmathee Uthuruburi",Population,Haa Alif Atoll,Mulhadhoo,286,0.05449487443313898,1,Thiladhunmathee Uthuruburi,286,Population,286
"Muraidhoo, Thiladhunmathee Uthuruburi",Population,Haa Alif Atoll,Muraidhoo,534,0.10174917114439236,1,Thiladhunmathee Uthuruburi,534,Population,534
"Thakandhoo, Thiladhunmathee Uthuruburi",Population,Haa Alif Atoll,Thakandhoo,279,0.053161083800160054,1,Thiladhunmathee Uthuruburi,279,Population,279
"Thurakunu, Thiladhunmathee Uthuruburi",Population,Haa Alif Atoll,Thurakunu,427,0.08136122861171449,1,Thiladhunmathee Uthuruburi,427,Population,427
"Uligamu, Thiladhunmathee Uthuruburi",Population,Haa Alif Atoll,Uligamu,400,0.07621660759879577,1,Thiladhunmathee Uthuruburi,400,Population,400
"Utheemu, Thiladhunmathee Uthuruburi",Population,Haa Alif Atoll,Utheemu,612,0.11661140962615753,1,Thiladhunmathee Uthuruburi,612,Population,612
"Vashafaru, Thiladhunmathee Uthuruburi",Population,Haa Alif Atoll,Vashafaru,476,0.09069776304256698,1,Thiladhunmathee Uthuruburi,476,Population,476
"Finey, Thiladhunmathee Dhekunuburi",Population,Haa Dhaal Atoll,Finey,409,0.07793148126976868,2,Thiladhunmathee Dhekunuburi,409,Population,409
"Hanimaadhoo, Thiladhunmathee Dhekunuburi",Population,Haa Dhaal Atoll,Hanimaadhoo,2664,0.5076026066079798,2,Thiladhunmathee Dhekunuburi,2664,Population,2664
"Hirimaradhoo, Thiladhunmathee Dhekunuburi",Population,Haa Dhaal Atoll,Hirimaradhoo,293,0.0558286650661179,2,Thiladhunmathee Dhekunuburi,293,Population,293
"Kulhudhuffushi, Thiladhunmathee Dhekunuburi",Population,Haa Dhaal Atoll,Kulhudhuffushi,10131,1.9303761289585,2,Thiladhunmathee Dhekunuburi,10131,Population,10131
"Kumundhoo, Thiladhunmathee Dhekunuburi",Population,Haa Dhaal Atoll,Kumundhoo,997,0.18996989443999845,2,Thiladhunmathee Dhekunuburi,997,Population,997
"Kurinbi, Thiladhunmathee Dhekunuburi",Population,Haa Dhaal Atoll,Kurinbi,492,0.093746427346518807,2,Thiladhunmathee Dhekunuburi,492,Population,492
"Makunudhoo, Thiladhunmathee Dhekunuburi",Population,Haa Dhaal Atoll,Makunudhoo,1265,0.24103502153119166,2,Thiladhunmathee Dhekunuburi,1265,Population,1265
"Naivaadhoo, Thiladhunmathee Dhekunuburi",Population,Haa Dhaal Atoll,Naivaadhoo,495,0.09431805190350978,2,Thiladhunmathee Dhekunuburi,495,Population,495
"Nellaidhoo, Thiladhunmathee Dhekunuburi",Population,Haa Dhaal Atoll,Nellaidhoo,1038,0.19778209671887506,2,Thiladhunmathee Dhekunuburi,1038,Population,1038
"Neykurendhoo, Thiladhunmathee Dhekunuburi",Population,Haa Dhaal Atoll,Neykurendhoo,641,0.12213711367707022,2,Thiladhunmathee Dhekunuburi,641,Population,641
"Nolhivaram, Thiladhunmathee Dhekunuburi",Population,Haa Dhaal Atoll,Nolhivaram,1985,0.378224915209024,2,Thiladhunmathee Dhekunuburi,1985,Population,1985
"Nolhivaramfaru, Thiladhunmathee Dhekunuburi",Population,Haa Dhaal Atoll,Nolhivaramfaru,1254,0.23893906482222477,2,Thiladhunmathee Dhekunuburi,1254,Population,1254
"Vaikaradhoo, Thiladhunmathee Dhekunuburi",Population,Haa Dhaal Atoll,Vaikaradhoo,776,0.14786021874166383,2,Thiladhunmathee Dhekunuburi,776,Population,776
"Bilehffahi, Miladhunmadulu Uthuruburi",Population,Shaviyani Atoll,Bilehffahi,502,0.0956518425364887,3,Miladhunmadulu Uthuruburi,502,Population,502
"Feevah, Miladhunmadulu Uthuruburi",Population,Shaviyani Atoll,Feevah,694,0.13223581418391067,3,Miladhunmadulu Uthuruburi,694,Population,694
"Feydhoo, Miladhunmadulu Uthuruburi",Population,Shaviyani Atoll,Feydhoo,854,0.16272245722342898,3,Miladhunmadulu Uthuruburi,854,Population,854
"Foakaidhoo, Miladhunmadulu Uthuruburi",Population,Shaviyani Atoll,Foakaidhoo,1571,0.2993407263442704,3,Miladhunmadulu Uthuruburi,1571,Population,1571
"Funadhoo, Miladhunmadulu Uthuruburi",Population,Shaviyani Atoll,Funadhoo,2255,0.4296711253382112,3,Miladhunmadulu Uthuruburi,2255,Population,2255
"Goidhoo, Miladhunmadulu Uthuruburi",Population,Shaviyani Atoll,Goidhoo,592,0.11280057924621775,3,Miladhunmadulu Uthuruburi,592,Population,592
"Kaditheemu, Miladhunmadulu Uthuruburi",Population,Shaviyani Atoll,Kaditheemu,1193,0.2273160321634084,3,Miladhunmadulu Uthuruburi,1193,Population,1193
"Komandoo, Miladhunmadulu Uthuruburi",Population,Shaviyani Atoll,Komandoo,921,0.17548873899622727,3,Miladhunmadulu Uthuruburi,921,Population,921
