island,atoll_official,population,atoll_local_name,concat
Baarah,Haa Alif Atoll,1141,Thiladhunmathee Uthuruburi,"Baarah, Haa Alif Atoll"
Dhidhdhoo,Haa Alif Atoll,3412,Thiladhunmathee Uthuruburi,"Dhidhdhoo, Haa Alif Atoll"
Filladhoo,Haa Alif Atoll,559,Thiladhunmathee Uthuruburi,"Filladhoo, Haa Alif Atoll"
Hoarafushi,Haa Alif Atoll,1841,Thiladhunmathee Uthuruburi,"Hoarafushi, Haa Alif Atoll"
Ihavandhoo,Haa Alif Atoll,2873,Thiladhunmathee Uthuruburi,"Ihavandhoo, Haa Alif Atoll"
Kelaa,Haa Alif Atoll,1115,Thiladhunmathee Uthuruburi,"Kelaa, Haa Alif Atoll"
Maarandhoo,Haa Alif Atoll,668,Thiladhunmathee Uthuruburi,"Maarandhoo, Haa Alif Atoll"
Mulhadhoo,Haa Alif Atoll,286,Thiladhunmathee Uthuruburi,"Mulhadhoo, Haa Alif Atoll"
Muraidhoo,Haa Alif Atoll,534,Thiladhunmathee Uthuruburi,"Muraidhoo, Haa Alif Atoll"
Thakandhoo,Haa Alif Atoll,279,Thiladhunmathee Uthuruburi,"Thakandhoo, Haa Alif Atoll"
Thuraakunu,Haa Alif Atoll,427,Thiladhunmathee Uthuruburi,"Thuraakunu, Haa Alif Atoll"
Uligamu,Haa Alif Atoll,400,Thiladhunmathee Uthuruburi,"Uligamu, Haa Alif Atoll"
Utheemu,Haa Alif Atoll,612,Thiladhunmathee Uthuruburi,"Utheemu, Haa Alif Atoll"
Vashafaru,Haa Alif Atoll,476,Thiladhunmathee Uthuruburi,"Vashafaru, Haa Alif Atoll"
Finey,Haa Dhaal Atoll,409,Thiladhunmathee Dhekunuburi,"Finey, Haa Dhaal Atoll"
Hanimaadhoo,Haa Dhaal Atoll,2664,Thiladhunmathee Dhekunuburi,"Hanimaadhoo, Haa Dhaal Atoll"
Hirimaradhoo,Haa Dhaal Atoll,293,Thiladhunmathee Dhekunuburi,"Hirimaradhoo, Haa Dhaal Atoll"
Kulhudhuffushi,Haa Dhaal Atoll,10131,Thiladhunmathee Dhekunuburi,"Kulhudhuffushi, Haa Dhaal Atoll"
Kumundhoo,Haa Dhaal Atoll,997,Thiladhunmathee Dhekunuburi,"Kumundhoo, Haa Dhaal Atoll"
Kuribi,Haa Dhaal Atoll,492,Thiladhunmathee Dhekunuburi,"Kuribi, Haa Dhaal Atoll"
Makunudhoo,Haa Dhaal Atoll,1265,Thiladhunmathee Dhekunuburi,"Makunudhoo, Haa Dhaal Atoll"
Naivaadhoo,Haa Dhaal Atoll,495,Thiladhunmathee Dhekunuburi,"Naivaadhoo, Haa Dhaal Atoll"
Nellaidhoo,Haa Dhaal Atoll,1038,Thiladhunmathee Dhekunuburi,"Nellaidhoo, Haa Dhaal Atoll"
Neykurendhoo,Haa Dhaal Atoll,641,Thiladhunmathee Dhekunuburi,"Neykurendhoo, Haa Dhaal Atoll"
Nolhivaramu,Haa Dhaal Atoll,1985,Thiladhunmathee Dhekunuburi,"Nolhivaramu, Haa Dhaal Atoll"
Nolhivaranfaru,Haa Dhaal Atoll,1254,Thiladhunmathee Dhekunuburi,"Nolhivaranfaru, Haa Dhaal Atoll"
Vaikaradhoo,Haa Dhaal Atoll,776,Thiladhunmathee Dhekunuburi,"Vaikaradhoo, Haa Dhaal Atoll"
