dataset,indicator,atoll_official,island,value,atoll_official_name,adm1_pcode,local_names,adm2_pcode,indicator2,value2
Employment,Labour force participation rate (%),Alif Dhekunu Buri,Dhangethi,80.39772727272727,Ari Atholhu Dhekunuburi,MV020,Alif Dhaal (ADh),MV020006,Labour force participation rate (%),80.39772727272727
Employment,Employment-to-population ratio (%),Alif Dhekunu Buri,Dhangethi,77.55681818181817,Ari Atholhu Dhekunuburi,MV020,Alif Dhaal (ADh),MV020006,Employment-to-population ratio (%),77.55681818181817
Employment,Unemployment rate (%),Alif Dhekunu Buri,Dhangethi,3.53356890459364,Ari Atholhu Dhekunuburi,MV020,Alif Dhaal (ADh),MV020006,Unemployment rate (%),3.53356890459364
Employment,Combined rate of unemployment and potential labour force (%),Alif Dhekunu Buri,Dhangethi,8.389261744966444,Ari Atholhu Dhekunuburi,MV020,Alif Dhaal (ADh),MV020006,Combined rate of unemployment and potential labour force (%),8.389261744966444
Employment,Inactivity rate (%),Alif Dhekunu Buri,Dhangethi,19.602272727272727,Ari Atholhu Dhekunuburi,MV020,Alif Dhaal (ADh),MV020006,Inactivity rate (%),19.602272727272727
Employment,Youth unemployment rate (15-24 years) (%),Alif Dhekunu Buri,Dhangethi,6.666666666666667,Ari Atholhu Dhekunuburi,MV020,Alif Dhaal (ADh),MV020006,Youth unemployment rate (15-24 years) (%),6.666666666666667
Employment,Youth unemployment rate (18-35years) (%),Alif Dhekunu Buri,Dhangethi,3.5830618892508146,Ari Atholhu Dhekunuburi,MV020,Alif Dhaal (ADh),MV020006,Youth unemployment rate (18-35years) (%),3.5830618892508146
Employment,NEET rate (15-24 years) (%),Alif Dhekunu Buri,Dhangethi,13.48314606741573,Ari Atholhu Dhekunuburi,MV020,Alif Dhaal (ADh),MV020006,NEET rate (15-24 years) (%),13.48314606741573
Employment,NEET rate (18-35 years) (%),Alif Dhekunu Buri,Dhangethi,2.898550724637681,Ari Atholhu Dhekunuburi,MV020,Alif Dhaal (ADh),MV020006,NEET rate (18-35 years) (%),2.898550724637681
Employment,Labour force participation rate (%),Baa Atoll,Dharavandhoo,76.06019151846786,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007006,Labour force participation rate (%),76.06019151846786
Employment,Employment-to-population ratio (%),Baa Atoll,Dharavandhoo,72.36662106703147,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007006,Employment-to-population ratio (%),72.36662106703147
Employment,Unemployment rate (%),Baa Atoll,Dharavandhoo,4.856115107913669,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007006,Unemployment rate (%),4.856115107913669
Employment,Combined rate of unemployment and potential labour force (%),Baa Atoll,Dharavandhoo,10.641891891891891,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007006,Combined rate of unemployment and potential labour force (%),10.641891891891891
Employment,Inactivity rate (%),Baa Atoll,Dharavandhoo,23.93980848153215,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007006,Inactivity rate (%),23.93980848153215
Employment,Youth unemployment rate (15-24 years) (%),Baa Atoll,Dharavandhoo,11.940298507462686,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007006,Youth unemployment rate (15-24 years) (%),11.940298507462686
