Timestamp,max_temp_degC,min_temp_degC,mean_temp_degC,mean_humidity_percent,mean_wind_direction_compass,mean_wind_speed_kts,max_wind_direction_compass,max_wind_speed_kts,rainfall_mm
1/1/1994,31.6,24,29,77,VRB,5,ESE,8,26
1/2/1994,29.4,23.6,24.7,93,CALM,0,N,15,52.7
1/3/1994,30.4,26.5,28.7,78,VRB,2,CALM,6,11.1
1/4/1994,30.2,27.4,28.5,79,CALM,0,CALM,5,45.2
1/5/1994,30.4,24.8,28.8,78,VRB,6,NE,10,5.8
1/6/1994,30.5,27.2,29.1,76,VRB,5,ENE,10,0
1/7/1994,31.4,26.1,28.9,79,VRB,5,ESE,12,3.8
1/8/1994,31.2,26.6,29.2,75,SE,5,SSE,10,0
1/9/1994,31,27.6,29,76,VRB,5,ESE,8,0
1/10/1994,31.5,26.6,29.1,77,VRB,3,ESE,7,0
1/11/1994,29.4,24.8,27.3,84,NNE,8,NNE,16,1.2
1/12/1994,30.6,25.4,28.3,79,N,6,N,17,0.8
1/13/1994,31,26.6,29.1,72,N,8,NNE,12,0
1/14/1994,30.6,27.2,28.8,72,NNE,7,NNE,10,0
1/15/1994,31.4,23.2,29.5,66,CALM,0,CALM,4,0
1/16/1994,31.9,24.6,29.8,69,VRB,4,ENE,15,7.5
1/17/1994,30.4,25.4,27.7,80,CALM,0,WNW,14,0.6
1/18/1994,30.5,26.6,27.9,76,VRB,2,NNW,15,9.5
1/19/1994,30.5,25,28.9,75,VRB,5,NNE,8,0.1
1/20/1994,30.6,25.1,28.7,75,VRB,4,NNE,9,0
1/21/1994,30.8,27.5,29.5,71,VRB,3,NNE,7,2
1/22/1994,30.6,24.6,29.1,74,VRB,5,NE,13,0.3
1/23/1994,30.6,27.4,29.3,74,NNE,6,NE,12,0
1/24/1994,31.2,23.2,29.2,74,VRB,5,E,18,18
1/25/1994,30.2,24.2,26.9,79,VRB,5,WNW,20,11.4
1/26/1994,29.7,27.1,28.1,80,NNE,10,NE,16,0
