Timestamp,max_temp_degC,min_temp_degC,mean_temp_degC,mean_humidity_percent,mean_wind_direction_compass,mean_wind_speed_kts,max_wind_direction_compass,max_wind_speed_kts,rainfall_mm
1/1/1990,31,25.8,,,,,,,0
1/2/1990,31.2,26,,,,,,,0
1/3/1990,30.8,26,,,,,,,0
1/4/1990,31,25.8,,,,,,,0
1/5/1990,31.2,26,,,,,,,0
1/6/1990,31,25.4,,,,,,,0
1/7/1990,31,24.4,,,,,,,0
1/8/1990,29.2,24,,,,,,,0.8
1/9/1990,31.4,25.4,,,,,,,0
1/10/1990,31,25.6,,,,,,,0
1/11/1990,30.8,25.6,,,,,,,0
1/12/1990,30.9,24.6,,,,,,,0
1/13/1990,31,25.4,,,,,,,0
1/14/1990,28.8,24.7,,,,,,,26.5
1/15/1990,30.2,25,,,,,,,0
1/16/1990,31,25.2,,,,,,,0
1/17/1990,31.4,26,,,,,,,0
1/18/1990,32,26.7,,,,,,,0
1/19/1990,31.4,26,,,,,,,0
1/20/1990,32.2,26.6,,,,,,,0
1/21/1990,31.2,25.2,,,,,,,0
1/22/1990,30.2,25.2,,,,,,,0
1/23/1990,30.6,25.8,,,,,,,0
1/24/1990,30.7,26,,,,,,,0
1/25/1990,31,25.2,,,,,,,0
1/26/1990,30.8,24.2,,,,,,,0
1/27/1990,30.8,25.2,,,,,,,0.5
1/28/1990,31.6,25,,,,,,,0
1/29/1990,31,24.6,,,,,,,0
1/30/1990,28.8,23.6,,,,,,,12.9
1/31/1990,30.6,25,,,,,,,0
2/1/1990,30,26.2,,,,,,,0
2/2/1990,31.2,26.8,,,,,,,0
2/3/1990,30.8,26,,,,,,,0
2/4/1990,31,26.2,,,,,,,0
2/5/1990,31.2,26.8,,,,,,,0
2/6/1990,31,24,,,,,,,0
2/7/1990,29.2,25.2,,,,,,,3
2/8/1990,30.6,24.2,,,,,,,4.4
2/9/1990,31,25.6,,,,,,,5.2
2/10/1990,30,25,,,,,,,1
2/11/1990,29.2,22.2,,,,,,,57.1
2/12/1990,27,22.7,,,,,,,23.9
2/13/1990,31,26.1,,,,,,,0
2/14/1990,30.8,25,,,,,,,0
2/15/1990,31,26,,,,,,,0
2/16/1990,31.2,26.6,,,,,,,0
2/17/1990,31.8,25.2,,,,,,,0
2/18/1990,31,25,,,,,,,0
2/19/1990,30.8,24.2,,,,,,,0
2/20/1990,31.4,26,,,,,,,0
2/21/1990,31,26.4,,,,,,,0
2/22/1990,31.2,25.8,,,,,,,0
2/23/1990,32,26.4,,,,,,,0
2/24/1990,31.8,26,,,,,,,0
2/25/1990,30.8,26.2,,,,,,,0
2/26/1990,31.6,25.8,,,,,,,0
2/27/1990,31,26,,,,,,,1.5
2/28/1990,30.8,24,,,,,,,0
3/1/1990,29.8,24,,,,,,,0
3/2/1990,31.5,25.6,,,,,,,0
3/3/1990,31.8,26.2,,,,,,,0
3/4/1990,33,24.5,,,,,,,0
3/5/1990,32.4,25.2,,,,,,,0
3/6/1990,32.4,24.8,,,,,,,0
3/7/1990,30.9,25,,,,,,,0
3/8/1990,32.2,26,,,,,,,0
3/9/1990,32.4,24.2,,,,,,,0
3/10/1990,31.8,24.8,,,,,,,0
3/11/1990,32,24.2,,,,,,,0
