objectid,shape,admin2name_en,admin2name_si,admin2name_ta,admin2pcode,admin1name_en,admin1name_si,admin1name_ta,admin1pcode,admin0name_en,admin0name_si,admin0name_ta,admin0pcode,date,valid_on,valid_to,shape_length,shape_area
1,Polygon,Colombo,කොළඹ දිස්ත්‍රික්ක,கொழும்பு மாவட்டம்,LK11,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2022-08-02T00:00:00Z,2022-08-16T00:00:00Z,<Null>,1.875505,0.056301
2,Polygon,Gampaha,ගම්පහ දිස්ත්‍රික්,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2022-08-02T00:00:00Z,2022-08-16T00:00:00Z,<Null>,1.954087,0.115941
3,Polygon,Kalutara,කඵතර දිස්ත්‍රික්ක,களுத்துறை மாவட்டம,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2022-08-02T00:00:00Z,2022-08-16T00:00:00Z,<Null>,2.041218,0.134666
4,Polygon,Kandy,මහනුවර දිස්ත්‍රික,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2022-08-02T00:00:00Z,2022-08-16T00:00:00Z,<Null>,3.089125,0.157844
5,Polygon,Matale,මාතලේ දිස්ත්‍රික්,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2022-08-02T00:00:00Z,2022-08-16T00:00:00Z,<Null>,2.65884,0.168724
6,Polygon,Nuwara Eliya,නුවරඑළිය දිස්ත්‍ර,நுவரேலியா மாவட்டம,LK23,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2022-08-02T00:00:00Z,2022-08-16T00:00:00Z,<Null>,2.55481,0.142779
7,Polygon,Galle,ගාල්ල දිස්ත්‍රික්,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2022-08-02T00:00:00Z,2022-08-16T00:00:00Z,<Null>,2.59205,0.131838
8,Polygon,Matara,මාතර දිස්ත්‍රික්ක,மாத்தறை மாவட்டம்,LK32,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2022-08-02T00:00:00Z,2022-08-16T00:00:00Z,<Null>,2.514007,0.106727
9,Polygon,Hambantota,හම්බන්තොට දිස්ත්‍,அம்பாந்தோட்டை மாவ,LK33,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2022-08-02T00:00:00Z,2022-08-16T00:00:00Z,<Null>,3.739194,0.214508
10,Polygon,Jaffna,යාපනය දිස්ත්‍රික්,யாழ்ப்பாணம் மாவட்,LK41,Northern,උතුරු පළාත,வட மாகாணம்,LK4,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2022-08-02T00:00:00Z,2022-08-16T00:00:00Z,<Null>,5.913631,0.089902
