year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_NAME_SI,ADM1_NAME_TA,ADM1_PCODE,ADM2_NAME,ADM2_NAME_SI,ADM2_NAME_TA,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,LKA,Sri Lanka,LK,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Kandy,මහනුවර දිස්ත්‍රික,கண்டி மாவட்டம்,LK21,775002,707001,1482003,62422,63645,60234,59761,58009,55757,59127,50901,51329,51030,48200,43099,38259,27924,18733,13251,13321,64454,65292,62138,58807,50152,46500,51734,45030,46393,46121,43356,38058,33257,22736,15377,8978,8618,126876,128937,122372,118568,108161,102257,110861,95931,97722,97151,91556,81157,71516,50660,34110,22229,21939
2023,LKA,Sri Lanka,LK,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Matale,මාතලේ දිස්ත්‍රික්,மாத்தளை மாவட்டம்,LK22,272001,252998,524999,23623,22845,21372,20705,18308,20490,21915,18593,18158,18078,17326,15191,12752,8659,5983,4226,3777,24200,23374,21101,19757,16901,17833,19516,17334,16858,17222,16390,13827,11400,7016,4801,2811,2657,47823,46219,42473,40462,35209,38323,41431,35927,35016,35300,33716,29018,24152,15675,10784,7037,6434
2023,LKA,Sri Lanka,LK,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Nuwara Eliya,නුවරඑළිය දිස්ත්‍ර,நுவரேலியா மாவட்டம,LK23,408000,373001,781001,37117,37979,34533,30642,26874,31922,32689,25989,25735,26408,25503,21430,19513,14313,8162,5205,3986,37514,38676,34947,28126,24058,27750,29275,23285,23463,23274,22851,18817,16259,11281,6761,3817,2847,74631,76655,69480,58768,50932,59672,61964,49274,49198,49682,48354,40247,35772,25594,14923,9022,6833
2023,LKA,Sri Lanka,LK,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Ampara,අම්පාර දිස්ත්‍රික,அம்பாறை மாவட்டம்,LK52,385999,363002,749001,37909,36840,34097,34930,32399,33084,31623,26229,25464,23774,20693,16377,12727,8832,5241,3167,2613,38972,37752,34952,35625,28032,27408,28143,23899,23370,22074,19389,15001,11617,7432,4585,2769,1982,76881,74592,69049,70555,60431,60492,59766,50128,48834,45848,40082,31378,24344,16264,9826,5936,4595
2023,LKA,Sri Lanka,LK,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Batticaloa,මඩකලපුව දිස්ත්‍රි,மட்டக்களப்பு மாவட,LK51,305000,277000,582000,28244,30176,30401,30726,26918,24359,24438,20364,18948,17619,15522,12552,9648,6422,4129,2605,1929,28500,30789,30802,29738,22683,21099,21065,17257,15790,14957,13859,10831,8258,5036,3126,1847,1363,56744,60965,61203,60464,49601,45458,45503,37621,34738,32576,29381,23383,17906,11458,7255,4452,3292
2023,LKA,Sri Lanka,LK,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Trincomalee,ත්‍රිකුණාමළය දිස්,திருகோணமலை மாவட்ட,LK53,224000,219001,443001,23905,22807,22321,22029,18296,18079,18107,14732,13092,12498,10996,8963,7215,4687,2889,1841,1543,24319,23137,22882,22595,17529,16837,17610,14539,12769,12000,10629,8410,6552,3990,2572,1498,1133,48224,45944,45203,44624,35825,34916,35717,29271,25861,24498,21625,17373,13767,8677,5461,3339,2676
2023,LKA,Sri Lanka,LK,North Central,උතුරු මැද පළාත,வட மத்திய மாகாணம்,LK7,Anuradhapura,අනුරාධපුර දිස්ත්‍,அனுராதபுரம் மாவட்,LK71,486000,464000,950000,47187,42179,37730,38300,38058,39094,43808,36285,32353,30546,28724,24315,19204,10765,7460,5220,4772,47557,42281,38029,37556,34973,35721,41319,35464,32305,29576,27254,22378,17400,9236,5973,3620,3358,94744,84460,75759,75856,73031,74815,85127,71749,64658,60122,55978,46693,36604,20001,13433,8840,8130
2023,LKA,Sri Lanka,LK,North Central,උතුරු මැද පළාත,வட மத்திய மாகாணம்,LK7,Polonnaruwa,පොළොන්නරුව දිස්ත්,பொலன்னறுவை மாவட்ட,LK72,225001,219999,445000,21199,19199,17382,17853,17018,18742,19424,16369,15079,14764,13444,11429,9105,5818,3603,2521,2052,21381,19742,17378,17243,15818,16922,19009,16605,15657,14826,13283,11469,8781,5253,3215,1804,1613,42580,38941,34760,35096,32836,35664,38433,32974,30736,29590,26727,22898,17886,11071,6818,4325,3665
2023,LKA,Sri Lanka,LK,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Kurunegala,කුරුණෑගල දිස්ත්‍ර,குருநாகல் மாவட்டம,LK61,898000,829000,1727000,72737,71134,65021,65485,59806,67018,71916,63004,61302,60199,59004,54528,47161,29403,20860,15022,14400,74217,72527,66087,64568,55609,58944,65550,59490,57828,55381,53559,47399,39816,22929,15754,9702,9640,146954,143661,131108,130053,115415,125962,137466,122494,119130,115580,112563,101927,86977,52332,36614,24724,24040
2023,LKA,Sri Lanka,LK,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Puttalam,පුත්තලම දිස්ත්‍රි,புத்தளம் மாவட்டம்,LK62,435999,409001,845000,39170,38345,37119,37068,32279,35652,35807,29799,27099,25911,24001,22460,19895,12707,7942,5413,5332,39816,39027,38453,36609,30459,33280,34915,28937,26605,24149,21279,18537,16101,9279,5547,3270,2738,78986,77372,75572,73677,62738,68932,70722,58736,53704,50060,45280,40997,35996,21986,13489,8683,8070
2023,LKA,Sri Lanka,LK,Northern,උතුරු පළාත,வட மாகாணம்,LK4,Jaffna,යාපනය දිස්ත්‍රික්,யாழ்ப்பாணம் மாவட்,LK41,333002,295000,628002,22935,25850,27899,29372,29605,26111,24070,20189,18758,19615,19704,18782,18291,12651,8347,5817,5006,22926,26037,28409,29332,26554,22605,21622,17522,14906,14449,15269,14669,15024,10560,7035,4404,3677,45861,51887,56308,58704,56159,48716,45692,37711,33664,34064,34973,33451,33315,23211,15382,10221,8683
2023,LKA,Sri Lanka,LK,Northern,උතුරු පළාත,வட மாகாணம்,LK4,Kilinochchi,කිලිනොච්චි දිස්ත්,கிளிநொச்சி மாவட்ட,LK45,68999,67002,136001,7609,7519,6883,6733,5267,5498,5842,4587,3547,3401,3185,2758,2714,1565,951,601,339,7741,7333,7081,6800,5211,5352,5629,4396,3503,2985,2715,2483,2415,1520,951,522,365,15350,14852,13964,13533,10478,10850,11471,8983,7050,6386,5900,5241,5129,3085,1902,1123,704
2023,LKA,Sri Lanka,LK,Northern,උතුරු පළාත,வட மாகாணம்,LK4,Mannar,මන්නාරම දිස්ත්‍රි,மன்னார் மாவட்டம்,LK42,58000,57999,115999,5332,5434,5818,5787,4480,4625,4734,4040,3495,3437,3105,2706,2182,1138,766,512,409,5584,5433,5872,5808,4675,4495,4759,4047,3694,3487,3055,2482,2100,1036,728,421,323,10916,10867,11690,11595,9155,9120,9493,8087,7189,6924,6160,5188,4282,2174,1494,933,732
