island,atoll_official,population,concat
Agolhitheemu,Raa Atoll,762,"Agolhitheemu, Raa Atoll"
Alifushi,Raa Atoll,3718,"Alifushi, Raa Atoll"
Baarah,Haa Alif Atoll,2282,"Baarah, Haa Alif Atoll"
Badidhoo,Dhaal Atoll,1258,"Badidhoo, Dhaal Atoll"
Biledhdhoo,Faafu Atoll,1934,"Biledhdhoo, Faafu Atoll"
Bilehffahi,Shaviyani Atoll,1004,"Bilehffahi, Shaviyani Atoll"
Bodufolhudhoo,Alif Uthuru Buri,1408,"Bodufolhudhoo, Alif Uthuru Buri"
Buruni,Thaa Atoll,828,"Buruni, Thaa Atoll"
Dhaandhoo,Gaaf Alif Atoll,2088,"Dhaandhoo, Gaaf Alif Atoll"
Dhabidhoo,Laamu Atoll,1212,"Dhabidhoo, Laamu Atoll"
Dhangethi,Alif Dhekunu Buri,1872,"Dhangethi, Alif Dhekunu Buri"
Dharaboodhoo,Faafu Atoll,910,"Dharaboodhoo, Faafu Atoll"
Dharavandhoo,Baa Atoll,1994,"Dharavandhoo, Baa Atoll"
Dhevvadhoo,Gaaf Alif Atoll,1198,"Dhevvadhoo, Gaaf Alif Atoll"
Dhidhdhoo,Alif Dhekunu Buri,282,"Dhidhdhoo, Alif Dhekunu Buri"
Dhidhdhoo,Haa Alif Atoll,6824,"Dhidhdhoo, Haa Alif Atoll"
Dhiffushi,Kaafu Atoll,2540,"Dhiffushi, Kaafu Atoll"
Dhiggaru,Meemu Atoll,2198,"Dhiggaru, Meemu Atoll"
Dhigurah,Alif Dhekunu Buri,1522,"Dhigurah, Alif Dhekunu Buri"
Dhiyamigili,Thaa Atoll,1298,"Dhiyamigili, Thaa Atoll"
Dhonfanu,Baa Atoll,796,"Dhonfanu, Baa Atoll"
Dhuvaafaru,Raa Atoll,6642,"Dhuvaafaru, Raa Atoll"
Eydhafushi,Baa Atoll,5162,"Eydhafushi, Baa Atoll"
Fainu,Raa Atoll,846,"Fainu, Raa Atoll"
Fares,Gaaf Dhaal Atoll,1716,"Fares, Gaaf Dhaal Atoll"
Feeali,Faafu Atoll,1844,"Feeali, Faafu Atoll"
Feevah,Shaviyani Atoll,1388,"Feevah, Shaviyani Atoll"
Fehendhoo,Baa Atoll,396,"Fehendhoo, Baa Atoll"
Felidhoo,Vaavu Atoll,1240,"Felidhoo, Vaavu Atoll"
Fenfushi,Alif Dhekunu Buri,2000,"Fenfushi, Alif Dhekunu Buri"
Feridhoo,Alif Uthuru Buri,1088,"Feridhoo, Alif Uthuru Buri"
Feydhoo,Seenu Atoll,8578,"Feydhoo, Seenu Atoll"
Feydhoo,Shaviyani Atoll,1708,"Feydhoo, Shaviyani Atoll"
Filladhoo,Haa Alif Atoll,1118,"Filladhoo, Haa Alif Atoll"
Finey,Haa Dhaal Atoll,818,"Finey, Haa Dhaal Atoll"
Fiyoari,Gaaf Dhaal Atoll,1274,"Fiyoari, Gaaf Dhaal Atoll"
Foakaidhoo,Shaviyani Atoll,3142,"Foakaidhoo, Shaviyani Atoll"
Foammulah,Gnaviyani Atoll,18354,"Foammulah, Gnaviyani Atoll"
Fodhdhoo,Noonu Atoll,690,"Fodhdhoo, Noonu Atoll"
Fonadhoo,Laamu Atoll,5972,"Fonadhoo, Laamu Atoll"
Fulhadhoo,Baa Atoll,682,"Fulhadhoo, Baa Atoll"
Fulidhoo,Vaavu Atoll,800,"Fulidhoo, Vaavu Atoll"
Funadhoo,Shaviyani Atoll,4510,"Funadhoo, Shaviyani Atoll"
Gaadhiffushi,Thaa Atoll,634,"Gaadhiffushi, Thaa Atoll"
Gaafaru,Kaafu Atoll,2588,"Gaafaru, Kaafu Atoll"
Gadhdhoo,Gaaf Dhaal Atoll,2828,"Gadhdhoo, Gaaf Dhaal Atoll"
Gamu,Laamu Atoll,9630,"Gamu, Laamu Atoll"
Gemanafushi,Gaaf Alif Atoll,2636,"Gemanafushi, Gaaf Alif Atoll"
Goidhoo,Baa Atoll,1166,"Goidhoo, Baa Atoll"
Goidhoo,Shaviyani Atoll,1184,"Goidhoo, Shaviyani Atoll"
Gulhi,Kaafu Atoll,1952,"Gulhi, Kaafu Atoll"
Guraidhoo,Kaafu Atoll,3486,"Guraidhoo, Kaafu Atoll"
Guraidhoo,Thaa Atoll,2586,"Guraidhoo, Thaa Atoll"
Hanghghaameedhoo,Alif Dhekunu Buri,968,"Hanghghaameedhoo, Alif Dhekunu Buri"
Hanimaadhoo,Haa Dhaal Atoll,5328,"Hanimaadhoo, Haa Dhaal Atoll"
Hebadhoo,Noonu Atoll,1276,"Hebadhoo, Noonu Atoll"
Himandhoo,Alif Uthuru Buri,1770,"Himandhoo, Alif Uthuru Buri"
Himmafushi,Kaafu Atoll,4024,"Himmafushi, Kaafu Atoll"
Hinnavaru,Lhaviyani Atoll,4572,"Hinnavaru, Lhaviyani Atoll"
Hirilandhoo,Thaa Atoll,2292,"Hirilandhoo, Thaa Atoll"
Hirimaradhoo,Haa Dhaal Atoll,586,"Hirimaradhoo, Haa Dhaal Atoll"
Hithaadhoo,Baa Atoll,1488,"Hithaadhoo, Baa Atoll"
Hithadhoo,Seenu Atoll,29734,"Hithadhoo, Seenu Atoll"
Hoadedhdhoo,Gaaf Dhaal Atoll,1770,"Hoadedhdhoo, Gaaf Dhaal Atoll"
Hoarafushi,Haa Alif Atoll,3682,"Hoarafushi, Haa Alif Atoll"
Holhudhoo,Noonu Atoll,2856,"Holhudhoo, Noonu Atoll"
Hulhudheli,Dhaal Atoll,1528,"Hulhudheli, Dhaal Atoll"
Hulhudhoo,Seenu Atoll,2364,"Hulhudhoo, Seenu Atoll"
Hulhudhuffaaru,Raa Atoll,2456,"Hulhudhuffaaru, Raa Atoll"
Huraa,Kaafu Atoll,3308,"Huraa, Kaafu Atoll"
Iguraidhoo,Raa Atoll,2556,"Iguraidhoo, Raa Atoll"
Ihavandhoo,Haa Alif Atoll,5746,"Ihavandhoo, Haa Alif Atoll"
Innamaadhoo,Raa Atoll,1326,"Innamaadhoo, Raa Atoll"
Isdhoo,Laamu Atoll,1858,"Isdhoo, Laamu Atoll"
Kaashidhoo,Kaafu Atoll,5056,"Kaashidhoo, Kaafu Atoll"
Kaditheemu,Shaviyani Atoll,2386,"Kaditheemu, Shaviyani Atoll"
Kadoodhoo,Thaa Atoll,912,"Kadoodhoo, Thaa Atoll"
Kalhaidhoo,Laamu Atoll,1310,"Kalhaidhoo, Laamu Atoll"
Kamadhoo,Baa Atoll,1104,"Kamadhoo, Baa Atoll"
Kanduhulhudhoo,Gaaf Alif Atoll,1238,"Kanduhulhudhoo, Gaaf Alif Atoll"
