atoll_official,atoll_official_name,local_names,n,adm1_en,adm1_pcode
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaal (ADh),1,Alifu Dhaalu,MV020
Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif (AA),1,Alifu Alifu,MV008
Baa Atoll,Maalhosmadulu Dhekunuburi,Baa (B),1,Baa,MV007
Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,Dhaalu (Dh),1,Dhaalu,MV012
Faafu Atoll,Nilandhe Atholhu Uthuruburi,Faafu (F),1,Faafu,MV011
Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif (GA),1,Gaafu Alifu,MV016
Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu (GDh),1,Gaafu Dhaalu,MV017
Gnaviyani Atoll,Fuvahmulah,Gnaviyani (Gn),1,Gnaviyani,MV018
Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alif (HA),1,Haa Alifu,MV001
Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu (HDh),1,Haa Dhaalu,MV002
Industrial Islands,Industrial Islands,Industrial Islands,1,NA,NA
Kaafu Atoll,Malé Atholhu,Kaafu Atoll,1,Kaafu,MV009
Laamu Atoll,Hadhdhummathi Atholhu,Laamu (L),1,Laamu,MV015
Lhaviyani Atoll,Faadhippolhu,Lhaviyani (Lh),1,Lhaviyani,MV005
Greater Male Region,Greater Malé  Region,Male,1,Male,MV021
Meemu Atoll,Meemu (M),Meemu (M),1,Meemu,MV013
Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu (N),1,Noonu,MV004
Raa Atoll,Maalhosmadulu Uthuruburi,Raa (R),1,Raa,MV006
Resorts,Resorts,Resorts,1,NA,NA
Seenu Atoll,Addu Atholhu,Addu (S),1,Seenu,MV019
Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani (Sh),1,Shaviyani,MV003
Thaa Atoll,Kolhumadulu Atholhu,Thaa (Th),1,Thaa,MV014
Vaavu Atoll,Felidhe Atholhu,Vaavu (V),1,Vaavu,MV010
