adm1_pcode,atoll_official,island,adm2_en,adm2_pcode,local_names,concat
MV001,Haa Alif Atoll,Baarah,Baarah,MV001016,Haa Alif (HA),"Baarah, Haa Alif (HA)"
MV001,Haa Alif Atoll,Mulhadhoo,Mulhadhoo,MV001005,Haa Alif (HA),"Mulhadhoo, Haa Alif (HA)"
MV001,Haa Alif Atoll,Muraidhoo,Muraidhoo,MV001015,Haa Alif (HA),"Muraidhoo, Haa Alif (HA)"
MV001,Haa Alif Atoll,Thakandhoo,Thakandhoo,MV001013,Haa Alif (HA),"Thakandhoo, Haa Alif (HA)"
MV001,Haa Alif Atoll,Thurakunu,Thuraakunu,MV001001,Haa Alif (HA),"Thurakunu, Haa Alif (HA)"
MV001,Haa Alif Atoll,Uligamu,NA,MV001002,Haa Alif (HA),"Uligamu, Haa Alif (HA)"
MV001,Haa Alif Atoll,Utheemu,Utheemu,MV001014,Haa Alif (HA),"Utheemu, Haa Alif (HA)"
MV001,Haa Alif Atoll,Vashafaru,Vashafaru,MV001009,Haa Alif (HA),"Vashafaru, Haa Alif (HA)"
MV001,Haa Alif Atoll,Dhidhdhoo,Dhihdhoo,MV001010,Haa Alif (HA),"Dhidhdhoo, Haa Alif (HA)"
MV001,Haa Alif Atoll,Filladhoo,Filladhoo,MV001011,Haa Alif (HA),"Filladhoo, Haa Alif (HA)"
MV001,Haa Alif Atoll,Hoarafushi,Huvarafushi,MV001006,Haa Alif (HA),"Hoarafushi, Haa Alif (HA)"
MV001,Haa Alif Atoll,Ihavandhoo,Ihavandhoo,MV001007,Haa Alif (HA),"Ihavandhoo, Haa Alif (HA)"
MV001,Haa Alif Atoll,Kelaa,Kelaa,MV001008,Haa Alif (HA),"Kelaa, Haa Alif (HA)"
MV001,Haa Alif Atoll,Maarandhoo,Maarandhoo,MV001012,Haa Alif (HA),"Maarandhoo, Haa Alif (HA)"
MV001,Haa Alif Atoll,Berinmadhoo,Berinmadhoo,MV001003,Haa Alif (HA),"Berinmadhoo, Haa Alif (HA)"
MV001,Haa Alif Atoll,Uligan,Uligamu,MV001002,Haa Alif (HA),"Uligan, Haa Alif (HA)"
MV002,Haa Dhaal Atoll,Finey,Finey,MV002004,Haa Dhaalu (HDh),"Finey, Haa Dhaalu (HDh)"
MV002,Haa Dhaal Atoll,Hanimaadhoo,Hanimaadhoo,MV002003,Haa Dhaalu (HDh),"Hanimaadhoo, Haa Dhaalu (HDh)"
MV002,Haa Dhaal Atoll,Hirimaradhoo,Hirimaradhoo,MV002006,Haa Dhaalu (HDh),"Hirimaradhoo, Haa Dhaalu (HDh)"
MV002,Haa Dhaal Atoll,Kulhudhuffushi,NA,MV002012,Haa Dhaalu (HDh),"Kulhudhuffushi, Haa Dhaalu (HDh)"
MV002,Haa Dhaal Atoll,Kumundhoo,Kumundhoo,MV002013,Haa Dhaalu (HDh),"Kumundhoo, Haa Dhaalu (HDh)"
MV002,Haa Dhaal Atoll,Kurinbi,Kurin'bee,MV002010,Haa Dhaalu (HDh),"Kurinbi, Haa Dhaalu (HDh)"
MV002,Haa Dhaal Atoll,Makunudhoo,Makunudhoo,MV002017,Haa Dhaalu (HDh),"Makunudhoo, Haa Dhaalu (HDh)"
