atoll_official,atoll_local_names,indicator,value,range,indicator2,value2,range2
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Aged-Dependency Ratio,10.046690899736921,0.3041356592737033,Aged-Dependency Ratio,10.046690899736921,0.3041356592737033
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Child Dependency Ratio,48.690362956043636,0.5181919784024344,Child Dependency Ratio,48.690362956043636,0.5181919784024344
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Combined rate of unemployment and potential labour force (%),13.518277789786978,0.32370173946281516,Combined rate of unemployment and potential labour force (%),13.518277789786978,0.32370173946281516
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Dependency Ratio,58.73705385578058,0.500680805291472,Dependency Ratio,58.73705385578058,0.500680805291472
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Employment-to-population ratio (%),68.2463332164761,0.7187246615030303,Employment-to-population ratio (%),68.2463332164761,0.7187246615030303
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Growth Rate ( 2014 to 2022),0.122818927919501,0.33085389960125844,Growth Rate ( 2014 to 2022),0.122818927919501,0.33085389960125844
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Inactivity rate (%),29.484052075274324,0.33054175506887656,Inactivity rate (%),29.484052075274324,0.33054175506887656
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Labour force participation rate (%),70.51594792472558,0.6694582449311234,Labour force participation rate (%),70.51594792472558,0.6694582449311234
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,NEET rate (15-24 years) (%),24.26502797861719,0.6286691244054633,NEET rate (15-24 years) (%),24.26502797861719,0.6286691244054633
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,NEET rate (18-35 years) (%),15.583395992181423,0.4183720994415131,NEET rate (18-35 years) (%),15.583395992181423,0.4183720994415131
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Population density,3376.406661464217,0.6005848499762544,Population density,3376.406661464217,0.6005848499762544
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Sex Ratio (males per 100 female),101.51526293197962,0.29708375079235055,Sex Ratio (males per 100 female),101.51526293197962,0.29708375079235055
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Unemployment rate (%),3.2140178228710696,0.15751141361420995,Unemployment rate (%),3.2140178228710696,0.15751141361420995
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Youth unemployment rate (15-24 years),4.43018867924528,0.05989261294901471,Youth unemployment rate (15-24 years),4.43018867924528,0.05989261294901471
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Youth unemployment rate (18-35years),2.34321785614117,0.08281884642819179,Youth unemployment rate (18-35years),2.34321785614117,0.08281884642819179
Alif Uthuru Buri,Ari Atholhu Uthuruburi,Aged-Dependency Ratio,8.457962619159506,0.16820113794388025,Aged-Dependency Ratio,8.457962619159506,0.16820113794388025
Alif Uthuru Buri,Ari Atholhu Uthuruburi,Child Dependency Ratio,54.717805201202935,0.7185700184473297,Child Dependency Ratio,54.717805201202935,0.7185700184473297
Alif Uthuru Buri,Ari Atholhu Uthuruburi,Combined rate of unemployment and potential labour force (%),10.853111489124897,0.04972878929491178,Combined rate of unemployment and potential labour force (%),10.853111489124897,0.04972878929491178
Alif Uthuru Buri,Ari Atholhu Uthuruburi,Dependency Ratio,63.17576782036245,0.6726616489247388,Dependency Ratio,63.17576782036245,0.6726616489247388
Alif Uthuru Buri,Ari Atholhu Uthuruburi,Employment-to-population ratio (%),68.261557882407,0.7194021186599024,Employment-to-population ratio (%),68.261557882407,0.7194021186599024
Alif Uthuru Buri,Ari Atholhu Uthuruburi,Growth Rate ( 2014 to 2022),1.44848003289927,0.843062550774846,Growth Rate ( 2014 to 2022),1.44848003289927,0.843062550774846
Alif Uthuru Buri,Ari Atholhu Uthuruburi,Inactivity rate (%),29.309220486554672,0.32168021056210977,Inactivity rate (%),29.309220486554672,0.32168021056210977
Alif Uthuru Buri,Ari Atholhu Uthuruburi,Labour force participation rate (%),70.69077951344524,0.6783197894378904,Labour force participation rate (%),70.69077951344524,0.6783197894378904
Alif Uthuru Buri,Ari Atholhu Uthuruburi,NEET rate (15-24 years) (%),22.759625722267046,0.5220400016043569,NEET rate (15-24 years) (%),22.759625722267046,0.5220400016043569
Alif Uthuru Buri,Ari Atholhu Uthuruburi,NEET rate (18-35 years) (%),16.504675084687555,0.5058812309686481,NEET rate (18-35 years) (%),16.504675084687555,0.5058812309686481
