Atoll,atoll_official,atoll_official_name,atoll_alternate
ADh,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
AA,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
B,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
Dh,Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,Dhaalu
F,Faafu Atoll,Nilandhe Atholhu Uthuruburi,Faafu
GA,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GDh,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
Gn,Gnaviyani Atoll,Fuvahmulah,Gnaviyani
HA,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HDh,Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,Haa Dhaalu
K,Kaafu Atoll,Malé Atholhu,Kaafu
L,Laamu Atoll,Hadhdhummathi Atholhu,Laamu
Lh,Lhaviyani Atoll,Faadhippolhu,Lhaviyani
M,Meemu Atoll,Mulakatolhu,Meemu
N,Noonu Atoll,Miladhunmadulu Dhekunuburi,Noonu
R,Raa Atoll,Maalhosmadulu Uthuruburi,Raa
S,Seenu Atoll,Addu Atholhu,Seenu
Sh,Shaviyani Atoll,Miladhunmadulu Uthuruburi,Shaviyani
Th,Thaa Atoll,Kolhumadulu Atholhu,Thaa
V,Vaavu Atoll,Felidhe Atholhu,Vaavu
