atoll_local_names,atoll_official,indicator,value
Alif Dhaal (ADh),Alif Dhekunu Buri,Adolescent Population (International) (10-19 yrs),3060
Alif Dhaal (ADh),Alif Dhekunu Buri,Child Population (0-17 yrs),6311
Alif Dhaal (ADh),Alif Dhekunu Buri,Elderly Population (65+ yrs),1021
Alif Dhaal (ADh),Alif Dhekunu Buri,Median Age,677
Alif Dhaal (ADh),Alif Dhekunu Buri,Population,26361
Alif Dhaal (ADh),Alif Dhekunu Buri,Population density,36766.33803401766
Alif Dhaal (ADh),Alif Dhekunu Buri,Sex Ratio (males per 100 female),1116.6678922517758
Alif Dhaal (ADh),Alif Dhekunu Buri,Working Age Population (15-64 yrs),12123
Alif Dhaal (ADh),Alif Dhekunu Buri,Youth Population (National) (18-35 yrs),5395
Alif Alif (AA),Alif Uthuru Buri,Adolescent Population (International) (10-19 yrs),2657
Alif Alif (AA),Alif Uthuru Buri,Child Population (0-17 yrs),5189
Alif Alif (AA),Alif Uthuru Buri,Elderly Population (65+ yrs),673
Alif Alif (AA),Alif Uthuru Buri,Median Age,548
Alif Alif (AA),Alif Uthuru Buri,Population,18965
Alif Alif (AA),Alif Uthuru Buri,Population density,28922.96289731696
Alif Alif (AA),Alif Uthuru Buri,Sex Ratio (males per 100 female),950.5556106299575
Alif Alif (AA),Alif Uthuru Buri,Working Age Population (15-64 yrs),9262
Alif Alif (AA),Alif Uthuru Buri,Youth Population (National) (18-35 yrs),4033
Baa (B),Baa Atoll,Adolescent Population (International) (10-19 yrs),3525
Baa (B),Baa Atoll,Child Population (0-17 yrs),6719
Baa (B),Baa Atoll,Elderly Population (65+ yrs),1224
Baa (B),Baa Atoll,Median Age,1258.5
Baa (B),Baa Atoll,Population,27799
Baa (B),Baa Atoll,Population density,31145.189761856367
Baa (B),Baa Atoll,Sex Ratio (males per 100 female),1372.0766662021192
Baa (B),Baa Atoll,Working Age Population (15-64 yrs),12975
Baa (B),Baa Atoll,Youth Population (National) (18-35 yrs),5254
Dhaalu (Dh),Dhaal Atoll,Adolescent Population (International) (10-19 yrs),2185
Dhaalu (Dh),Dhaal Atoll,Child Population (0-17 yrs),4168
Dhaalu (Dh),Dhaal Atoll,Elderly Population (65+ yrs),604
Dhaalu (Dh),Dhaal Atoll,Median Age,620.5
Dhaalu (Dh),Dhaal Atoll,Population,16314
Dhaalu (Dh),Dhaal Atoll,Population density,16042.01623042423
Dhaalu (Dh),Dhaal Atoll,Sex Ratio (males per 100 female),686.7433842012387
Dhaalu (Dh),Dhaal Atoll,Working Age Population (15-64 yrs),7987
Dhaalu (Dh),Dhaal Atoll,Youth Population (National) (18-35 yrs),3371
Faafu (F),Faafu Atoll,Adolescent Population (International) (10-19 yrs),1779
Faafu (F),Faafu Atoll,Child Population (0-17 yrs),3741
Faafu (F),Faafu Atoll,Elderly Population (65+ yrs),448
Faafu (F),Faafu Atoll,Median Age,333
Faafu (F),Faafu Atoll,Population,9992
Faafu (F),Faafu Atoll,Population density,14703.17074542043
Faafu (F),Faafu Atoll,Sex Ratio (males per 100 female),556.9567376249081
Faafu (F),Faafu Atoll,Working Age Population (15-64 yrs),5234
Faafu (F),Faafu Atoll,Youth Population (National) (18-35 yrs),2093
Gaafu Alif (GA),Gaaf Alif Atoll,Adolescent Population (International) (10-19 yrs),2763
Gaafu Alif (GA),Gaaf Alif Atoll,Child Population (0-17 yrs),5501
Gaafu Alif (GA),Gaaf Alif Atoll,Elderly Population (65+ yrs),1316
