atoll_official,atoll_local_names,population
Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,26361
Alif Uthuru Buri,Ari Atholhu Uthuruburi,18965
Baa Atoll,Maalhosmadulu Dhekunuburi,27799
Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,16314
Faafu Atoll,Nilandhe Atholhu Uthuruburi,9992
Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,20780
Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,26188
Gnaviyani Atoll,Fuvahmulah,18354
Haa Alif Atoll,Thiladhunmathee Uthuruburi,29934
Haa Dhaal Atoll,Thiladhunmathee Dhekunuburi,45285
Industrial Islands,Industrial Islands,13831
Kaafu Atoll,Malé Atholhu,60996
Laamu Atoll,Hadhdhummathi Atholhu,29492
Lhaviyani Atoll,Faadhippolhu,22264
Meemu Atoll,Meemu (M),11576
Noonu Atoll,Miladhunmadulu Dhekunuburi,29140
Raa Atoll,Maalhosmadulu Uthuruburi,40834
Resorts,Resorts,52482
Seenu Atoll,Addu Atholhu,51980
Shaviyani Atoll,Miladhunmadulu Uthuruburi,28352
Thaa Atoll,Kolhumadulu Atholhu,20797
Vaavu Atoll,Felidhe Atholhu,4732
