dataset,indicator,island,atoll_official,atoll_local_names,sort1,value,sort_order,administration,population,min,max,normalized_value,duplicate
Population,Population,Baarah,Haa Alif Atoll,Haa Alif (HA),1,1141,1,Administrative Islands,Resident Population,0,52482,4.151535646392101,FALSE
Population,Population,Dhidhdhoo,Haa Alif Atoll,Haa Alif (HA),1,3412,1,Administrative Islands,Resident Population,0,52482,12.368438443408245,FALSE
Population,Population,Filladhoo,Haa Alif Atoll,Haa Alif (HA),1,559,1,Administrative Islands,Resident Population,0,52482,2.0457507816349914,FALSE
Population,Population,Hoarafushi,Haa Alif Atoll,Haa Alif (HA),1,1841,1,Administrative Islands,Resident Population,0,52482,6.684266583385188,FALSE
Population,Population,Ihavandhoo,Haa Alif Atoll,Haa Alif (HA),1,2873,1,Administrative Islands,Resident Population,0,52482,10.418235621923568,FALSE
Population,Population,Kelaa,Haa Alif Atoll,Haa Alif (HA),1,1115,1,Administrative Islands,Resident Population,0,52482,4.057462783018072,FALSE
Population,Population,Maarandhoo,Haa Alif Atoll,Haa Alif (HA),1,668,1,Administrative Islands,Resident Population,0,52482,2.4401331703953435,FALSE
Population,Population,Mulhadhoo,Haa Alif Atoll,Haa Alif (HA),1,286,1,Administrative Islands,Resident Population,0,52482,1.0579857162076873,FALSE
Population,Population,Muraidhoo,Haa Alif Atoll,Haa Alif (HA),1,534,1,Administrative Islands,Resident Population,0,52482,1.9552961053138096,FALSE
Population,Population,Thakandhoo,Haa Alif Atoll,Haa Alif (HA),1,279,1,Administrative Islands,Resident Population,0,52482,1.0326584068377562,FALSE
Population,Population,Thurakunu,Haa Alif Atoll,Haa Alif (HA),1,427,1,Administrative Islands,Resident Population,0,52482,1.568150090659152,FALSE
Population,Population,Uligamu,Haa Alif Atoll,Haa Alif (HA),1,400,1,Administrative Islands,Resident Population,0,52482,1.4704590402322757,FALSE
Population,Population,Utheemu,Haa Alif Atoll,Haa Alif (HA),1,612,1,Administrative Islands,Resident Population,0,52482,2.2375146954358964,FALSE
Population,Population,Vashafaru,Haa Alif Atoll,Haa Alif (HA),1,476,1,Administrative Islands,Resident Population,0,52482,1.7454412562486679,FALSE
Population,Population,Finey,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,409,2,Administrative Islands,Resident Population,0,52482,1.503022723707901,FALSE
Population,Population,Hanimaadhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,2664,2,Administrative Islands,Resident Population,0,52482,9.66203452787849,FALSE
Population,Population,Hirimaradhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,293,2,Administrative Islands,Resident Population,0,52482,1.0833130255776182,FALSE
Population,Population,Kulhudhuffushi,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,10131,2,Administrative Islands,Resident Population,0,52482,36.67903725148904,FALSE
