indicator,island,atoll_official,atoll_local_names,population,value,value2,indicator2
* Area (in hectare),Agolhitheemu,Raa Atoll,Raa (R),Maldivians,39.839134,39.839134,* Area (in hectare)
* Area (in hectare),Alifushi,Raa Atoll,Raa (R),Maldivians,60.57001,60.57001,* Area (in hectare)
* Area (in hectare),Baarah,Haa Alif Atoll,Haa Alif (HA),Maldivians,249.955159,249.955159,* Area (in hectare)
* Area (in hectare),Badidhoo,Dhaal Atoll,Dhaalu (Dh),Maldivians,24.99915,24.99915,* Area (in hectare)
* Area (in hectare),Biledhdhoo,Faafu Atoll,Faafu (F),Maldivians,31.589802,31.589802,* Area (in hectare)
* Area (in hectare),Bilehffahi,Shaviyani Atoll,Shaviyani (Sh),Maldivians,66.519896,66.519896,* Area (in hectare)
* Area (in hectare),Bodufolhudhoo,Alif Uthuru Buri,Alif Alif (AA),Maldivians,12.492676,12.492676,* Area (in hectare)
* Area (in hectare),Buruni,Thaa Atoll,Thaa (Th),Maldivians,34.08479,34.08479,* Area (in hectare)
* Area (in hectare),Dhaandhoo,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,31.558554,31.558554,* Area (in hectare)
* Area (in hectare),Dhabidhoo,Laamu Atoll,Laamu (L),Maldivians,53.918371,53.918371,* Area (in hectare)
* Area (in hectare),Dhangethi,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,30.166662,30.166662,* Area (in hectare)
* Area (in hectare),Dharaboodhoo,Faafu Atoll,Faafu (F),Maldivians,40.079694,40.079694,* Area (in hectare)
* Area (in hectare),Dharavandhoo,Baa Atoll,Baa (B),Maldivians,67.384564,67.384564,* Area (in hectare)
* Area (in hectare),Dhevvadhoo,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,23.213563,23.213563,* Area (in hectare)
* Area (in hectare),Dhidhdhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,20.305146,20.305146,* Area (in hectare)
* Area (in hectare),Dhidhdhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,96.542888,96.542888,* Area (in hectare)
* Area (in hectare),Dhiffushi,Kaafu Atoll,Kaafu (K),Maldivians,27.057046,27.057046,* Area (in hectare)
* Area (in hectare),Dhiggaru,Meemu Atoll,Meemu (M),Maldivians,14.454305,14.454305,* Area (in hectare)
* Area (in hectare),Dhigurah,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,55.048316,55.048316,* Area (in hectare)
* Area (in hectare),Dhiyamigili,Thaa Atoll,Thaa (Th),Maldivians,29.337474,29.337474,* Area (in hectare)
