atoll_local_names,atoll_official,island_old,island_correct,island_match
Haa Alif (HA),Haa Alif Atoll,Baarah,Baarah,TRUE
Haa Alif (HA),Haa Alif Atoll,Dhidhdhoo,Dhidhdhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Filladhoo,Filladhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Hoarafushi,Hoarafushi,TRUE
Haa Alif (HA),Haa Alif Atoll,Ihavandhoo,Ihavandhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Kelaa,Kelaa,TRUE
Haa Alif (HA),Haa Alif Atoll,Maarandhoo,Maarandhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Mulhadhoo,Mulhadhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Muraidhoo,Muraidhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Thakandhoo,Thakandhoo,TRUE
Haa Alif (HA),Haa Alif Atoll,Thurakunu,Thurakunu,TRUE
Haa Alif (HA),Haa Alif Atoll,Uligamu,Uligamu,TRUE
Haa Alif (HA),Haa Alif Atoll,Utheemu,Utheemu,TRUE
Haa Alif (HA),Haa Alif Atoll,Vashafaru,Vashafaru,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Finey,Finey,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Hanimaadhoo,Hanimaadhoo,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Hirimaradhoo,Hirimaradhoo,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Kulhudhuffushi,Kulhudhuffushi,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Kumundhoo,Kumundhoo,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Kuribi,Kurinbi,FALSE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Makunudhoo,Makunudhoo,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Naivaadhoo,Naivaadhoo,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Nellaidhoo,Nellaidhoo,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Neykurendhoo,Neykurendhoo,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Nolhivaram,Nolhivaram,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Nolhivaramfaru,Nolhivaramfaru,TRUE
Haa Dhaalu (HDh),Haa Dhaal Atoll,Vaikaradhoo,Vaikaradhoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Bilehffahi,Bilehffahi,TRUE
Shaviyani (Sh),Shaviyani Atoll,Feevah,Feevah,TRUE
Shaviyani (Sh),Shaviyani Atoll,Feydhoo,Feydhoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Foakaidhoo,Foakaidhoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Funadhoo,Funadhoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Goidhoo,Goidhoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Kaditheemu,Kaditheemu,TRUE
Shaviyani (Sh),Shaviyani Atoll,Komandoo,Komandoo,TRUE
Shaviyani (Sh),Shaviyani Atoll,Lhaimagu,Lhaimagu,TRUE
Shaviyani (Sh),Shaviyani Atoll,Maaugoodhoo,Maaugoodhoo,TRUE
