Atoll,island,atoll_official,indicator_full,value,sex_modifier,population_modifier,indicator,indicator2,value2
HA,Baarah,Haa Alif Atoll,Resident Maldivians Population Both sexes,1053,Both sexes,Resident Maldivians,Resident Maldivians Population Both sexes,Resident Maldivians Population Both sexes,1053
HA,Baarah,Haa Alif Atoll,Growth Rate (for Resident Maldivian Population - 2014 to 2022),-1.3507050878535662,NA,Resident Maldivians,Growth Rate (for  - 2014 to 2022),Growth Rate (for  - 2014 to 2022),-1.3507050878535662
HA,Baarah,Haa Alif Atoll,Resident Foreigners (%) (out of resident Population),7.712532865907098,NA,NA,Resident Foreigners (%) (out of resident Population),Resident Foreigners (%) (out of resident Population),7.712532865907098
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Sex Ratio (males per 100 female),81.55172413793103,NA,Resident Maldivians, 2022 Sex Ratio (males per 100 female), 2022 Sex Ratio (males per 100 female),81.55172413793103
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Dependency Ratio,64.7887323943662,NA,Resident Maldivians, 2022 Dependency Ratio, 2022 Dependency Ratio,64.7887323943662
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Child Dependency Ratio,55.24256651017214,NA,Resident Maldivians, 2022 Child Dependency Ratio, 2022 Child Dependency Ratio,55.24256651017214
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Aged-Dependency Ratio,9.546165884194053,NA,Resident Maldivians, 2022 Aged-Dependency Ratio, 2022 Aged-Dependency Ratio,9.546165884194053
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (0-17 yrs) Both sexes,406,Both sexes,Resident Maldivians, 2022 Child Population (0-17 yrs) Both sexes, 2022 Child Population (0-17 yrs) Both sexes,406
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (International) (0-14 yrs) Both sexes,353,Both sexes,Resident Maldivians, 2022 Child Population (International) (0-14 yrs) Both sexes, 2022 Child Population (International) (0-14 yrs) Both sexes,353
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Adolescent Population (International) (10-19 yrs) Both sexes,184,Both sexes,Resident Maldivians, 2022 Adolescent Population (International) (10-19 yrs) Both sexes, 2022 Adolescent Population (International) (10-19 yrs) Both sexes,184
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Working Age Population (15-64 yrs) Both sexes,639,Both sexes,Resident Maldivians, 2022 Working Age Population (15-64 yrs) Both sexes, 2022 Working Age Population (15-64 yrs) Both sexes,639
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Youth Population (International) (15-24 yrs) Both sexes,115,Both sexes,Resident Maldivians, 2022 Youth Population (International) (15-24 yrs) Both sexes, 2022 Youth Population (International) (15-24 yrs) Both sexes,115
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Youth Population (National) (18-35 yrs) Both sexes,240,Both sexes,Resident Maldivians, 2022 Youth Population (National) (18-35 yrs) Both sexes, 2022 Youth Population (National) (18-35 yrs) Both sexes,240
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Elderly Population  (65+ yrs) Both sexes,61,Both sexes,Resident Maldivians, 2022 Elderly Population  (65+ yrs) Both sexes, 2022 Elderly Population  (65+ yrs) Both sexes,61
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population (%) Child Population (0-17 yrs),38.55650522317189,NA,Resident Maldivians, (%) Child Population (0-17 yrs), (%) Child Population (0-17 yrs),38.55650522317189
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population (%) Child Population (International) (0-14 yrs),33.523266856600195,NA,Resident Maldivians, (%) Child Population (International) (0-14 yrs), (%) Child Population (International) (0-14 yrs),33.523266856600195
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population (%) Adolescent Population (International) (10-19 yrs),17.47388414055081,NA,Resident Maldivians, (%) Adolescent Population (International) (10-19 yrs), (%) Adolescent Population (International) (10-19 yrs),17.47388414055081
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population (%) Working Age Population (15-64 yrs),60.68376068376068,NA,Resident Maldivians, (%) Working Age Population (15-64 yrs), (%) Working Age Population (15-64 yrs),60.68376068376068
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population (%) Youth Population (International) (15-24 yrs),10.921177587844255,NA,Resident Maldivians, (%) Youth Population (International) (15-24 yrs), (%) Youth Population (International) (15-24 yrs),10.921177587844255
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population (%) Youth Population (National) (18-35 yrs),22.79202279202279,NA,Resident Maldivians, (%) Youth Population (National) (18-35 yrs), (%) Youth Population (National) (18-35 yrs),22.79202279202279
HA,Baarah,Haa Alif Atoll,Resident Maldivian Population (%) Elderly Population  (65+ yrs),5.7929724596391265,NA,Resident Maldivians, (%) Elderly Population  (65+ yrs), (%) Elderly Population  (65+ yrs),5.7929724596391265
HA,Baarah,Haa Alif Atoll,Area (in hectare),249.955159,NA,NA,Area (in hectare),Area (in hectare),249.955159
HA,Baarah,Haa Alif Atoll,Area (in sq km),2.4995515900000003,NA,NA,Area (in sq km),Area (in sq km),2.4995515900000003
HA,Baarah,Haa Alif Atoll,Population density Resident Maldivian Population,421.2755616698433,NA,Resident Maldivians,Population density ,Population density ,421.2755616698433
HA,Baarah,Haa Alif Atoll,Median Age Resident Maldivians,28,NA,Resident Maldivians,Median Age Resident Maldivians,Median Age Resident Maldivians,28
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivians Population Both sexes,3126,Both sexes,Resident Maldivians,Resident Maldivians Population Both sexes,Resident Maldivians Population Both sexes,3126
HA,Dhidhdhoo,Haa Alif Atoll,Growth Rate (for Resident Maldivian Population - 2014 to 2022),2.2434949369312824,NA,Resident Maldivians,Growth Rate (for  - 2014 to 2022),Growth Rate (for  - 2014 to 2022),2.2434949369312824
HA,Dhidhdhoo,Haa Alif Atoll,Resident Foreigners (%) (out of resident Population),8.382180539273154,NA,NA,Resident Foreigners (%) (out of resident Population),Resident Foreigners (%) (out of resident Population),8.382180539273154
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Sex Ratio (males per 100 female),81.21739130434783,NA,Resident Maldivians, 2022 Sex Ratio (males per 100 female), 2022 Sex Ratio (males per 100 female),81.21739130434783
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Dependency Ratio,71.94719471947195,NA,Resident Maldivians, 2022 Dependency Ratio, 2022 Dependency Ratio,71.94719471947195
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Dependency Ratio,61.826182618261825,NA,Resident Maldivians, 2022 Child Dependency Ratio, 2022 Child Dependency Ratio,61.826182618261825
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Aged-Dependency Ratio,10.121012101210122,NA,Resident Maldivians, 2022 Aged-Dependency Ratio, 2022 Aged-Dependency Ratio,10.121012101210122
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (0-17 yrs) Both sexes,1260,Both sexes,Resident Maldivians, 2022 Child Population (0-17 yrs) Both sexes, 2022 Child Population (0-17 yrs) Both sexes,1260
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (International) (0-14 yrs) Both sexes,1124,Both sexes,Resident Maldivians, 2022 Child Population (International) (0-14 yrs) Both sexes, 2022 Child Population (International) (0-14 yrs) Both sexes,1124
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Adolescent Population (International) (10-19 yrs) Both sexes,595,Both sexes,Resident Maldivians, 2022 Adolescent Population (International) (10-19 yrs) Both sexes, 2022 Adolescent Population (International) (10-19 yrs) Both sexes,595
HA,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Working Age Population (15-64 yrs) Both sexes,1818,Both sexes,Resident Maldivians, 2022 Working Age Population (15-64 yrs) Both sexes, 2022 Working Age Population (15-64 yrs) Both sexes,1818
