Atoll,island,atoll_official,indicator_full,value,sex_modifier,population_modifier,indicator,indicator2,value2,index
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Resident Maldivians Population Both sexes,1053,Both sexes,Resident Maldivians,Resident Maldivians Population Both sexes,Resident Maldivians Population Both sexes,1053,"Baarah, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Growth Rate (for Resident Maldivian Population - 2014 to 2022),-1.3507050878535662,NA,Resident Maldivians,Growth Rate (for  - 2014 to 2022),Growth Rate (for  - 2014 to 2022),-1.3507050878535662,"Baarah, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Resident Foreigners (%) (out of resident Population),7.712532865907098,NA,NA,Resident Foreigners (%) (out of resident Population),Resident Foreigners (%) (out of resident Population),7.712532865907098,"Baarah, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Sex Ratio (males per 100 female),81.55172413793103,NA,Resident Maldivians, 2022 Sex Ratio (males per 100 female), 2022 Sex Ratio (males per 100 female),81.55172413793103,"Baarah, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Dependency Ratio,64.7887323943662,NA,Resident Maldivians, 2022 Dependency Ratio, 2022 Dependency Ratio,64.7887323943662,"Baarah, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Child Dependency Ratio,55.24256651017214,NA,Resident Maldivians, 2022 Child Dependency Ratio, 2022 Child Dependency Ratio,55.24256651017214,"Baarah, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Aged-Dependency Ratio,9.546165884194053,NA,Resident Maldivians, 2022 Aged-Dependency Ratio, 2022 Aged-Dependency Ratio,9.546165884194053,"Baarah, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (0-17 yrs) Both sexes,406,Both sexes,Resident Maldivians, 2022 Child Population (0-17 yrs) Both sexes, 2022 Child Population (0-17 yrs) Both sexes,406,"Baarah, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (International) (0-14 yrs) Both sexes,353,Both sexes,Resident Maldivians, 2022 Child Population (International) (0-14 yrs) Both sexes, 2022 Child Population (International) (0-14 yrs) Both sexes,353,"Baarah, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Resident Maldivian Population 2022 Adolescent Population (International) (10-19 yrs) Both sexes,184,Both sexes,Resident Maldivians, 2022 Adolescent Population (International) (10-19 yrs) Both sexes, 2022 Adolescent Population (International) (10-19 yrs) Both sexes,184,"Baarah, Thiladhunmathee Uthuruburi"
