Atoll,island,atoll_official,atoll_official_name,atoll_alternate
ADh,Dhagethi,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Dhidhdhoo,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Dhigurah,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Fenfushi,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Hangnameedhoo,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Kuburudhoo,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Maamigili,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Mahibadhoo,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Mandhoo,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
ADh,Omadhoo,Alif Dhekunu Buri,Ari Atholhu Dhekunuburi,Alif Dhaalu
AA,Bodufolhudhoo,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
AA,Feridhoo,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
AA,Himandhoo,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
AA,Maalhos,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
AA,Mathiveri,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
AA,Rasdhoo,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
AA,Thoddoo,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
AA,Ukulhas,Alif Uthuru Buri,Ari Atholhu Uthuruburi,Alif Alif
B,Dharavandhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Dhonfanu,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Eydhafushi,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Fehendhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Fulhadhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Goidhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Hithaadhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Kamadhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Kendhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Kihaadhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Kudarikilu,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Maalhos,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
B,Thulhaadhoo,Baa Atoll,Maalhosmadulu Dhekunuburi,Baa
Dh,Badidhoo,Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,Dhaalu
Dh,Hulhudheli,Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,Dhaalu
Dh,Kudahuvadhoo,Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,Dhaalu
Dh,Maaeboodhoo,Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,Dhaalu
Dh,Meedhoo,Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,Dhaalu
Dh,Ribudhoo,Dhaal Atoll,Nilandhe Atholhu Dhekunuburi,Dhaalu
F,Biledhdhoo,Faafu Atoll,Nilandhe Atholhu Uthuruburi,Faafu
F,Dharaboodhoo,Faafu Atoll,Nilandhe Atholhu Uthuruburi,Faafu
F,Feeali,Faafu Atoll,Nilandhe Atholhu Uthuruburi,Faafu
F,Magoodhoo,Faafu Atoll,Nilandhe Atholhu Uthuruburi,Faafu
F,Nilandhoo,Faafu Atoll,Nilandhe Atholhu Uthuruburi,Faafu
GA,Dhaandhoo,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Dhevvadhoo,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Gemanafushi,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Kanduhulhudhoo,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Kodey,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Kolamaafushi,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Maamendhoo,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Nilandhoo,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GA,Viligili,Gaaf Alif Atoll,Huvadhu Atholhu Uthuruburi,Gaafu Alif
GDh,Fares-Maathodaa,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Fiyoari,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Gadhdhoo,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Hoadedhdhoo,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Madaveli,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Nadallaa,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Rathafandhoo,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Thinadhoo,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
GDh,Vaadhoo,Gaaf Dhaal Atoll,Huvadhu Atholhu Dhekunuburi,Gaafu Dhaalu
Gn,Fuvahmulah,Gnaviyani Atoll,Fuvahmulah,Gnaviyani
HA,Baarah,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Dhidhdhoo,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
HA,Filladhoo,Haa Alif Atoll,Thiladhunmathee Uthuruburi,Haa Alifu
