dataset,indicator,island,atoll_official,atoll_local_names,sort1,value,sort_order,administration,population,min,max,normalized_value,administration_level,range01
Population,Population,Baarah,Haa Alif Atoll,Haa Alif (HA),1,1141,1,Administrative Islands,Resident Population,0,52482,4.151535646392101,admin3,0.020322100522840895
Population,Population,Dhidhdhoo,Haa Alif Atoll,Haa Alif (HA),1,3412,1,Administrative Islands,Resident Population,0,52482,12.368438443408245,admin3,0.06365683318703966
Population,Population,Filladhoo,Haa Alif Atoll,Haa Alif (HA),1,559,1,Administrative Islands,Resident Population,0,52482,2.0457507816349914,admin3,0.009216501927260238
Population,Population,Hoarafushi,Haa Alif Atoll,Haa Alif (HA),1,1841,1,Administrative Islands,Resident Population,0,52482,6.684266583385188,admin3,0.03367934969278327
Population,Population,Ihavandhoo,Haa Alif Atoll,Haa Alif (HA),1,2873,1,Administrative Islands,Resident Population,0,52482,10.418235621923568,admin3,0.053371751326184026
Population,Population,Kelaa,Haa Alif Atoll,Haa Alif (HA),1,1115,1,Administrative Islands,Resident Population,0,52482,4.057462783018072,admin3,0.01982597412510018
Population,Population,Maarandhoo,Haa Alif Atoll,Haa Alif (HA),1,668,1,Administrative Islands,Resident Population,0,52482,2.4401331703953435,admin3,0.011296416440865549
Population,Population,Mulhadhoo,Haa Alif Atoll,Haa Alif (HA),1,286,1,Administrative Islands,Resident Population,0,52482,1.0579857162076873,admin3,0.004007174750982712
Population,Population,Muraidhoo,Haa Alif Atoll,Haa Alif (HA),1,534,1,Administrative Islands,Resident Population,0,52482,1.9552961053138096,admin3,0.008739457314048009
Population,Population,Thakandhoo,Haa Alif Atoll,Haa Alif (HA),1,279,1,Administrative Islands,Resident Population,0,52482,1.0326584068377562,admin3,0.0038736022592832883
Population,Population,Thurakunu,Haa Alif Atoll,Haa Alif (HA),1,427,1,Administrative Islands,Resident Population,0,52482,1.568150090659152,admin3,0.006697706369499676
Population,Population,Uligamu,Haa Alif Atoll,Haa Alif (HA),1,400,1,Administrative Islands,Resident Population,0,52482,1.4704590402322757,admin3,0.00618249818723047
Population,Population,Utheemu,Haa Alif Atoll,Haa Alif (HA),1,612,1,Administrative Islands,Resident Population,0,52482,2.2375146954358964,admin3,0.01022783650727016
Population,Population,Vashafaru,Haa Alif Atoll,Haa Alif (HA),1,476,1,Administrative Islands,Resident Population,0,52482,1.7454412562486679,admin3,0.007632713811395642
Population,Population,Finey,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,409,2,Administrative Islands,Resident Population,0,52482,1.503022723707901,admin3,0.006354234247986872
Population,Population,Hanimaadhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,2664,2,Administrative Islands,Resident Population,0,52482,9.66203452787849,admin3,0.049383658359729805
Population,Population,Hirimaradhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,293,2,Administrative Islands,Resident Population,0,52482,1.0833130255776182,admin3,0.004140747242682136
Population,Population,Kulhudhuffushi,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,10131,2,Administrative Islands,Resident Population,0,52482,36.67903725148904,admin3,0.19186734343395795
Population,Population,Kumundhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,997,2,Administrative Islands,Resident Population,0,52482,3.6305167107820946,admin3,0.017574323550738465
Population,Population,Kuribi,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,492,2,Administrative Islands,Resident Population,0,52482,1.8033322490942245,admin3,0.007938022363851467
Population,Population,Makunudhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,1265,2,Administrative Islands,Resident Population,0,52482,4.600190840945162,admin3,0.022688241804373545
Population,Population,Naivaadhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,495,2,Administrative Islands,Resident Population,0,52482,1.814186810252766,admin3,0.007995267717436935
