atoll_official_name,% below poverty line,% of poor persons nationally,Combined rate of unemployment and potential labour force (%),Employment-to-population ratio (%),Inactivity rate (%),Labour force participation rate (%),NEET rate (15-24 years) (%),NEET rate (18-35 years) (%),Unemployment rate (%),Population,Sex Ratio (males per 100 female),Reported Crimes per 100k
Thiladhunmathee Uthuruburi,12.5,9.3,14.64521414544,60.67637930115782,37.04145219673647,62.95854780326344,23.76255733219895,5.823625032418598,3.707262759574743,29934,1323.851014049624,146.99004476515
Thiladhunmathee Dhekunuburi,12.9,13.7,15.865068452822,60.52918448137662,36.83216372481564,63.16783627518426,24.28760159377459,7.220000388033238,4.288076207649903,45285,1159.102568124661,251.7389864193442
Miladhunmadulu Uthuruburi,5.6,4.2,16.7042864598403,60.3630872721349,36.89742905338107,63.10257094661887,22.67132347852711,6.568888201665414,4.420251559794207,28352,1284.828364939478,98.75846501128669
Maalhosmadulu Uthuruburi,18.9,15.4,15.68492153404867,62.5123328540551,34.82426413658727,65.17573586341264,24.07694859716728,6.70394706503195,4.175189551274229,40834,1523.280583631383,146.9363765489543
Maalhosmadulu Dhekunuburi,1.7,0.9,12.96669260353297,69.83621466193547,27.20765843860405,72.79234156139586,21.06798768200454,5.624086897624854,4.179403653925558,27799,1372.076666202119,219.4323536817871
Faadhippolhu,2.1,0.8,17.43638703456471,60.5614389679405,36.58091955798236,63.41908044201756,24.43396833206568,6.326189787418932,4.63564412427827,22264,459.2364017639546,170.6791232482932
Malé Atholhu,8.8,4.9,10.43806912204993,71.38206569756987,26.08104459685637,73.91895540314354,19.10563699748488,5.00985650810455,3.640353016570426,60996,1374.186634358911,170.5029838022165
Greater Male Region,0.9,7.8,8.001281136717669,73.03818170260227,24.30926774579435,75.69073225420566,13.44399677679291,3.595336156389581,3.504458832152455,211908,98.1237322515213,876.7955905392905
Ari Atholhu Uthuruburi,14.2,4.6,9.236134423278493,71.98841416387948,25.85546381980518,74.14453618019473,20.6702408388783,5.487127947152891,2.896582320572158,18965,950.5556106299575,205.6419720537833
Ari Atholhu Dhekunuburi,3.1,1.3,11.30565044362677,72.56686570358174,25.52072191076885,74.47927808923106,22.69600963130942,4.857701075271937,2.549124171295465,26361,1116.667892251776,242.7828989795532
Felidhe Atholhu,2.8,0.2,7.778694265797284,79.89467292175826,18.10971654373459,81.89028345626531,13.08880775707038,2.557712031744521,2.499585767095637,4732,874.8783318755112,84.53085376162299
Nilandhe Atholhu Uthuruburi,7.1,1.7,15.21053957599236,64.28175453943317,33.42936765166873,66.57063234833117,21.37283266964842,6.06623015689143,3.504690239641573,9992,556.9567376249081,160.1281024819856
Nilandhe Atholhu Dhekunuburi,2.7,1,11.90323938581342,70.77824220944593,26.57458740495177,73.42541259504813,18.98175287028029,5.342145576628767,3.659052161022927,16314,686.7433842012387,343.2634547014834
Kolhumadulu Atholhu,14.4,7.9,12.7587048308106,66.99701001027776,30.42508896063854,69.57491103936137,22.91948435062391,5.914339794699889,3.725097426629261,20797,1337.129348112362,100.9761023224504
Hadhdhummathi Atholhu,7.8,4.9,18.1887524798596,61.81832410998128,34.28267269391976,65.71732730608014,27.8505785956506,8.420453043610491,5.880873479619119,29492,1136.411773513412,145.8022514580225
Huvadhu Atholhu Uthuruburi,9.6,4.4,13.00121165442175,64.38571975701589,32.70266329811528,67.29733670188462,27.48367718699835,7.294680311659378,4.300220182455898,20780,1038.304984417255,230.9913378248316
Huvadhu Atholhu Dhekunuburi,15.6,11.2,17.50670494594152,58.69041625999591,38.56854532644334,61.43145467355657,27.83418053423734,8.30709180159205,4.606177232265933,26188,1000.401328548345,206.2013135787384
Addu Atholhu,5.7,5.9,16.73003998264477,57.50665005842311,37.88845622755666,62.11154377244326,23.62891983668097,7.484751061847579,7.423943090664547,51980,646.7758857690019,257.7914582531743
