area_of_origin,area_of_destination,year,sex,migrants,origin_iso,destination_iso,origin_population,destination_population
Afghanistan,Argentina,2000,female,17,AFG,ARG,19542982,37070774
Afghanistan,Argentina,2000,male,3,AFG,ARG,19542982,37070774
Afghanistan,Argentina,2005,female,13,AFG,ARG,24411191,39070501
Afghanistan,Argentina,2005,male,3,AFG,ARG,24411191,39070501
Afghanistan,Argentina,2010,female,7,AFG,ARG,28189672,40788453
Afghanistan,Argentina,2010,male,2,AFG,ARG,28189672,40788453
Afghanistan,Argentina,2015,female,7,AFG,ARG,33753499,43131966
Afghanistan,Argentina,2015,male,2,AFG,ARG,33753499,43131966
Afghanistan,Argentina,2020,female,7,AFG,ARG,38972230,45376763
Afghanistan,Argentina,2020,male,2,AFG,ARG,38972230,45376763
Afghanistan,Australia,2000,female,5250,AFG,AUS,19542982,19028802
Afghanistan,Australia,2000,male,7330,AFG,AUS,19542982,19028802
Afghanistan,Australia,2005,female,8021,AFG,AUS,24411191,20176844
Afghanistan,Australia,2005,male,10596,AFG,AUS,24411191,20176844
Afghanistan,Australia,2010,female,13967,AFG,AUS,28189672,22031750
Afghanistan,Australia,2010,male,16873,AFG,AUS,28189672,22031750
Afghanistan,Australia,2015,female,20963,AFG,AUS,33753499,23815995
Afghanistan,Australia,2015,male,28587,AFG,AUS,33753499,23815995
Afghanistan,Australia,2020,female,23587,AFG,AUS,38972230,25649248
Afghanistan,Australia,2020,male,37292,AFG,AUS,38972230,25649248
Afghanistan,Austria,2000,female,1896,AFG,AUT,19542982,8011566
Afghanistan,Austria,2000,male,4070,AFG,AUT,19542982,8011566
Afghanistan,Austria,2005,female,2153,AFG,AUT,24411191,8227829
Afghanistan,Austria,2005,male,4461,AFG,AUT,24411191,8227829
Afghanistan,Austria,2010,female,3338,AFG,AUT,28189672,8363404
Afghanistan,Austria,2010,male,6717,AFG,AUT,28189672,8363404
Afghanistan,Austria,2015,female,13239,AFG,AUT,33753499,8642699
Afghanistan,Austria,2015,male,28486,AFG,AUT,33753499,8642699
Afghanistan,Austria,2020,female,15255,AFG,AUT,38972230,8916864
Afghanistan,Austria,2020,male,32347,AFG,AUT,38972230,8916864
Afghanistan,Azerbaijan,2000,female,67,AFG,AZE,19542982,8048600
Afghanistan,Azerbaijan,2000,male,157,AFG,AZE,19542982,8048600
Afghanistan,Azerbaijan,2005,female,65,AFG,AZE,24411191,8391850
Afghanistan,Azerbaijan,2005,male,148,AFG,AZE,24411191,8391850
Afghanistan,Azerbaijan,2010,female,57,AFG,AZE,28189672,9054332
Afghanistan,Azerbaijan,2010,male,138,AFG,AZE,28189672,9054332
Afghanistan,Azerbaijan,2015,female,54,AFG,AZE,33753499,9649341
Afghanistan,Azerbaijan,2015,male,132,AFG,AZE,33753499,9649341
Afghanistan,Azerbaijan,2020,female,50,AFG,AZE,38972230,10093121
Afghanistan,Azerbaijan,2020,male,126,AFG,AZE,38972230,10093121
Afghanistan,Bahrain,2000,female,80,AFG,BHR,19542982,711442
Afghanistan,Bahrain,2000,male,178,AFG,BHR,19542982,711442
Afghanistan,Bahrain,2005,female,125,AFG,BHR,24411191,901921
Afghanistan,Bahrain,2005,male,267,AFG,BHR,24411191,901921
Afghanistan,Bahrain,2010,female,199,AFG,BHR,28189672,1213645
Afghanistan,Bahrain,2010,male,414,AFG,BHR,28189672,1213645
Afghanistan,Bahrain,2015,female,207,AFG,BHR,33753499,1362142
Afghanistan,Bahrain,2015,male,457,AFG,BHR,33753499,1362142
Afghanistan,Bahrain,2020,female,259,AFG,BHR,38972230,1477469
Afghanistan,Bahrain,2020,male,601,AFG,BHR,38972230,1477469
Afghanistan,Belarus,2000,female,93,AFG,BLR,19542982,9979610
Afghanistan,Belarus,2000,male,199,AFG,BLR,19542982,9979610
Afghanistan,Belarus,2005,female,89,AFG,BLR,24411191,9663915
Afghanistan,Belarus,2005,male,192,AFG,BLR,24411191,9663915
Afghanistan,Belarus,2010,female,85,AFG,BLR,28189672,9483836
Afghanistan,Belarus,2010,male,185,AFG,BLR,28189672,9483836
Afghanistan,Belarus,2015,female,90,AFG,BLR,33753499,9461076
Afghanistan,Belarus,2015,male,192,AFG,BLR,33753499,9461076
Afghanistan,Belarus,2020,female,87,AFG,BLR,38972230,9379952
Afghanistan,Belarus,2020,male,190,AFG,BLR,38972230,9379952
Afghanistan,Belgium,2000,female,29,AFG,BEL,19542982,10251250
Afghanistan,Belgium,2000,male,31,AFG,BEL,19542982,10251250
Afghanistan,Belgium,2005,female,957,AFG,BEL,24411191,10478617
Afghanistan,Belgium,2005,male,1522,AFG,BEL,24411191,10478617
Afghanistan,Belgium,2010,female,1676,AFG,BEL,28189672,10895586
Afghanistan,Belgium,2010,male,2566,AFG,BEL,28189672,10895586
Afghanistan,Belgium,2015,female,3869,AFG,BEL,33753499,11274196
Afghanistan,Belgium,2015,male,8950,AFG,BEL,33753499,11274196
Afghanistan,Belgium,2020,female,7221,AFG,BEL,38972230,11538604
Afghanistan,Belgium,2020,male,17449,AFG,BEL,38972230,11538604
Afghanistan,Bolivia (Plurinational State of),2005,male,1,AFG,BOL,24411191,9377388
