area_of_origin,area_of_destination,year,sex,migrants,origin_iso,destination_iso,origin_population_2020,destination_population_2020
Afghanistan,Argentina,2020,female,7,AFG,ARG,38972230,45376763
Afghanistan,Argentina,2020,male,2,AFG,ARG,38972230,45376763
Afghanistan,Australia,2020,female,23587,AFG,AUS,38972230,25649248
Afghanistan,Australia,2020,male,37292,AFG,AUS,38972230,25649248
Afghanistan,Austria,2020,female,15255,AFG,AUT,38972230,8916864
Afghanistan,Austria,2020,male,32347,AFG,AUT,38972230,8916864
Afghanistan,Azerbaijan,2020,female,50,AFG,AZE,38972230,10093121
Afghanistan,Azerbaijan,2020,male,126,AFG,AZE,38972230,10093121
Afghanistan,Bahrain,2020,female,259,AFG,BHR,38972230,1477469
Afghanistan,Bahrain,2020,male,601,AFG,BHR,38972230,1477469
Afghanistan,Belarus,2020,female,87,AFG,BLR,38972230,9379952
Afghanistan,Belarus,2020,male,190,AFG,BLR,38972230,9379952
Afghanistan,Belgium,2020,female,7221,AFG,BEL,38972230,11538604
Afghanistan,Belgium,2020,male,17449,AFG,BEL,38972230,11538604
Afghanistan,Bolivia (Plurinational State of),2020,male,1,AFG,BOL,38972230,11936162
Afghanistan,Brazil,2020,female,25,AFG,BRA,38972230,213196304
Afghanistan,Brazil,2020,male,48,AFG,BRA,38972230,213196304
Afghanistan,Bulgaria,2020,female,128,AFG,BGR,38972230,6934015
Afghanistan,Bulgaria,2020,male,298,AFG,BGR,38972230,6934015
Afghanistan,Canada,2020,female,27935,AFG,CAN,38972230,38028638
Afghanistan,Canada,2020,male,28019,AFG,CAN,38972230,38028638
Afghanistan,Costa Rica,2020,female,3,AFG,CRI,38972230,5123105
Afghanistan,Costa Rica,2020,male,1,AFG,CRI,38972230,5123105
Afghanistan,Cyprus,2020,male,6,AFG,CYP,38972230,1237537
Afghanistan,Czechia,2020,female,151,AFG,CZE,38972230,10697858
Afghanistan,Czechia,2020,male,333,AFG,CZE,38972230,10697858
Afghanistan,Denmark,2020,female,6119,AFG,DNK,38972230,5831404
Afghanistan,Denmark,2020,male,7596,AFG,DNK,38972230,5831404
Afghanistan,Ecuador,2020,female,71,AFG,ECU,38972230,17588595
Afghanistan,Ecuador,2020,male,96,AFG,ECU,38972230,17588595
Afghanistan,Egypt,2020,female,46,AFG,EGY,38972230,107465134
Afghanistan,Egypt,2020,male,164,AFG,EGY,38972230,107465134
Afghanistan,Estonia,2020,female,19,AFG,EST,38972230,1329522
Afghanistan,Estonia,2020,male,46,AFG,EST,38972230,1329522
Afghanistan,Finland,2020,female,2702,AFG,FIN,38972230,5529543
Afghanistan,Finland,2020,male,4317,AFG,FIN,38972230,5529543
Afghanistan,France,2020,female,18061,AFG,FRA,38972230,67571107
Afghanistan,France,2020,male,17287,AFG,FRA,38972230,67571107
Afghanistan,Georgia,2020,female,17,AFG,GEO,38972230,3722716
Afghanistan,Georgia,2020,male,23,AFG,GEO,38972230,3722716
Afghanistan,Germany,2020,female,96625,AFG,DEU,38972230,83160871
Afghanistan,Germany,2020,male,153819,AFG,DEU,38972230,83160871
