area_of_origin,area_of_destination,sex,migrants_1990,migrants_1995,migrants_2000,migrants_2005,migrants_2010,migrants_2015,migrants_2020,origin_iso,destination_iso,origin_population_2000,origin_population_2010,origin_population_2015,origin_population_2020,destination_population_2000,destination_population_2010,destination_population_2015,destination_population_2020
Afghanistan,Australia,female,1274,3375,5250,8021,13967,20963,23587,AFG,AUS,19542982,28189672,33753499,38972230,19028802,22031750,23815995,25649248
Afghanistan,Australia,male,1455,4518,7330,10596,16873,28587,37292,AFG,AUS,19542982,28189672,33753499,38972230,19028802,22031750,23815995,25649248
Afghanistan,Austria,female,1554,1725,1896,2153,3338,13239,15255,AFG,AUT,19542982,28189672,33753499,38972230,8011566,8363404,8642699,8916864
Afghanistan,Austria,male,3194,3632,4070,4461,6717,28486,32347,AFG,AUT,19542982,28189672,33753499,38972230,8011566,8363404,8642699,8916864
Afghanistan,Azerbaijan,male,175,158,157,148,138,132,126,AFG,AZE,19542982,28189672,33753499,38972230,8048600,9054332,9649341,10093121
Afghanistan,Bahrain,female,61,69,80,125,199,207,259,AFG,BHR,19542982,28189672,33753499,38972230,711442,1213645,1362142,1477469
Afghanistan,Bahrain,male,154,167,178,267,414,457,601,AFG,BHR,19542982,28189672,33753499,38972230,711442,1213645,1362142,1477469
Afghanistan,Belarus,male,106,152,199,192,185,192,190,AFG,BLR,19542982,28189672,33753499,38972230,9979610,9483836,9461076,9379952
Afghanistan,Belgium,female,47,39,29,957,1676,3869,7221,AFG,BEL,19542982,28189672,33753499,38972230,10251250,10895586,11274196,11538604
Afghanistan,Belgium,male,46,40,31,1522,2566,8950,17449,AFG,BEL,19542982,28189672,33753499,38972230,10251250,10895586,11274196,11538604
Afghanistan,Bulgaria,female,77,70,62,553,505,875,128,AFG,BGR,19542982,28189672,33753499,38972230,8170172,7395599,7177991,6934015
Afghanistan,Bulgaria,male,145,153,161,1767,1945,2563,298,AFG,BGR,19542982,28189672,33753499,38972230,8170172,7395599,7177991,6934015
Afghanistan,Canada,female,2731,7069,11573,15466,20258,25782,27935,AFG,CAN,19542982,28189672,33753499,38972230,30685730,34005902,35704498,38028638
Afghanistan,Canada,male,2590,6608,10786,15252,20687,25859,28019,AFG,CAN,19542982,28189672,33753499,38972230,30685730,34005902,35704498,38028638
Afghanistan,Czechia,female,14,20,26,79,121,150,151,AFG,CZE,19542982,28189672,33753499,38972230,10255063,10474410,10546059,10697858
Afghanistan,Czechia,male,37,57,77,142,196,268,333,AFG,CZE,19542982,28189672,33753499,38972230,10255063,10474410,10546059,10697858
Afghanistan,Denmark,female,142,745,1347,3047,4531,5476,6119,AFG,DNK,19542982,28189672,33753499,38972230,5339616,5547683,5683483,5831404
Afghanistan,Denmark,male,212,903,1594,3562,5286,6817,7596,AFG,DNK,19542982,28189672,33753499,38972230,5339616,5547683,5683483,5831404
Afghanistan,Egypt,male,194,150,117,142,152,108,164,AFG,EGY,19542982,28189672,33753499,38972230,71371371,87252413,97723799,107465134
Afghanistan,Finland,male,4,72,141,891,1281,2521,4317,AFG,FIN,19542982,28189672,33753499,38972230,5176209,5363352,5479531,5529543
Afghanistan,Finland,female,0,72,143,713,1061,2102,2702,AFG,FIN,19542982,28189672,33753499,38972230,5176209,5363352,5479531,5529543
Afghanistan,France,female,1437,1509,1580,1463,2025,3335,18061,AFG,FRA,19542982,28189672,33753499,38972230,60921384,65030575,66548272,67571107
Afghanistan,France,male,1909,1946,1983,1946,2445,3175,17287,AFG,FRA,19542982,28189672,33753499,38972230,60921384,65030575,66548272,67571107
Afghanistan,Germany,female,12037,22250,32463,34082,35245,36386,96625,AFG,DEU,19542982,28189672,33753499,38972230,82211508,81776930,81686611,83160871
Afghanistan,Germany,male,21242,29287,37331,41742,45003,45975,153819,AFG,DEU,19542982,28189672,33753499,38972230,82211508,81776930,81686611,83160871
Afghanistan,Greece,female,119,84,52,660,1317,2975,22458,AFG,GRC,19542982,28189672,33753499,38972230,10805808,11121341,10820883,10698599
Afghanistan,Greece,male,502,388,279,2741,5387,2835,22835,AFG,GRC,19542982,28189672,33753499,38972230,10805808,11121341,10820883,10698599
Afghanistan,Hungary,female,152,179,206,911,686,2809,553,AFG,HUN,19542982,28189672,33753499,38972230,10210971,10000023,9843028,9750149
Afghanistan,Hungary,male,122,224,326,1474,1135,6602,1263,AFG,HUN,19542982,28189672,33753499,38972230,10210971,10000023,9843028,9750149
Afghanistan,India,female,6900,9598,6201,7581,9342,8869,8121,AFG,IND,19542982,28189672,33753499,38972230,1059633675,1240613620,1322866505,1396387127
Afghanistan,India,male,7259,10318,6593,8211,8743,7982,7973,AFG,IND,19542982,28189672,33753499,38972230,1059633675,1240613620,1322866505,1396387127
Afghanistan,Iran,female,1770639,1188750,999992,1071112,1160829,1191658,1239126,AFG,IRN,19542982,28189672,33753499,38972230,65544383,75373855,81790841,87290193
Afghanistan,Iran,male,2209668,1471768,1232291,1305236,1411729,1429578,1471475,AFG,IRN,19542982,28189672,33753499,38972230,65544383,75373855,81790841,87290193
Afghanistan,Iraq,female,81,170,201,170,164,134,144,AFG,IRQ,19542982,28189672,33753499,38972230,24628858,31264875,37757813,42556984
Afghanistan,Iraq,male,160,114,68,143,156,178,170,AFG,IRQ,19542982,28189672,33753499,38972230,24628858,31264875,37757813,42556984
Afghanistan,Ireland,male,24,64,140,142,117,119,137,AFG,IRL,19542982,28189672,33753499,38972230,3805174,4560155,4701957,4985382
Afghanistan,Israel,female,1442,1514,1485,1375,1284,1331,1291,AFG,ISR,19542982,28189672,33753499,38972230,6289000,7623600,8380100,9215100
Afghanistan,Israel,male,1282,1322,1305,1235,1178,1208,1173,AFG,ISR,19542982,28189672,33753499,38972230,6289000,7623600,8380100,9215100
Afghanistan,Italy,female,60,49,37,220,341,908,1502,AFG,ITA,19542982,28189672,33753499,38972230,56942108,59277417,60730582,59438851
Afghanistan,Italy,male,211,187,164,3164,5208,13985,17187,AFG,ITA,19542982,28189672,33753499,38972230,56942108,59277417,60730582,59438851
