country,year,status,sub_indicator,score,sub_indicator_text,sub_index_group
Bangladesh,2023,PF,a1,3,Infrastructural limitations,A. Obstructions to access
Bangladesh,2023,PF,a2,1,Internet accesibility,A. Obstructions to access
Bangladesh,2023,PF,a3,3,Government restrictions,A. Obstructions to access
Bangladesh,2023,PF,a4,4,Service provider diversity,A. Obstructions to access
Bangladesh,2023,PF,a5,1,Regulatory failure,A. Obstructions to access
Bangladesh,2023,PF,a_obstacles_to_access,12,a_obstacles_to_access,aggregation
Bangladesh,2023,PF,b1,3,Blocked content,B. Limits on content
Bangladesh,2023,PF,b2,2,Forced content deletion,B. Limits on content
Bangladesh,2023,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Bangladesh,2023,PF,b4,1,Self-censorship,B. Limits on content
Bangladesh,2023,PF,b5,2,Information control and manipulation,B. Limits on content
Bangladesh,2023,PF,b6,2,Constraints on publishing,B. Limits on content
Bangladesh,2023,PF,b7,3,Lack diversity and reliability,B. Limits on content
Bangladesh,2023,PF,b8,4,Constraints on communities,B. Limits on content
Bangladesh,2023,PF,b_limits_on_content,18,b_limits_on_content,aggregation
Bangladesh,2023,PF,c1,2,Legal protections,C. Violation of user rights
Bangladesh,2023,PF,c2,0,Criminalised online activities,C. Violation of user rights
Bangladesh,2023,PF,c3,2,Individuals penalised,C. Violation of user rights
Bangladesh,2023,PF,c4,2,Restricted anonymous communication,C. Violation of user rights
Bangladesh,2023,PF,c5,1,State infringement of privacy,C. Violation of user rights
Bangladesh,2023,PF,c6,2,Data monitoring and retention,C. Violation of user rights
Bangladesh,2023,PF,c7,1,Extralegal intimidation,C. Violation of user rights
Bangladesh,2023,PF,c8,1,Cyberattacks,C. Violation of user rights
Bangladesh,2023,PF,c_violations_of_user_rights,11,c_violations_of_user_rights,aggregation
Bangladesh,2023,PF,total_country_score,41,total_country_score,aggregation
Bangladesh,2022,PF,a1,3,Infrastructural limitations,A. Obstructions to access
Bangladesh,2022,PF,a2,1,Internet accesibility,A. Obstructions to access
Bangladesh,2022,PF,a3,3,Government restrictions,A. Obstructions to access
Bangladesh,2022,PF,a4,5,Service provider diversity,A. Obstructions to access
Bangladesh,2022,PF,a5,1,Regulatory failure,A. Obstructions to access
Bangladesh,2022,PF,a_obstacles_to_access,13,a_obstacles_to_access,aggregation
Bangladesh,2022,PF,b1,3,Blocked content,B. Limits on content
Bangladesh,2022,PF,b2,2,Forced content deletion,B. Limits on content
Bangladesh,2022,PF,b3,1,"Opaque, unacccountable procedures",B. Limits on content
Bangladesh,2022,PF,b4,1,Self-censorship,B. Limits on content
Bangladesh,2022,PF,b5,2,Information control and manipulation,B. Limits on content
Bangladesh,2022,PF,b6,2,Constraints on publishing,B. Limits on content
