country,year,status,country_iso,freedom_status,sub_indicator,score,sub_indicator_text,sub_index_group
Bangladesh,2023,PF,BGD,Partly free,a1,3,Infrastructural limitations,Obstructions to access
Bangladesh,2023,PF,BGD,Partly free,a2,1,Internet accesibility,Obstructions to access
Bangladesh,2023,PF,BGD,Partly free,a3,3,Government restrictions,Obstructions to access
Bangladesh,2023,PF,BGD,Partly free,a4,4,Service provider diversity,Obstructions to access
Bangladesh,2023,PF,BGD,Partly free,a5,1,Regulatory failure,Obstructions to access
Bangladesh,2023,PF,BGD,Partly free,a_obstacles_to_access,12,Obstacles to access,aggregation
Bangladesh,2023,PF,BGD,Partly free,b1,3,Blocked content,Limits on content
Bangladesh,2023,PF,BGD,Partly free,b2,2,Forced content deletion,Limits on content
Bangladesh,2023,PF,BGD,Partly free,b3,1,"Opaque, unacccountable procedures",Limits on content
Bangladesh,2023,PF,BGD,Partly free,b4,1,Self-censorship,Limits on content
Bangladesh,2023,PF,BGD,Partly free,b5,2,Information control and manipulation,Limits on content
Bangladesh,2023,PF,BGD,Partly free,b6,2,Constraints on publishing,Limits on content
Bangladesh,2023,PF,BGD,Partly free,b7,3,Lack diversity and reliability,Limits on content
Bangladesh,2023,PF,BGD,Partly free,b8,4,Constraints on communities,Limits on content
Bangladesh,2023,PF,BGD,Partly free,b_limits_on_content,18,Limits on content,aggregation
Bangladesh,2023,PF,BGD,Partly free,c1,2,Legal protections,Violation of user rights
Bangladesh,2023,PF,BGD,Partly free,c2,0,Criminalised online activities,Violation of user rights
Bangladesh,2023,PF,BGD,Partly free,c3,2,Individuals penalised,Violation of user rights
Bangladesh,2023,PF,BGD,Partly free,c4,2,Restricted anonymous communication,Violation of user rights
Bangladesh,2023,PF,BGD,Partly free,c5,1,State infringement of privacy,Violation of user rights
Bangladesh,2023,PF,BGD,Partly free,c6,2,Data monitoring and retention,Violation of user rights
Bangladesh,2023,PF,BGD,Partly free,c7,1,Extralegal intimidation,Violation of user rights
Bangladesh,2023,PF,BGD,Partly free,c8,1,Cyberattacks,Violation of user rights
Bangladesh,2023,PF,BGD,Partly free,c_violations_of_user_rights,11,Violations of user rights,aggregation
Bangladesh,2023,PF,BGD,Partly free,total_country_score,41,Country Score,aggregation
Bangladesh,2022,PF,BGD,Partly free,a1,3,Infrastructural limitations,Obstructions to access
Bangladesh,2022,PF,BGD,Partly free,a2,1,Internet accesibility,Obstructions to access
Bangladesh,2022,PF,BGD,Partly free,a3,3,Government restrictions,Obstructions to access
Bangladesh,2022,PF,BGD,Partly free,a4,5,Service provider diversity,Obstructions to access
Bangladesh,2022,PF,BGD,Partly free,a5,1,Regulatory failure,Obstructions to access
Bangladesh,2022,PF,BGD,Partly free,a_obstacles_to_access,13,Obstacles to access,aggregation
Bangladesh,2022,PF,BGD,Partly free,b1,3,Blocked content,Limits on content
Bangladesh,2022,PF,BGD,Partly free,b2,2,Forced content deletion,Limits on content
Bangladesh,2022,PF,BGD,Partly free,b3,1,"Opaque, unacccountable procedures",Limits on content
Bangladesh,2022,PF,BGD,Partly free,b4,1,Self-censorship,Limits on content
Bangladesh,2022,PF,BGD,Partly free,b5,2,Information control and manipulation,Limits on content
Bangladesh,2022,PF,BGD,Partly free,b6,2,Constraints on publishing,Limits on content
Bangladesh,2022,PF,BGD,Partly free,b7,3,Lack diversity and reliability,Limits on content
Bangladesh,2022,PF,BGD,Partly free,b8,4,Constraints on communities,Limits on content
Bangladesh,2022,PF,BGD,Partly free,b_limits_on_content,18,Limits on content,aggregation
Bangladesh,2022,PF,BGD,Partly free,c1,2,Legal protections,Violation of user rights
Bangladesh,2022,PF,BGD,Partly free,c2,0,Criminalised online activities,Violation of user rights
Bangladesh,2022,PF,BGD,Partly free,c3,2,Individuals penalised,Violation of user rights
Bangladesh,2022,PF,BGD,Partly free,c4,2,Restricted anonymous communication,Violation of user rights
Bangladesh,2022,PF,BGD,Partly free,c5,1,State infringement of privacy,Violation of user rights
Bangladesh,2022,PF,BGD,Partly free,c6,2,Data monitoring and retention,Violation of user rights
Bangladesh,2022,PF,BGD,Partly free,c7,2,Extralegal intimidation,Violation of user rights
Bangladesh,2022,PF,BGD,Partly free,c8,1,Cyberattacks,Violation of user rights
Bangladesh,2022,PF,BGD,Partly free,c_violations_of_user_rights,12,Violations of user rights,aggregation
Bangladesh,2022,PF,BGD,Partly free,total_country_score,43,Country Score,aggregation
Bangladesh,2021,PF,BGD,Partly free,a1,2,Infrastructural limitations,Obstructions to access
Bangladesh,2021,PF,BGD,Partly free,a2,1,Internet accesibility,Obstructions to access
