country,year,population
Afghanistan,2014,33753499
Afghanistan,2015,33753499
Afghanistan,2016,34636207
Afghanistan,2017,35643418
Afghanistan,2018,36686784
Afghanistan,2019,37769499
Afghanistan,2020,38972230
Afghanistan,2021,40099462
Afghanistan,2022,41128771
Afghanistan,2023,41128771
Bangladesh,2014,157830000
Bangladesh,2015,157830000
Bangladesh,2016,159784568
Bangladesh,2017,161793964
Bangladesh,2018,163683958
Bangladesh,2019,165516222
Bangladesh,2020,167420951
Bangladesh,2021,169356251
Bangladesh,2022,171186372
Bangladesh,2023,171186372
Bhutan,2014,743274
Bhutan,2015,743274
Bhutan,2016,749761
Bhutan,2017,756121
Bhutan,2018,762096
Bhutan,2019,767459
Bhutan,2020,772506
Bhutan,2021,777486
Bhutan,2022,782455
Bhutan,2023,782455
Cambodia,2014,15417523
Cambodia,2015,15417523
Cambodia,2016,15624584
Cambodia,2017,15830689
Cambodia,2018,16025238
Cambodia,2019,16207746
Cambodia,2020,16396860
Cambodia,2021,16589023
Cambodia,2022,16767842
Cambodia,2023,16767842
China,2014,1379860000
China,2015,1379860000
China,2016,1387790000
China,2017,1396215000
China,2018,1402760000
China,2019,1407745000
China,2020,1411100000
China,2021,1412360000
China,2022,1412175000
China,2023,1412175000
Fiji,2014,917200
Fiji,2015,917200
Fiji,2016,918371
Fiji,2017,919019
Fiji,2018,918996
Fiji,2019,918465
Fiji,2020,920422
Fiji,2021,924610
Fiji,2022,929766
Fiji,2023,929766
Hong Kong,2014,7291300
Hong Kong,2015,7291300
Hong Kong,2016,7336600
Hong Kong,2017,7393200
Hong Kong,2018,7452600
Hong Kong,2019,7507900
Hong Kong,2020,7481000
Hong Kong,2021,7413100
Hong Kong,2022,7346100
Hong Kong,2023,7346100
India,2014,1322866505
India,2015,1322866505
India,2016,1338636340
India,2017,1354195680
India,2018,1369003306
India,2019,1383112050
India,2020,1396387127
India,2021,1407563842
India,2022,1417173173
India,2023,1417173173
Indonesia,2014,259091970
Indonesia,2015,259091970
Indonesia,2016,261850182
Indonesia,2017,264498852
Indonesia,2018,267066843
Indonesia,2019,269582878
Indonesia,2020,271857970
Indonesia,2021,273753191
Indonesia,2022,275501339
Indonesia,2023,275501339
Iran,2014,81790841
Iran,2015,81790841
Iran,2016,83306231
Iran,2017,84505076
Iran,2018,85617562
Iran,2019,86564202
Iran,2020,87290193
Iran,2021,87923432
Iran,2022,88550570
Iran,2023,88550570
Laos,2014,6787419
Laos,2015,6787419
Laos,2016,6891363
Laos,2017,6997917
Laos,2018,7105006
Laos,2019,7212053
Laos,2020,7319399
Laos,2021,7425057
Laos,2022,7529475
Laos,2023,7529475
Malaysia,2014,31068833
Malaysia,2015,31068833
Malaysia,2016,31526418
Malaysia,2017,31975806
Malaysia,2018,32399271
Malaysia,2019,32804020
Malaysia,2020,33199993
Malaysia,2021,33573874
Malaysia,2022,33938221
Malaysia,2023,33938221
