id,reference_code,date,location,district,divisional_secretariat,brief_of_incident,key_perpetrators,perpetrators_religious_affiliation,police_action,government_officials_action,legality_of_place_of_worship,x15,type_of_incident,primary_target
1,94/Jan/E1,1994-01-01T00:00:00Z,Four Square church. Nikaweratiya.,Kurunegala,NA,Church threatened.,Unaffiliated or unidentified individual or group,Unknown or unverifiable,Absent/unknown,Absent/unknown,N/A,NA,Threats,Place of worship
1,94/Jan/E1,1994-01-01T00:00:00Z,Four Square church. Nikaweratiya.,Kurunegala,NA,Church threatened.,Unaffiliated or unidentified individual or group,Unknown or unverifiable,Absent/unknown,Absent/unknown,N/A,NA, intimidation or coercion,Place of worship
2,94/Jan/E2,1994-01-02T00:00:00Z,Panadura,Kalutara,NA,Approval for construction for “Church on the rock” was cancelled by the local authority due to opposition from Buddhists and Buddhist monks,"Institution or public servant, Religious institution or clergy",Buddhist,Absent/unknown,Actively or tacitly involved,N/A,NA,Discriminatory practice or action,Place of worship
3,94/Jan/E3,1994-01-03T00:00:00Z,Ja–Ela,Gampaha,NA,Pastor Lal Amaresekera was assaulted while conducting a funeral service,Unaffiliated or unidentified individual or group,Unknown or unverifiable,Absent/unknown,Absent/unknown,N/A,NA,Physical violence,Institutions
3,94/Jan/E3,1994-01-03T00:00:00Z,Ja–Ela,Gampaha,NA,Pastor Lal Amaresekera was assaulted while conducting a funeral service,Unaffiliated or unidentified individual or group,Unknown or unverifiable,Absent/unknown,Absent/unknown,N/A,NA,Physical violence,Clergy
3,94/Jan/E3,1994-01-03T00:00:00Z,Ja–Ela,Gampaha,NA,Pastor Lal Amaresekera was assaulted while conducting a funeral service,Unaffiliated or unidentified individual or group,Unknown or unverifiable,Absent/unknown,Absent/unknown,N/A,NA,Physical violence,Officials
4,94/Feb/E1,1994-02-01T00:00:00Z,Anglican Church Kalutara,Kalutara,NA,Clergymen were prevented from conducting a foundation stone laying ceremony by a mob,Unaffiliated or unidentified individual or group,Unknown or unverifiable,Absent/unknown,Absent/unknown,N/A,NA,Threats,Institutions
4,94/Feb/E1,1994-02-01T00:00:00Z,Anglican Church Kalutara,Kalutara,NA,Clergymen were prevented from conducting a foundation stone laying ceremony by a mob,Unaffiliated or unidentified individual or group,Unknown or unverifiable,Absent/unknown,Absent/unknown,N/A,NA,Threats,Clergy
4,94/Feb/E1,1994-02-01T00:00:00Z,Anglican Church Kalutara,Kalutara,NA,Clergymen were prevented from conducting a foundation stone laying ceremony by a mob,Unaffiliated or unidentified individual or group,Unknown or unverifiable,Absent/unknown,Absent/unknown,N/A,NA,Threats,Officials
4,94/Feb/E1,1994-02-01T00:00:00Z,Anglican Church Kalutara,Kalutara,NA,Clergymen were prevented from conducting a foundation stone laying ceremony by a mob,Unaffiliated or unidentified individual or group,Unknown or unverifiable,Absent/unknown,Absent/unknown,N/A,NA, intimidation or coercion,Institutions
