month,year,usd_mln,date
January,2015,523.5,2015-01-01
January,2016,563.4,2016-01-01
January,2017,670.3,2017-01-01
January,2018,729.4,2018-01-01
January,2019,545.3,2019-01-01
January,2020,580.9,2020-01-01
January,2021,675.3,2021-01-01
January,2022,259.2,2022-01-01
February,2015,511.6,2015-02-01
February,2016,554.2,2016-02-01
February,2017,598.1,2017-02-01
February,2018,571.5,2018-02-01
February,2019,500.5,2019-02-01
February,2020,527.3,2020-02-01
February,2021,579.7,2021-02-01
February,2022,204.9,2022-02-01
March,2015,644.3,2015-03-01
March,2016,675.7,2016-03-01
March,2017,643.1,2017-03-01
March,2018,677.7,2018-03-01
March,2019,571.4,2019-03-01
March,2020,492.1,2020-03-01
March,2021,612,2021-03-01
March,2022,318.4,2022-03-01
April,2015,585.9,2015-04-01
April,2016,578,2016-04-01
April,2017,487.9,2017-04-01
April,2018,541.2,2018-04-01
April,2019,553.7,2019-04-01
April,2020,375,2020-04-01
April,2021,518.8,2021-04-01
April,2022,248.9,2022-04-01
May,2015,537.7,2015-05-01
May,2016,597.2,2016-05-01
May,2017,600.7,2017-05-01
May,2018,580.4,2018-05-01
May,2019,562.1,2019-05-01
May,2020,431.8,2020-05-01
May,2021,460.1,2021-05-01
May,2022,304.1,2022-05-01
June,2015,629.6,2015-06-01
June,2016,644.5,2016-06-01
June,2017,590.9,2017-06-01
June,2018,523.6,2018-06-01
June,2019,536.6,2019-06-01
June,2020,572.5,2020-06-01
June,2021,478.4,2021-06-01
June,2022,274.3,2022-06-01
July,2015,599.3,2015-07-01
July,2016,572.8,2016-07-01
July,2017,629.3,2017-07-01
July,2018,619.3,2018-07-01
July,2019,625.7,2019-07-01
July,2020,702.1,2020-07-01
July,2021,453.3,2021-07-01
July,2022,279.5,2022-07-01
August,2015,566,2015-08-01
August,2016,618.3,2016-08-01
August,2017,599.9,2017-08-01
August,2018,534.2,2018-08-01
August,2019,518.2,2019-08-01
August,2020,664.5,2020-08-01
August,2021,446.6,2021-08-01
August,2022,325.4,2022-08-01
September,2015,584.2,2015-09-01
September,2016,577.9,2016-09-01
September,2017,537.8,2017-09-01
September,2018,499.6,2018-09-01
September,2019,516.3,2019-09-01
September,2020,702.7,2020-09-01
September,2021,353.2,2021-09-01
September,2022,359.3,2022-09-01
October,2015,605.1,2015-10-01
October,2016,607.5,2016-10-01
October,2017,546.3,2017-10-01
October,2018,599.1,2018-10-01
October,2019,607,2019-10-01
October,2020,630.7,2020-10-01
October,2021,317,2021-10-01
October,2022,355.4,2022-10-01
November,2015,574.5,2015-11-01
November,2016,567.4,2016-11-01
November,2017,588.4,2017-11-01
November,2018,555,2018-11-01
November,2019,515.3,2019-11-01
November,2020,611.7,2020-11-01
November,2021,271.4,2021-11-01
November,2022,384.4,2022-11-01
December,2015,618.5,2015-12-01
December,2016,684.6,2016-12-01
December,2017,671.4,2017-12-01
December,2018,584.5,2018-12-01
December,2019,665,2019-12-01
December,2020,812.7,2020-12-01
December,2021,325.2,2021-12-01
December,2022,475.6,2022-12-01
