serial_no,date,country,type,ref_no,summary,un_region,ohchr_region,alleged_victims,nb_of_replies,replies,vulnerable_groups,women_and_girls,human_rights_defenders,mandate
3,28 Apr 2023,Sri Lanka,JOL,LKA 4/2023,"Concern on the recently proposed Anti-Terrorism Act (ATA) published on 17 March 2023, which represents the latest development of your Excellency’s Government response to the challenges posed by the Prevention of Terrorism Act of 1979 (PTA) and the Rehabilitation Bill passed by the Sri Lankan Parliament on 18 January 2023. This legislation followed previously proposed legislation which sought to establish a Bureau for the Rehabilitation of ‘drug addicts, war warriors, and violent extremists.’ We note that revisions to the Rehabilitation Bill following a decision of the Supreme Court do not adhere in certain regards to fundamental rights enshrined in the Constitution,  in our view have not remedied the substantive deficiencies of the legislation, and therefore place many of its provisions in direct contradiction with the international human rights law obligations of your Excellency’s Government.",Asia-Pacific Group,Asia Pacific,0,0,NA,1,0,1,terrorism
3,28 Apr 2023,Sri Lanka,JOL,LKA 4/2023,"Concern on the recently proposed Anti-Terrorism Act (ATA) published on 17 March 2023, which represents the latest development of your Excellency’s Government response to the challenges posed by the Prevention of Terrorism Act of 1979 (PTA) and the Rehabilitation Bill passed by the Sri Lankan Parliament on 18 January 2023. This legislation followed previously proposed legislation which sought to establish a Bureau for the Rehabilitation of ‘drug addicts, war warriors, and violent extremists.’ We note that revisions to the Rehabilitation Bill following a decision of the Supreme Court do not adhere in certain regards to fundamental rights enshrined in the Constitution,  in our view have not remedied the substantive deficiencies of the legislation, and therefore place many of its provisions in direct contradiction with the international human rights law obligations of your Excellency’s Government.",Asia-Pacific Group,Asia Pacific,0,0,NA,1,0,1,arbitrary detention
3,28 Apr 2023,Sri Lanka,JOL,LKA 4/2023,"Concern on the recently proposed Anti-Terrorism Act (ATA) published on 17 March 2023, which represents the latest development of your Excellency’s Government response to the challenges posed by the Prevention of Terrorism Act of 1979 (PTA) and the Rehabilitation Bill passed by the Sri Lankan Parliament on 18 January 2023. This legislation followed previously proposed legislation which sought to establish a Bureau for the Rehabilitation of ‘drug addicts, war warriors, and violent extremists.’ We note that revisions to the Rehabilitation Bill following a decision of the Supreme Court do not adhere in certain regards to fundamental rights enshrined in the Constitution,  in our view have not remedied the substantive deficiencies of the legislation, and therefore place many of its provisions in direct contradiction with the international human rights law obligations of your Excellency’s Government.",Asia-Pacific Group,Asia Pacific,0,0,NA,1,0,1,disappearances
3,28 Apr 2023,Sri Lanka,JOL,LKA 4/2023,"Concern on the recently proposed Anti-Terrorism Act (ATA) published on 17 March 2023, which represents the latest development of your Excellency’s Government response to the challenges posed by the Prevention of Terrorism Act of 1979 (PTA) and the Rehabilitation Bill passed by the Sri Lankan Parliament on 18 January 2023. This legislation followed previously proposed legislation which sought to establish a Bureau for the Rehabilitation of ‘drug addicts, war warriors, and violent extremists.’ We note that revisions to the Rehabilitation Bill following a decision of the Supreme Court do not adhere in certain regards to fundamental rights enshrined in the Constitution,  in our view have not remedied the substantive deficiencies of the legislation, and therefore place many of its provisions in direct contradiction with the international human rights law obligations of your Excellency’s Government.",Asia-Pacific Group,Asia Pacific,0,0,NA,1,0,1,freedom of opinion and expression
3,28 Apr 2023,Sri Lanka,JOL,LKA 4/2023,"Concern on the recently proposed Anti-Terrorism Act (ATA) published on 17 March 2023, which represents the latest development of your Excellency’s Government response to the challenges posed by the Prevention of Terrorism Act of 1979 (PTA) and the Rehabilitation Bill passed by the Sri Lankan Parliament on 18 January 2023. This legislation followed previously proposed legislation which sought to establish a Bureau for the Rehabilitation of ‘drug addicts, war warriors, and violent extremists.’ We note that revisions to the Rehabilitation Bill following a decision of the Supreme Court do not adhere in certain regards to fundamental rights enshrined in the Constitution,  in our view have not remedied the substantive deficiencies of the legislation, and therefore place many of its provisions in direct contradiction with the international human rights law obligations of your Excellency’s Government.",Asia-Pacific Group,Asia Pacific,0,0,NA,1,0,1,freedom of peaceful assembly and of association
3,28 Apr 2023,Sri Lanka,JOL,LKA 4/2023,"Concern on the recently proposed Anti-Terrorism Act (ATA) published on 17 March 2023, which represents the latest development of your Excellency’s Government response to the challenges posed by the Prevention of Terrorism Act of 1979 (PTA) and the Rehabilitation Bill passed by the Sri Lankan Parliament on 18 January 2023. This legislation followed previously proposed legislation which sought to establish a Bureau for the Rehabilitation of ‘drug addicts, war warriors, and violent extremists.’ We note that revisions to the Rehabilitation Bill following a decision of the Supreme Court do not adhere in certain regards to fundamental rights enshrined in the Constitution,  in our view have not remedied the substantive deficiencies of the legislation, and therefore place many of its provisions in direct contradiction with the international human rights law obligations of your Excellency’s Government.",Asia-Pacific Group,Asia Pacific,0,0,NA,1,0,1,human rights defenders
3,28 Apr 2023,Sri Lanka,JOL,LKA 4/2023,"Concern on the recently proposed Anti-Terrorism Act (ATA) published on 17 March 2023, which represents the latest development of your Excellency’s Government response to the challenges posed by the Prevention of Terrorism Act of 1979 (PTA) and the Rehabilitation Bill passed by the Sri Lankan Parliament on 18 January 2023. This legislation followed previously proposed legislation which sought to establish a Bureau for the Rehabilitation of ‘drug addicts, war warriors, and violent extremists.’ We note that revisions to the Rehabilitation Bill following a decision of the Supreme Court do not adhere in certain regards to fundamental rights enshrined in the Constitution,  in our view have not remedied the substantive deficiencies of the legislation, and therefore place many of its provisions in direct contradiction with the international human rights law obligations of your Excellency’s Government.",Asia-Pacific Group,Asia Pacific,0,0,NA,1,0,1,independence of judges and lawyers
3,28 Apr 2023,Sri Lanka,JOL,LKA 4/2023,"Concern on the recently proposed Anti-Terrorism Act (ATA) published on 17 March 2023, which represents the latest development of your Excellency’s Government response to the challenges posed by the Prevention of Terrorism Act of 1979 (PTA) and the Rehabilitation Bill passed by the Sri Lankan Parliament on 18 January 2023. This legislation followed previously proposed legislation which sought to establish a Bureau for the Rehabilitation of ‘drug addicts, war warriors, and violent extremists.’ We note that revisions to the Rehabilitation Bill following a decision of the Supreme Court do not adhere in certain regards to fundamental rights enshrined in the Constitution,  in our view have not remedied the substantive deficiencies of the legislation, and therefore place many of its provisions in direct contradiction with the international human rights law obligations of your Excellency’s Government.",Asia-Pacific Group,Asia Pacific,0,0,NA,1,0,1,minority issues
3,28 Apr 2023,Sri Lanka,JOL,LKA 4/2023,"Concern on the recently proposed Anti-Terrorism Act (ATA) published on 17 March 2023, which represents the latest development of your Excellency’s Government response to the challenges posed by the Prevention of Terrorism Act of 1979 (PTA) and the Rehabilitation Bill passed by the Sri Lankan Parliament on 18 January 2023. This legislation followed previously proposed legislation which sought to establish a Bureau for the Rehabilitation of ‘drug addicts, war warriors, and violent extremists.’ We note that revisions to the Rehabilitation Bill following a decision of the Supreme Court do not adhere in certain regards to fundamental rights enshrined in the Constitution,  in our view have not remedied the substantive deficiencies of the legislation, and therefore place many of its provisions in direct contradiction with the international human rights law obligations of your Excellency’s Government.",Asia-Pacific Group,Asia Pacific,0,0,NA,1,0,1,religion or belief
3,28 Apr 2023,Sri Lanka,JOL,LKA 4/2023,"Concern on the recently proposed Anti-Terrorism Act (ATA) published on 17 March 2023, which represents the latest development of your Excellency’s Government response to the challenges posed by the Prevention of Terrorism Act of 1979 (PTA) and the Rehabilitation Bill passed by the Sri Lankan Parliament on 18 January 2023. This legislation followed previously proposed legislation which sought to establish a Bureau for the Rehabilitation of ‘drug addicts, war warriors, and violent extremists.’ We note that revisions to the Rehabilitation Bill following a decision of the Supreme Court do not adhere in certain regards to fundamental rights enshrined in the Constitution,  in our view have not remedied the substantive deficiencies of the legislation, and therefore place many of its provisions in direct contradiction with the international human rights law obligations of your Excellency’s Government.",Asia-Pacific Group,Asia Pacific,0,0,NA,1,0,1,torture
