country_name,year,index,value,index_text
Bangladesh,1971,v2x_polyarchy,0.17,Electoral democracy index
Bangladesh,1971,v2x_libdem,0.104,Liberal democracy index
Bangladesh,1971,v2x_partipdem,0.08,Participatory democracy index
Bangladesh,1971,v2x_delibdem,0.05,Deliberative democracy index
Bangladesh,1971,v2x_egaldem,0.104,Egalitarian democracy index
Bangladesh,1972,v2x_polyarchy,0.222,Electoral democracy index
Bangladesh,1972,v2x_libdem,0.162,Liberal democracy index
Bangladesh,1972,v2x_partipdem,0.107,Participatory democracy index
Bangladesh,1972,v2x_delibdem,0.12,Deliberative democracy index
Bangladesh,1972,v2x_egaldem,0.125,Egalitarian democracy index
Bangladesh,1973,v2x_polyarchy,0.368,Electoral democracy index
Bangladesh,1973,v2x_libdem,0.194,Liberal democracy index
Bangladesh,1973,v2x_partipdem,0.154,Participatory democracy index
Bangladesh,1973,v2x_delibdem,0.164,Deliberative democracy index
Bangladesh,1973,v2x_egaldem,0.176,Egalitarian democracy index
Bangladesh,1974,v2x_polyarchy,0.387,Electoral democracy index
Bangladesh,1974,v2x_libdem,0.193,Liberal democracy index
Bangladesh,1974,v2x_partipdem,0.153,Participatory democracy index
Bangladesh,1974,v2x_delibdem,0.16,Deliberative democracy index
Bangladesh,1974,v2x_egaldem,0.182,Egalitarian democracy index
Bangladesh,1975,v2x_polyarchy,0.212,Electoral democracy index
Bangladesh,1975,v2x_libdem,0.126,Liberal democracy index
Bangladesh,1975,v2x_partipdem,0.082,Participatory democracy index
Bangladesh,1975,v2x_delibdem,0.077,Deliberative democracy index
Bangladesh,1975,v2x_egaldem,0.125,Egalitarian democracy index
Bangladesh,1976,v2x_polyarchy,0.135,Electoral democracy index
Bangladesh,1976,v2x_libdem,0.09,Liberal democracy index
Bangladesh,1976,v2x_partipdem,0.067,Participatory democracy index
Bangladesh,1976,v2x_delibdem,0.054,Deliberative democracy index
Bangladesh,1976,v2x_egaldem,0.098,Egalitarian democracy index
Bangladesh,1977,v2x_polyarchy,0.176,Electoral democracy index
Bangladesh,1977,v2x_libdem,0.102,Liberal democracy index
Bangladesh,1977,v2x_partipdem,0.099,Participatory democracy index
Bangladesh,1977,v2x_delibdem,0.092,Deliberative democracy index
Bangladesh,1977,v2x_egaldem,0.108,Egalitarian democracy index
Bangladesh,1978,v2x_polyarchy,0.233,Electoral democracy index
Bangladesh,1978,v2x_libdem,0.117,Liberal democracy index
Bangladesh,1978,v2x_partipdem,0.113,Participatory democracy index
Bangladesh,1978,v2x_delibdem,0.106,Deliberative democracy index
Bangladesh,1978,v2x_egaldem,0.122,Egalitarian democracy index
Bangladesh,1979,v2x_polyarchy,0.365,Electoral democracy index
Bangladesh,1979,v2x_libdem,0.177,Liberal democracy index
Bangladesh,1979,v2x_partipdem,0.173,Participatory democracy index
Bangladesh,1979,v2x_delibdem,0.147,Deliberative democracy index
Bangladesh,1979,v2x_egaldem,0.166,Egalitarian democracy index
Bangladesh,1980,v2x_polyarchy,0.381,Electoral democracy index
Bangladesh,1980,v2x_libdem,0.188,Liberal democracy index
Bangladesh,1980,v2x_partipdem,0.179,Participatory democracy index
Bangladesh,1980,v2x_delibdem,0.153,Deliberative democracy index
Bangladesh,1980,v2x_egaldem,0.171,Egalitarian democracy index
Bangladesh,1981,v2x_polyarchy,0.377,Electoral democracy index
Bangladesh,1981,v2x_libdem,0.187,Liberal democracy index
Bangladesh,1981,v2x_partipdem,0.168,Participatory democracy index
Bangladesh,1981,v2x_delibdem,0.142,Deliberative democracy index
Bangladesh,1981,v2x_egaldem,0.172,Egalitarian democracy index
Bangladesh,1982,v2x_polyarchy,0.229,Electoral democracy index
Bangladesh,1982,v2x_libdem,0.126,Liberal democracy index
Bangladesh,1982,v2x_partipdem,0.105,Participatory democracy index
Bangladesh,1982,v2x_delibdem,0.072,Deliberative democracy index
Bangladesh,1982,v2x_egaldem,0.123,Egalitarian democracy index
Bangladesh,1983,v2x_polyarchy,0.184,Electoral democracy index
Bangladesh,1983,v2x_libdem,0.107,Liberal democracy index
Bangladesh,1983,v2x_partipdem,0.092,Participatory democracy index
Bangladesh,1983,v2x_delibdem,0.062,Deliberative democracy index
Bangladesh,1983,v2x_egaldem,0.11,Egalitarian democracy index
Bangladesh,1984,v2x_polyarchy,0.189,Electoral democracy index
Bangladesh,1984,v2x_libdem,0.108,Liberal democracy index
Bangladesh,1984,v2x_partipdem,0.098,Participatory democracy index
Bangladesh,1984,v2x_delibdem,0.08,Deliberative democracy index
Bangladesh,1984,v2x_egaldem,0.112,Egalitarian democracy index
Bangladesh,1985,v2x_polyarchy,0.189,Electoral democracy index
Bangladesh,1985,v2x_libdem,0.108,Liberal democracy index
Bangladesh,1985,v2x_partipdem,0.109,Participatory democracy index
Bangladesh,1985,v2x_delibdem,0.084,Deliberative democracy index
Bangladesh,1985,v2x_egaldem,0.112,Egalitarian democracy index
Bangladesh,1986,v2x_polyarchy,0.219,Electoral democracy index
Bangladesh,1986,v2x_libdem,0.128,Liberal democracy index
Bangladesh,1986,v2x_partipdem,0.127,Participatory democracy index
Bangladesh,1986,v2x_delibdem,0.103,Deliberative democracy index
Bangladesh,1986,v2x_egaldem,0.119,Egalitarian democracy index
Bangladesh,1987,v2x_polyarchy,0.329,Electoral democracy index
Bangladesh,1987,v2x_libdem,0.168,Liberal democracy index
Bangladesh,1987,v2x_partipdem,0.162,Participatory democracy index
Bangladesh,1987,v2x_delibdem,0.135,Deliberative democracy index
Bangladesh,1987,v2x_egaldem,0.153,Egalitarian democracy index
Bangladesh,1988,v2x_polyarchy,0.309,Electoral democracy index
Bangladesh,1988,v2x_libdem,0.158,Liberal democracy index
Bangladesh,1988,v2x_partipdem,0.155,Participatory democracy index
Bangladesh,1988,v2x_delibdem,0.129,Deliberative democracy index
Bangladesh,1988,v2x_egaldem,0.146,Egalitarian democracy index
Bangladesh,1989,v2x_polyarchy,0.304,Electoral democracy index
Bangladesh,1989,v2x_libdem,0.156,Liberal democracy index
Bangladesh,1989,v2x_partipdem,0.154,Participatory democracy index
Bangladesh,1989,v2x_delibdem,0.127,Deliberative democracy index
Bangladesh,1989,v2x_egaldem,0.146,Egalitarian democracy index
Bangladesh,1990,v2x_polyarchy,0.306,Electoral democracy index
Bangladesh,1990,v2x_libdem,0.169,Liberal democracy index
Bangladesh,1990,v2x_partipdem,0.153,Participatory democracy index
Bangladesh,1990,v2x_delibdem,0.122,Deliberative democracy index
