country,year,status,sub_indicator,score,sub_indicator_category,country_iso
Afghanistan,2024,NF,electoral_process,0,political_rights,AFG
Afghanistan,2024,NF,pluralism_participation,0,political_rights,AFG
Afghanistan,2024,NF,functioning_government,1,political_rights,AFG
Afghanistan,2024,NF,freedom_of_expression,0,civil_liberties,AFG
Afghanistan,2024,NF,right_to_assembly,3,civil_liberties,AFG
Afghanistan,2024,NF,rule_of_law,0,civil_liberties,AFG
Afghanistan,2024,NF,personal_autonomy,2,civil_liberties,AFG
Afghanistan,2024,NF,political_rights,1,aggregation,AFG
Afghanistan,2024,NF,civil_liberties,5,aggregation,AFG
Afghanistan,2024,NF,total,6,aggregation,AFG
Bangladesh,2024,PF,electoral_process,4,political_rights,BGD
Bangladesh,2024,PF,pluralism_participation,7,political_rights,BGD
Bangladesh,2024,PF,functioning_government,4,political_rights,BGD
Bangladesh,2024,PF,freedom_of_expression,6,civil_liberties,BGD
Bangladesh,2024,PF,right_to_assembly,5,civil_liberties,BGD
Bangladesh,2024,PF,rule_of_law,5,civil_liberties,BGD
Bangladesh,2024,PF,personal_autonomy,9,civil_liberties,BGD
Bangladesh,2024,PF,political_rights,15,aggregation,BGD
Bangladesh,2024,PF,civil_liberties,25,aggregation,BGD
Bangladesh,2024,PF,total,40,aggregation,BGD
Bhutan,2024,PF,electoral_process,10,political_rights,BTN
Bhutan,2024,PF,pluralism_participation,13,political_rights,BTN
Bhutan,2024,PF,functioning_government,8,political_rights,BTN
Bhutan,2024,PF,freedom_of_expression,10,civil_liberties,BTN
Bhutan,2024,PF,right_to_assembly,5,civil_liberties,BTN
Bhutan,2024,PF,rule_of_law,9,civil_liberties,BTN
Bhutan,2024,PF,personal_autonomy,9,civil_liberties,BTN
Bhutan,2024,PF,political_rights,30,aggregation,BTN
Bhutan,2024,PF,civil_liberties,33,aggregation,BTN
Bhutan,2024,PF,total,63,aggregation,BTN
Cambodia,2024,NF,electoral_process,0,political_rights,KHM
Cambodia,2024,NF,pluralism_participation,2,political_rights,KHM
Cambodia,2024,NF,functioning_government,2,political_rights,KHM
Cambodia,2024,NF,freedom_of_expression,7,civil_liberties,KHM
Cambodia,2024,NF,right_to_assembly,3,civil_liberties,KHM
Cambodia,2024,NF,rule_of_law,3,civil_liberties,KHM
Cambodia,2024,NF,personal_autonomy,6,civil_liberties,KHM
Cambodia,2024,NF,political_rights,4,aggregation,KHM
Cambodia,2024,NF,civil_liberties,19,aggregation,KHM
Cambodia,2024,NF,total,23,aggregation,KHM
China,2024,NF,electoral_process,0,political_rights,CHN
China,2024,NF,pluralism_participation,0,political_rights,CHN
China,2024,NF,functioning_government,1,political_rights,CHN
China,2024,NF,freedom_of_expression,1,civil_liberties,CHN
China,2024,NF,right_to_assembly,2,civil_liberties,CHN
China,2024,NF,rule_of_law,2,civil_liberties,CHN
China,2024,NF,personal_autonomy,6,civil_liberties,CHN
China,2024,NF,political_rights,-2,aggregation,CHN
China,2024,NF,civil_liberties,11,aggregation,CHN
China,2024,NF,total,9,aggregation,CHN
Fiji,2024,PF,electoral_process,8,political_rights,FJI
Fiji,2024,PF,pluralism_participation,11,political_rights,FJI
Fiji,2024,PF,functioning_government,8,political_rights,FJI
Fiji,2024,PF,freedom_of_expression,14,civil_liberties,FJI
Fiji,2024,PF,right_to_assembly,8,civil_liberties,FJI
Fiji,2024,PF,rule_of_law,7,civil_liberties,FJI
Fiji,2024,PF,personal_autonomy,10,civil_liberties,FJI
Fiji,2024,PF,political_rights,27,aggregation,FJI
Fiji,2024,PF,civil_liberties,39,aggregation,FJI
Fiji,2024,PF,total,66,aggregation,FJI
Hong Kong,2024,PF,electoral_process,0,political_rights,HKG
Hong Kong,2024,PF,pluralism_participation,4,political_rights,HKG
Hong Kong,2024,PF,functioning_government,5,political_rights,HKG
Hong Kong,2024,PF,freedom_of_expression,7,civil_liberties,HKG
Hong Kong,2024,PF,right_to_assembly,3,civil_liberties,HKG
Hong Kong,2024,PF,rule_of_law,9,civil_liberties,HKG
Hong Kong,2024,PF,personal_autonomy,13,civil_liberties,HKG
Hong Kong,2024,PF,political_rights,9,aggregation,HKG
Hong Kong,2024,PF,civil_liberties,32,aggregation,HKG
Hong Kong,2024,PF,total,41,aggregation,HKG
India,2024,PF,electoral_process,12,political_rights,IND
India,2024,PF,pluralism_participation,12,political_rights,IND
India,2024,PF,functioning_government,9,political_rights,IND
India,2024,PF,freedom_of_expression,9,civil_liberties,IND
India,2024,PF,right_to_assembly,7,civil_liberties,IND
India,2024,PF,rule_of_law,8,civil_liberties,IND
India,2024,PF,personal_autonomy,9,civil_liberties,IND
India,2024,PF,political_rights,33,aggregation,IND
India,2024,PF,civil_liberties,33,aggregation,IND
India,2024,PF,total,66,aggregation,IND
Indonesia,2024,PF,electoral_process,11,political_rights,IDN
Indonesia,2024,PF,pluralism_participation,12,political_rights,IDN
Indonesia,2024,PF,functioning_government,6,political_rights,IDN
Indonesia,2024,PF,freedom_of_expression,9,civil_liberties,IDN
Indonesia,2024,PF,right_to_assembly,6,civil_liberties,IDN
Indonesia,2024,PF,rule_of_law,5,civil_liberties,IDN
Indonesia,2024,PF,personal_autonomy,8,civil_liberties,IDN
Indonesia,2024,PF,political_rights,29,aggregation,IDN
Indonesia,2024,PF,civil_liberties,28,aggregation,IDN
Indonesia,2024,PF,total,57,aggregation,IDN
Iran,2024,NF,electoral_process,2,political_rights,IRN
Iran,2024,NF,pluralism_participation,2,political_rights,IRN
Iran,2024,NF,functioning_government,0,political_rights,IRN
Iran,2024,NF,freedom_of_expression,0,civil_liberties,IRN
Iran,2024,NF,right_to_assembly,1,civil_liberties,IRN
Iran,2024,NF,rule_of_law,2,civil_liberties,IRN
Iran,2024,NF,personal_autonomy,4,civil_liberties,IRN
Iran,2024,NF,political_rights,4,aggregation,IRN
Iran,2024,NF,civil_liberties,7,aggregation,IRN
Iran,2024,NF,total,11,aggregation,IRN
Laos,2024,NF,electoral_process,0,political_rights,LAO
Laos,2024,NF,pluralism_participation,0,political_rights,LAO
Laos,2024,NF,functioning_government,2,political_rights,LAO
Laos,2024,NF,freedom_of_expression,3,civil_liberties,LAO
Laos,2024,NF,right_to_assembly,0,civil_liberties,LAO
Laos,2024,NF,rule_of_law,2,civil_liberties,LAO
Laos,2024,NF,personal_autonomy,6,civil_liberties,LAO
Laos,2024,NF,political_rights,2,aggregation,LAO
Laos,2024,NF,civil_liberties,11,aggregation,LAO
Laos,2024,NF,total,13,aggregation,LAO
Malaysia,2024,PF,electoral_process,6,political_rights,MYS
Malaysia,2024,PF,pluralism_participation,10,political_rights,MYS
Malaysia,2024,PF,functioning_government,6,political_rights,MYS
Malaysia,2024,PF,freedom_of_expression,8,civil_liberties,MYS
Malaysia,2024,PF,right_to_assembly,6,civil_liberties,MYS
Malaysia,2024,PF,rule_of_law,8,civil_liberties,MYS
Malaysia,2024,PF,personal_autonomy,9,civil_liberties,MYS
Malaysia,2024,PF,political_rights,22,aggregation,MYS
Malaysia,2024,PF,civil_liberties,31,aggregation,MYS
Malaysia,2024,PF,total,53,aggregation,MYS
Maldives,2024,PF,electoral_process,8,political_rights,MDV
Maldives,2024,PF,pluralism_participation,8,political_rights,MDV
Maldives,2024,PF,functioning_government,5,political_rights,MDV
Maldives,2024,PF,freedom_of_expression,3,civil_liberties,MDV
Maldives,2024,PF,right_to_assembly,6,civil_liberties,MDV
Maldives,2024,PF,rule_of_law,7,civil_liberties,MDV
Maldives,2024,PF,personal_autonomy,7,civil_liberties,MDV
Maldives,2024,PF,political_rights,21,aggregation,MDV
Maldives,2024,PF,civil_liberties,23,aggregation,MDV
Maldives,2024,PF,total,44,aggregation,MDV
Mongolia,2024,F,electoral_process,11,political_rights,MNG
Mongolia,2024,F,pluralism_participation,16,political_rights,MNG
Mongolia,2024,F,functioning_government,9,political_rights,MNG
Mongolia,2024,F,freedom_of_expression,14,civil_liberties,MNG
Mongolia,2024,F,right_to_assembly,11,civil_liberties,MNG
Mongolia,2024,F,rule_of_law,11,civil_liberties,MNG
Mongolia,2024,F,personal_autonomy,12,civil_liberties,MNG
Mongolia,2024,F,political_rights,36,aggregation,MNG
Mongolia,2024,F,civil_liberties,48,aggregation,MNG
Mongolia,2024,F,total,84,aggregation,MNG
Myanmar,2024,NF,electoral_process,0,political_rights,MMR
Myanmar,2024,NF,pluralism_participation,3,political_rights,MMR
Myanmar,2024,NF,functioning_government,1,political_rights,MMR
Myanmar,2024,NF,freedom_of_expression,3,civil_liberties,MMR
Myanmar,2024,NF,right_to_assembly,2,civil_liberties,MMR
Myanmar,2024,NF,rule_of_law,0,civil_liberties,MMR
Myanmar,2024,NF,personal_autonomy,3,civil_liberties,MMR
Myanmar,2024,NF,political_rights,0,aggregation,MMR
Myanmar,2024,NF,civil_liberties,8,aggregation,MMR
Myanmar,2024,NF,total,8,aggregation,MMR
Nepal,2024,PF,electoral_process,11,political_rights,NPL
Nepal,2024,PF,pluralism_participation,11,political_rights,NPL
Nepal,2024,PF,functioning_government,6,political_rights,NPL
Nepal,2024,PF,freedom_of_expression,10,civil_liberties,NPL
Nepal,2024,PF,right_to_assembly,8,civil_liberties,NPL
Nepal,2024,PF,rule_of_law,8,civil_liberties,NPL
Nepal,2024,PF,personal_autonomy,8,civil_liberties,NPL
Nepal,2024,PF,political_rights,28,aggregation,NPL
Nepal,2024,PF,civil_liberties,34,aggregation,NPL
Nepal,2024,PF,total,62,aggregation,NPL
North Korea,2024,NF,electoral_process,0,political_rights,PRK
North Korea,2024,NF,pluralism_participation,0,political_rights,PRK
North Korea,2024,NF,functioning_government,0,political_rights,PRK
North Korea,2024,NF,freedom_of_expression,0,civil_liberties,PRK
North Korea,2024,NF,right_to_assembly,0,civil_liberties,PRK
North Korea,2024,NF,rule_of_law,0,civil_liberties,PRK
North Korea,2024,NF,personal_autonomy,3,civil_liberties,PRK
North Korea,2024,NF,political_rights,0,aggregation,PRK
North Korea,2024,NF,civil_liberties,3,aggregation,PRK
North Korea,2024,NF,total,3,aggregation,PRK
Pakistan,2024,PF,electoral_process,5,political_rights,PAK
Pakistan,2024,PF,pluralism_participation,5,political_rights,PAK
Pakistan,2024,PF,functioning_government,4,political_rights,PAK
Pakistan,2024,PF,freedom_of_expression,6,civil_liberties,PAK
Pakistan,2024,PF,right_to_assembly,6,civil_liberties,PAK
Pakistan,2024,PF,rule_of_law,3,civil_liberties,PAK
Pakistan,2024,PF,personal_autonomy,6,civil_liberties,PAK
Pakistan,2024,PF,political_rights,14,aggregation,PAK
Pakistan,2024,PF,civil_liberties,21,aggregation,PAK
Pakistan,2024,PF,total,35,aggregation,PAK
Papua New Guinea,2024,PF,electoral_process,6,political_rights,PNG
Papua New Guinea,2024,PF,pluralism_participation,13,political_rights,PNG
Papua New Guinea,2024,PF,functioning_government,3,political_rights,PNG
Papua New Guinea,2024,PF,freedom_of_expression,14,civil_liberties,PNG
Papua New Guinea,2024,PF,right_to_assembly,10,civil_liberties,PNG
Papua New Guinea,2024,PF,rule_of_law,7,civil_liberties,PNG
Papua New Guinea,2024,PF,personal_autonomy,8,civil_liberties,PNG
Papua New Guinea,2024,PF,political_rights,22,aggregation,PNG
Papua New Guinea,2024,PF,civil_liberties,39,aggregation,PNG
Papua New Guinea,2024,PF,total,61,aggregation,PNG
Philippines,2024,PF,electoral_process,9,political_rights,PHL
Philippines,2024,PF,pluralism_participation,10,political_rights,PHL
Philippines,2024,PF,functioning_government,6,political_rights,PHL
Philippines,2024,PF,freedom_of_expression,11,civil_liberties,PHL
Philippines,2024,PF,right_to_assembly,7,civil_liberties,PHL
Philippines,2024,PF,rule_of_law,5,civil_liberties,PHL
Philippines,2024,PF,personal_autonomy,10,civil_liberties,PHL
Philippines,2024,PF,political_rights,25,aggregation,PHL
Philippines,2024,PF,civil_liberties,33,aggregation,PHL
Philippines,2024,PF,total,58,aggregation,PHL
Solomon Islands,2024,F,electoral_process,8,political_rights,SLB
Solomon Islands,2024,F,pluralism_participation,13,political_rights,SLB
Solomon Islands,2024,F,functioning_government,7,political_rights,SLB
Solomon Islands,2024,F,freedom_of_expression,14,civil_liberties,SLB
Solomon Islands,2024,F,right_to_assembly,10,civil_liberties,SLB
Solomon Islands,2024,F,rule_of_law,11,civil_liberties,SLB
Solomon Islands,2024,F,personal_autonomy,12,civil_liberties,SLB
